Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename:  cjee08fn15.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2008",,,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2008",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
,,,,,,Intergovernmental expenditure,,,,,Intergovernmental expenditure,,,,,Intergovernmental expenditure,,,,,,Intergovernmental expenditure,
City,Fiscal year ends in month of:,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,Construction only,Total,City
,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",6,165549,165549,157401,8148,0,156848,156848,148700,8148,0,8675,8675,8675,0,0,26,26,26,0,0,0,"Albuquerque, NM"
"Atlanta, GA",12,269448,269448,240109,29339,0,200531,200531,171395,29136,0,24383,24383,24180,203,0,44534,44534,44534,0,0,0,"Atlanta, GA"
"Austin, TX",9,220092,220092,219669,423,0,199360,199360,198942,418,0,20732,20732,20727,5,0,0,0,0,0,0,0,"Austin, TX"
"Baltimore, MD",6,459995,459995,459871,124,0,388363,388363,388239,124,0,71632,71632,71632,0,0,0,0,0,0,0,0,"Baltimore, MD"
"Baton Rouge, LA",12,212634,212634,194399,18235,0,115384,115384,105625,9759,0,65005,65005,57814,7191,0,32245,32245,30960,1285,0,0,"Baton Rouge, LA"
"Boston, MA",6,450662,450662,439946,10716,0,319993,319993,309278,10715,0,9489,9489,9488,1,0,121180,121180,121180,0,0,0,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",6,77841,77841,72269,5572,0,74741,74741,69169,5572,0,3100,3100,3100,0,0,0,0,0,0,0,0,"Buffalo, NY"
"Charlotte, NC",6,171794,171794,165244,6550,0,169384,169384,162834,6550,0,2410,2410,2410,0,0,0,0,0,0,0,0,"Charlotte, NC"
"Chicago, IL",12,1312329,1312329,1299106,13223,0,1275751,1275751,1262536,13215,0,36578,36578,36570,8,0,0,0,0,0,0,0,"Chicago, IL"
"Cincinnati, OH",12,114020,113052,112467,585,968,108477,107509,106924,585,968,5543,5543,5543,0,0,0,0,0,0,0,0,"Cincinnati, OH"
"Cleveland, OH",12,231312,231087,230766,321,225,176692,176692,176371,321,0,47259,47259,47259,0,0,7361,7136,7136,0,0,225,"Cleveland, OH"
"Columbus, OH",12,257429,256587,244365,12222,842,224054,224054,213496,10558,0,30353,30353,28689,1664,0,3022,2180,2180,0,0,842,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",9,371798,364722,342860,21862,7076,338936,338936,317497,21439,0,23399,23399,23012,387,0,9463,2387,2351,36,35,7076,"Dallas, TX"
"Denver, CO",12,333423,333251,330749,2502,172,179145,178973,176471,2502,172,51755,51755,51755,0,0,102523,102523,102523,0,0,0,"Denver, CO"
"Detroit, MI",6,415529,415529,409588,5941,0,354100,354100,348299,5801,0,61429,61429,61289,140,0,0,0,0,0,0,0,"Detroit, MI"
"El Paso, TX",8,105109,105109,103697,1412,0,96386,96386,95076,1310,0,8723,8723,8621,102,0,0,0,0,0,0,0,"El Paso, TX"
"Fort Worth, TX",9,198348,198348,194353,3995,0,182542,182542,178611,3931,0,15806,15806,15742,64,0,0,0,0,0,0,0,"Fort Worth, TX"
"Honolulu, HI",6,236637,236637,225039,11598,0,213746,213746,202191,11555,0,22891,22891,22848,43,0,0,0,0,0,0,0,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",6,669981,669981,638295,31686,0,601785,601785,570120,31665,0,45912,45912,45912,0,0,22284,22284,22263,21,0,0,"Houston, TX"
"Indianapolis, IN",12,338664,336579,310007,26572,2085,192602,190968,176688,14280,1634,64883,64600,64479,121,283,81179,81011,68840,12171,2,168,"Indianapolis, IN"
"Jacksonville, FL",9,291038,291038,288024,3014,0,184025,184025,182587,1438,0,42336,42336,40760,1576,0,64677,64677,64677,0,0,0,"Jacksonville, FL"
"Kansas City, MO",4,223088,223088,211040,12048,0,197878,197878,185830,12048,0,12527,12527,12527,0,0,12683,12683,12683,0,0,0,"Kansas City, MO"
"Long Beach, CA",6,196802,196802,194491,2311,0,191751,191751,189446,2305,0,5051,5051,5045,6,0,0,0,0,0,0,0,"Long Beach, CA"
"Los Angeles, CA",6,1454809,1454809,1377852,76957,0,1338305,1338305,1261348,76957,0,116504,116504,116504,0,0,0,0,0,0,0,0,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",6,228352,228352,225478,2874,0,213208,213208,210334,2874,0,15144,15144,15144,0,0,0,0,0,0,0,0,"Memphis, TN"
"Miami, FL",9,156712,156712,147873,8839,0,150731,150731,141928,8803,0,5981,5981,5945,36,0,0,0,0,0,0,0,"Miami, FL"
"Milwaukee, WI",12,246186,246186,240431,5755,0,232826,232826,227071,5755,0,13360,13360,13360,0,0,0,0,0,0,0,0,"Milwaukee, WI"
"Minneapolis, MN",12,136687,136687,136486,201,0,129856,129856,129655,201,0,6056,6056,6056,0,0,775,775,775,0,0,0,"Minneapolis, MN"
"Nashville, TN",6,312744,312744,312141,603,0,182007,182007,181404,603,0,70698,70698,70698,0,0,60039,60039,60039,0,0,0,"Nashville, TN"
"Newark, NJ",12,154257,154257,152797,1460,0,139906,139906,138446,1460,0,14351,14351,14351,0,0,0,0,0,0,0,0,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",12,239080,239080,210623,28457,0,132645,132645,127904,4741,0,41887,41887,34290,7597,0,64548,64548,48429,16119,13587,0,"New Orleans, LA"
"New York, NY",6,6250690,6194451,5910101,284350,56239,4217961,4217961,4030150,187811,0,562919,562919,561618,1301,0,1469810,1413571,1318333,95238,85775,56239,"New York, NY"
"Oakland, CA",6,208774,208774,207436,1338,0,203144,203144,201806,1338,0,5630,5630,5630,0,0,0,0,0,0,0,0,"Oakland, CA"
"Oklahoma City, OK",6,162842,162842,158254,4588,0,149157,149157,144588,4569,0,13685,13685,13666,19,0,0,0,0,0,0,0,"Oklahoma City, OK"
"Omaha, NE",7,100679,100679,96959,3720,0,97256,97256,93536,3720,0,3423,3423,3423,0,0,0,0,0,0,0,0,"Omaha, NE"
"Philadelphia, PA",6,1215387,1215387,1209685,5702,0,565814,565814,562620,3194,0,255818,255818,254988,830,0,393755,393755,392077,1678,600,0,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",6,522030,511142,470762,40380,10888,457973,457973,418475,39498,0,53169,53169,52287,882,0,10888,0,0,0,0,10888,"Phoenix, AZ"
"Pittsburgh, PA",12,66096,66096,64679,1417,0,63995,63995,62578,1417,0,2101,2101,2101,0,0,0,0,0,0,0,0,"Pittsburgh, PA"
"Portland, OR",6,155957,155957,155957,0,0,148636,148636,148636,0,0,7321,7321,7321,0,0,0,0,0,0,0,0,"Portland, OR"
"St.Louis, MO",4,227489,227489,219995,7494,0,140220,140220,132726,7494,0,36074,36074,36074,0,0,51195,51195,51195,0,0,0,"St.Louis, MO"
