Bureau of Justice Statistics,,,,,,,,,
Filename:  jeee08fn06.csv,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2008",,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2008",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
