"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee9507.csv",,,,,,,,,,,,,
"table#:  7 Sworn and nonsworn employment for police protection, payrolls and percent ",,,,,,,,,,,,,
"distribution of full-time equivalent employment (FTE), by State and type of government, October 1995",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  9/23/99",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.  Sworn and nonsworn employment for police protection, payrolls and percent distribution of full-time equivalent employment (FTE),",,,,,,,,,,,,,
"by State and type of government, October 1995",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"                                                         Sworn",,,,,,"                                                   Nonsworn",,,,
,,,,,,,,,,,,,
,"Total",,,,,,,,,,,,
,"police",,"Total","Full",,"Percent",,,"Total ","Full",,"Percent",
"State and type","protection",,"sworn","time",,"of total","October",,"nonsworn","time",,"of total","October"
"of government","FTE",,"employees","only","FTE","FTE","payrolls",,"employees","only","FTE","FTE","payrolls"
,,,,,,,,,,,,,
"     Local, total",13314,,11538,10209,10526,79.1,33252,,4026,2162,2788,20.9,5591
"        Counties",3783,,3174,2915,3007,79.5,9637,,836,696,776,20.5,1856
"        Municipalities",9531,,8364,7294,7519,78.9,23615,,3190,1466,2012,21.1,3735
,,,,,,,,,,,,,
"Wyoming",1633,,1118,1097,1104,67.6,2973,,604,486,529,32.4,931
"     State",225,,137,137,137,60.9,337,,87,84,88,39.1,174
"     Local, total",1408,,981,960,967,68.7,2636,,517,402,441,31.3,758
"        Counties",601,,381,373,376,62.6,924,,248,210,225,37.4,365
"        Municipalities",807,,600,587,591,73.2,1712,,269,192,216,26.8,392
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Notes: October payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection",,,,,,,,,,,,,
"October payrolls on table 6.  Local government data are estimates subject to variability.",,,,,,,,,,,,,
