"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9509.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  9 Justice system expenditure of State governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  5/10/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of State governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                            Total justice system",,,,,,,,"                                                       Police protection",,,,,,,,"                                                            Judicial and Legal",,,,,,,,"                                                                                     Corrections",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                             Direct expenditure",,,,,,,,"                            Direct expenditure",,,,,,,,"                               Direct expenditure",,,,,,,,"                                        Direct expenditure",,,,,,,,
,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,"                  Capital outlay",,,"Inter-",,
,,,,,,,"govern-",,,,,,,,"govern-",,,,,,,,"govern-",,,,,,,,,,"govern-",,
,,,,"Direct","Capital",,"mental",,,,,"Direct","Capital",,"mental",,,,,"Direct","Capital",,"mental",,,,,"Direct",,,"Construction",,"mental",,
"State","Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current",,"Total","only",,"expenditure",,"State"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total",$41196021,,$37359746,$33852017,$3507729,,$3836275,,$6451364,,$5734937,$5279190,$455747,,$716427,,$8675619,,$7533740,$7235096,$298644,,$1141879,,$26069038,,$24091069,$21337731,,$2753338,$2326503,,$1977969,,"Total"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",456641,,441217,421499,19718,,15424,,83482,,72879,69004,3875,,10603,,141802,,141802,139764,2038,,"-",,231357,,226536,212731,,13805,12793,,4821,,"Alabama"
"Alaska",367188,,356789,327498,29291,,10399,,55290,,48931,48124,807,,6359,,165273,,165273,138684,26589,,"-",,146625,,142585,140690,,1895,1202,,4040,,"Alaska"
"Arizona",628750,,562162,532528,29634,,66588,,109774,,105703,95151,10552,,4071,,82197,,70841,67587,3254,,11356,,436779,,385618,369790,,15828,2771,,51161,,"Arizona"
"Arkansas",250463,,234989,218886,16103,,15474,,50627,,49435,41571,7864,,1192,,38958,,36150,33899,2251,,2808,,160878,,149404,143416,,5988,3187,,11474,,"Arkansas"
"California",5456195,,4718387,4228670,489717,,737808,,898881,,811625,770940,40685,,87256,,881506,,345255,340308,4947,,536251,,3675808,,3561507,3117422,,444085,392848,,114301,,"California"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado",500405,,478320,448592,29728,,22085,,49043,,49039,46426,2613,,4,,131676,,131676,126510,5166,,"-",,319686,,297605,275656,,21949,3973,,22081,,"Colorado"
"Connecticut",814654,,814593,728695,85898,,61,,105583,,105522,88328,17194,,61,,227805,,227805,200756,27049,,"-",,481266,,481266,439611,,41655,32958,,"-",,"Connecticut"
"Delaware",221529,,215107,209566,5541,,6422,,47319,,45148,41838,3310,,2171,,64138,,59887,58731,1156,,4251,,110072,,110072,108997,,1075,119,,"-",,"Delaware"
"Florida",2338207,,2335595,2009135,326460,,2612,,280926,,278535,264022,14513,,2391,,458022,,457810,447807,10003,,212,,1599259,,1599250,1297306,,301944,263311,,9,,"Florida"
"Georgia",964827,,935438,890506,44932,,29389,,136712,,134868,121267,13601,,1844,,63605,,60938,60592,346,,2667,,764510,,739632,708647,,30985,19753,,24878,,"Georgia"
