"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9512.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  12 Justice system expenditures of 68 large county governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  5/10/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                                                            Total justice system",,,,,,,,"                                                        Police Protection",,,,,,,,"                                                  Judicial and Legal",,,,,,,,"                                                                               Corrections",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"                          Direct expenditure",,,,,,,,"                          Direct expenditure",,,,,,,,"                         Direct expenditure",,,,,,,,"                                       Direct expenditure",,,,,,,,
,"Fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"year",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,"                   Capital outlay",,,"Inter-",,
,"ends in",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct",,,,,"governmental",,
"County","month",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current",,"Total","Construction",,"expenditure",,"County"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",6,,$259139,,$259139,$256234,$2905,,"-",,$24729,,$24729,$24643,$86,,"-",,$132653,,$132653,$131971,$682,,"-",,$101757,,$101757,$99620,,$2137,$1769,,"-",,"Alameda, CA"
"Allegheny, PA",12,,129094,,129094,128408,686,,"-",,22045,,22045,21962,83,,"-",,59000,,59000,58662,338,,"-",,48049,,48049,47784,,265,"-",,"-",,"Allegheny, PA"
"Baltimore, MD",6,,102543,,102543,101020,1523,,"-",,75814,,75814,74744,1070,,"-",,12853,,12853,12589,264,,"-",,13876,,13876,13687,,189,"-",,"-",,"Baltimore, MD"
"Bergen, NJ",12,,75725,,75725,72911,2814,,"-",,12479,,12479,11210,1269,,"-",,34060,,34060,32515,1545,,"-",,29186,,29186,29186,,"-","-",,"-",,"Bergen, NJ"
"Bexar, TX",12,,118931,,118931,104160,14771,,"-",,15523,,15523,14695,828,,"-",,34371,,34371,34166,205,,"-",,69037,,69037,55299,,13738,11319,,"-",,"Bexar, TX"
"Broward, FL",9,,255242,,255226,249125,6101,,$16,,124839,,124839,120847,3992,,"-",,50959,,50944,49198,1746,,$15,,79444,,79443,79080,,363,132,,$1,,"Broward, FL"
"Contra Costa, CA",6,,168467,,168457,167874,583,,10,,37159,,37149,36995,154,,$10,,73482,,73482,73190,292,,"-",,57826,,57826,57689,,137,"-",,"-",,"Contra Costa, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, IL",11,,621166,,621166,552102,69064,,"-",,50491,,50491,49976,515,,"-",,309759,,309759,308653,1106,,"-",,260916,,260916,193473,,67443,67443,,"-",,"Cook, IL"
"Cuyahoga, OH",12,,182781,,175039,162334,12705,,7742,,15216,,15216,14437,779,,"-",,97561,,95966,93122,2844,,1595,,70004,,63857,54775,,9082,8880,,6147,,"Cuyahoga, OH"
"Dade, FL",9,,596126,,595169,577743,17426,,957,,293930,,293930,290260,3670,,"-",,133158,,132201,126871,5330,,957,,169038,,169038,160612,,8426,7304,,"-",,"Dade, FL"
"Dallas, TX",12,,253147,,253147,234384,18763,,"-",,21410,,21410,21125,285,,"-",,86779,,86779,69673,17106,,"-",,144958,,144958,143586,,1372,964,,"-",,"Dallas, TX"
"Delaware, PA",12,,47830,,47529,47529,"-",,301,,6037,,6037,6037,"-",,"-",,23315,,23315,23315,"-",,"-",,18478,,18177,18177,,"-","-",,301,,"Delaware, PA"
"Du Page, IL",11,,58893,,58893,44782,14111,,"-",,16506,,16506,14450,2056,,"-",,15745,,15745,15132,613,,"-",,26642,,26642,15200,,11442,11391,,"-",,"Du Page, IL"
"Erie, NY",12,,83757,,81646,79680,1966,,2111,,25786,,25786,23931,1855,,"-",,16403,,16403,16372,31,,"-",,41568,,39457,39377,,80,"-",,2111,,"Erie, NY"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essex, MA",6,,28207,,28207,26121,2086,,"-",,"-",,"-","-","-",,"-",,1552,,1552,1552,"-",,"-",,26655,,26655,24569,,2086,"-",,"-",,"Essex, MA"
"Essex, NJ",12,,132712,,132712,131788,924,,"-",,15748,,15748,15748,"-",,"-",,70299,,70299,70207,92,,"-",,46665,,46665,45833,,832,832,,"-",,"Essex, NJ"
"Fairfax, VA",6,,116967,,116522,116522,"-",,445,,76322,,76322,76322,"-",,"-",,13040,,13040,13040,"-",,"-",,27605,,27160,27160,,"-","-",,445,,"Fairfax, VA"
"Franklin, OH",12,,99986,,99612,98124,1488,,374,,16336,,16336,15901,435,,"-",,51090,,51090,50379,711,,"-",,32560,,32186,31844,,342,"-",,374,,"Franklin, OH"
"Fresno, CA",6,,129013,,129013,128046,967,,"-",,29964,,29964,29751,213,,"-",,59044,,59044,58761,283,,"-",,40005,,40005,39534,,471,"-",,"-",,"Fresno, CA"
"Fulton, GA",12,,109908,,109908,107540,2368,,"-",,24962,,24962,23726,1236,,"-",,49152,,49152,48179,973,,"-",,35794,,35794,35635,,159,"-",,"-",,"Fulton, GA"
"Hamilton, OH",12,,145740,,143472,128125,15347,,2268,,26288,,24020,22760,1260,,2268,,71475,,71475,67321,4154,,"-",,47977,,47977,38044,,9933,9802,,"-",,"Hamilton, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, TX",12,,424247,,424247,413499,10748,,"-",,99327,,99327,98649,678,,"-",,105686,,105686,104730,956,,"-",,219234,,219234,210120,,9114,4166,,"-",,"Harris, TX"
"Hennepin, MN",12,,154887,,154887,149879,5008,,"-",,36995,,36995,35128,1867,,"-",,62659,,62659,61295,1364,,"-",,55233,,55233,53456,,1777,705,,"-",,"Hennepin, MN"
"Hillsborough, FL",9,,176329,,176329,167614,8715,,"-",,83487,,83487,77047,6440,,"-",,43366,,43366,41307,2059,,"-",,49476,,49476,49260,,216,216,,"-",,"Hillsborough, FL"
"Hudson, NJ",12,,75425,,74984,74984,"-",,441,,11456,,11015,11015,"-",,441,,24917,,24917,24917,"-",,"-",,39052,,39052,39052,,"-","-",,"-",,"Hudson, NJ"
"Jackson, MO",12,,51467,,50065,50065,"-",,1402,,6876,,5474,5474,"-",,1402,,19847,,19847,19847,"-",,"-",,24744,,24744,24744,,"-","-",,"-",,"Jackson, MO"
"Jefferson, AL",9,,49587,,49587,49086,501,,"-",,18933,,18933,18561,372,,"-",,15814,,15814,15691,123,,"-",,14840,,14840,14834,,6,"-",,"-",,"Jefferson, AL"
"Jefferson, KY",6,,73774,,73774,71003,2771,,"-",,33020,,33020,30747,2273,,"-",,14995,,14995,14995,"-",,"-",,25759,,25759,25261,,498,"-",,"-",,"Jefferson, KY"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"King, WA",12,,232259,,232259,228554,3705,,"-",,61518,,61518,61276,242,,"-",,115670,,115670,112503,3167,,"-",,55071,,55073,54775,,296,212,,"-",,"King, WA"
"Lake, IN",12,,31359,,30853,30537,316,,506,,9575,,9575,9485,90,,"-",,12551,,12551,12480,71,,"-",,9233,,8727,8572,,155,"-",,506,,"Lake, IN"
"Los Angeles, CA",6,,2113731,,2076250,1947927,128323,,37481,,662658,,625177,564065,61112,,37481,,786475,,786475,746529,39946,,"-",,664598,,664598,637333,,27265,3488,,"-",,"Los Angeles, CA"
"Macomb, WI",12,,57454,,57454,57235,219,,"-",,19415,,19415,19241,174,,"-",,24073,,24073,24028,45,,"-",,13966,,13966,13966,,"-","-",,"-",,"Macomb, WI"
"Maricopa, AZ",6,,267609,,267609,263937,3672,,"-",,46419,,46419,45719,700,,"-",,127089,,127089,124794,2295,,"-",,94101,,94101,93424,,677,58,,"-",,"Maricopa, AZ"
"Middlesex, MA",6,,34051,,34051,34051,"-",,"-",,"-",,"-","-","-",,"-",,"-",,"-","-","-",,"-",,34051,,34051,34051,,"-","-",,"-",,"Middlesex, MA"
"Middlesex, NJ",12,,75118,,75118,69992,5126,,"-",,6908,,6908,6908,"-",,"-",,37904,,37904,32778,5126,,"-",,30306,,30306,30306,,"-","-",,"-",,"Middlesex, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",12,,123625,,123625,122558,1067,,"-",,14320,,14320,14320,"-",,"-",,48559,,48559,48559,"-",,"-",,60746,,60746,59679,,1067,1067,,"-",,"Milwaukee, WI"
"Monmouth, NJ",12,,56016,,56016,55038,978,,"-",,7024,,7024,6944,80,,"-",,20855,,20855,20847,8,,"-",,28137,,28137,27247,,890,890,,"-",,"Monmouth, NJ"
"Monroe, NY",12,,103858,,94654,93624,1030,,9204,,31709,,31709,30805,904,,"-",,23785,,17720,17671,49,,6065,,48364,,45225,45148,,77,"-",,3139,,"Monroe, NY"
"Montgomery, MD",6,,130715,,130488,128955,1533,,227,,90004,,89777,89302,475,,227,,19785,,19785,19613,172,,"-",,20926,,20926,20040,,886,801,,"-",,"Montgomery, MD"
"Montgomery, OH",12,,78803,,75762,74633,1129,,3041,,15203,,15203,14635,568,,"-",,40616,,40616,40108,508,,"-",,22984,,19943,19890,,53,"-",,3041,,"Montgomery, OH"
"Montgomery, PA",12,,59678,,56222,55865,357,,3456,,792,,792,782,10,,"-",,26938,,26938,26680,258,,"-",,31948,,28492,28403,,89,"-",,3456,,"Montgomery, PA"
"Multnomah, OR",6,,84718,,84718,82283,2435,,"-",,17533,,17533,16042,1491,,"-",,24179,,24179,23518,661,,"-",,43006,,43006,42723,,283,"-",,"-",,"Multnomah, OR"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nassau, NY",12,,565203,,563501,552468,11033,,1702,,385668,,385668,379962,5706,,"-",,43301,,43301,43301,"-",,"-",,136234,,134532,129205,,5327,5327,,1702,,"Nassau, NY"
"Norfolk, MA",6,,15475,,15475,15265,210,,"-",,"-",,"-","-","-",,"-",,"-",,"-","-","-",,"-",,15475,,15475,15265,,210,"-",,"-",,"Norfolk, MA"
"Oakland, MI",12,,124387,,120355,120236,119,,4032,,25900,,25900,25861,39,,"-",,50629,,50629,50561,68,,"-",,47858,,43826,43814,,12,"-",,4032,,"Oakland, MI"
"Oklahoma, OK",6,,18591,,18469,17629,840,,122,,6378,,6378,5579,799,,"-",,5097,,4975,4966,9,,122,,7116,,7116,7084,,32,"-",,"-",,"Oklahoma, OK"
"Orange, CA",6,,437867,,433735,422174,11561,,4132,,117256,,113297,109642,3655,,3959,,195020,,194847,189935,4912,,173,,125591,,125591,122597,,2994,639,,"-",,"Orange, CA"
"Palm Beach, FL",9,,231612,,231612,207299,24313,,"-",,113626,,113626,104875,8751,,"-",,63601,,63601,48611,14990,,"-",,54385,,54385,53813,,572,331,,"-",,"Palm Beach, FL"
"Pima, AZ",6,,128174,,128174,126734,1440,,"-",,36417,,36417,35920,497,,"-",,51103,,51103,50222,881,,"-",,40654,,40654,40592,,62,"-",,"-",,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL",9,,142283,,142283,116958,25325,,"-",,58346,,58346,55016,3330,,"-",,48674,,48674,27156,21518,,"-",,35263,,35263,34786,,477,143,,"-",,"Pinellas, FL"
"Prince Georges, MD",6,,141172,,141172,139775,1397,,"-",,85768,,85768,85716,52,,"-",,29881,,29881,28638,1243,,"-",,25523,,25523,25421,,102,102,,"-",,"Prince Georges, MD"
"Riverside, CA",6,,308501,,308430,299434,8996,,71,,94849,,94849,94155,694,,"-",,116609,,116609,111493,5116,,"-",,97043,,96972,93786,,3186,3002,,71,,"Riverside, CA"
"Sacramento, CA",6,,271286,,266328,259767,6561,,4958,,62093,,62093,58543,3550,,"-",,119653,,119653,118139,1514,,"-",,89540,,84582,83085,,1497,1403,,4958,,"Sacramento, CA"
