"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9519.csv",,,,,,,,,
"table #:  19 Supplemental data for 68 large county governments, 1995",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  6/29/99",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 19. Supplemental data for 68 large county governments, 1995",,,,,,,,,
,,,,,,,,,
,,,"                                   Expenditures, fiscal 1995",,,,,"     Full-time equivalent employment",
,,,"                                     (thousands of dollars)",,,,,"                       October, 1995",
,,,,,,,,,
,,,"                             All functions",,,,,,
,"Population",,"Total (direct and","Direct expenditure",,"Total general",,,"General functions"
"County","1990/a",,"intergovernmental)","only",,"expenditure/b",,"All functions","only/c"
,,,,,,,,,
"Alameda, CA",1279182,,$1583423,$1464852,,$1507684,,10211,10211
"Allegheny, PA",1336449,,1040951,989991,,1005012,,8011,8011
"Baltimore, MD",692134,,1514262,1470090,,1444191,,21484,21484
"Bergen, NJ",825380,,563204,537655,,563204,,,
"Bexar, TX",1185394,,602609,563124,,601948,,8263,8263
"Broward, FL",1255488,,1083150,1054408,,975781,,10317,9135
"Contra Costa, CA",803732,,1131769,1130373,,1064764,,,
,,,,,,,,,
"Cook, IL",5105067,,1997007,1980752,,1869820,,27468,27468
"Cuyahoga, OH",1412140,,1134197,1120943,,1134197,,14938,14938
"Dade, FL",1937094,,4051890,4039176,,3647997,,34838,30690
"Dallas, TX",1852810,,848981,847112,,846930,,11214,11214
"Delaware, PA",547651,,268623,257161,,261980,,3164,3164
"Du Page, IL",781666,,291221,285976,,289251,,2975,2961
"Erie, NY",968532,,1244374,991982,,1219604,,9657,9345
,,,,,,,,,
"Essex, MA",670080,,55117,55117,,43199,,,
"Essex, NJ",778206,,694115,646496,,694115,,,
"Fairfax, VA",818584,,2311657,2270682,,2057815,,31218,30823
"Franklin, OH",961437,,577778,558960,,576974,,6363,6363
"Fresno, CA",667490,,957333,950220,,920082,,8430,8430
"Fulton, GA",648951,,870310,475226,,824231,,5884,5852
"Hamilton, OH",866228,,574463,480194,,574463,,5643,5643
,,,,,,,,,
