"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9506.csv",,,,,,,,,
"table #:  6 Percent distribution of justice system payrolls by State and level of government, October 1995",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  1/13/2000",,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State and level of government, October 1995",,,,,,,,,
,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"         Total justice system",,"          Police protection",,"             Judicial and Legal",,"                Corrections",
,,,,,,,,,
,"Total",,"Percent of",,"Percent of",,"Percent of",,"Percent of"
"State and level","October","October","total October","October","total October","October","total October","October","total October"
"of government","payrolls/a","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b"
,,,,,,,,,
"States-local, total",37711045,5092500,13.5,2477002,48.6,993647,19.5,1621851,31.8
"State",10923919,1776638,16.3,286650,16.1,428295,24.1,1061693,59.8
"Local, total",26787125,3315862,12.4,2190352,66.1,565352,17.0,560158,16.9
"Counties",6395422,1426094,22.3,553523,38.8,429703,30.1,442869,31.1
"Municipalities",8271899,1889768,22.8,1636828,86.6,135650,7.2,117290,6.2
,,,,,,,,,
"Alabama",519584,52653,10.1,26348,50.0,11384,21.6,14921,28.3
"State",190640,21232,11.1,3075,14.5,8120,38.2,10036,47.3
"Local, total",328944,31421,9.6,23273,74.1,3264,10.4,4885,15.5
"Counties",43834,11775,26.9,5334,45.3,2075,17.6,4366,37.1
"Municipalities",76614,19646,25.6,17939,91.3,1188,6.0,518,2.6
,,,,,,,,,
"Alaska",169930,18336,10.8,8655,47.2,4846,26.4,4835,26.4
"State",79760,11027,13.8,1947,17.7,4378,39.7,4702,42.6
"Local, total",90170,7308,8.1,6708,91.8,468,6.4,133,1.8
"Boroughs",26702,602,2.3,423,70.3,139,23.1,40,6.7
"Municipalities",59047,6707,11.4,6285,93.7,329,4.9,92,1.4
,,,,,,,,,
"Arizona",550456,84364,15.3,37740,44.7,19761,23.4,26863,31.8
"State",142280,25074,17.6,5265,21.0,3915,15.6,15894,63.4
"Local, total",408176,59290,14.5,32475,54.8,15846,26.7,10969,18.5
"Counties",90701,29596,32.6,6728,22.7,11898,40.2,10969,37.1
"Municipalities",100604,29694,29.5,25747,86.7,3947,13.3,0,0.0
,,,,,,,,,
"Arkansas",269115,25298,9.4,12568,49.7,4624,18.3,8106,32.0
"State",108584,10209,9.4,2319,22.7,1600,15.7,6290,61.6
"Local, total",160531,15089,9.4,10249,67.9,3024,20.0,1816,12.0
"Counties",23055,6201,26.9,2373,38.3,2113,34.1,1715,27.7
"Municipalities",33311,8888,26.7,7876,88.6,911,10.2,101,1.1
,,,,,,,,,
"California",4931813,781711,15.9,378341,48.4,159695,20.4,243675,31.2
"State",1186496,201794,17.0,40024,19.8,12275,6.1,149495,74.1
"Local, total",3745317,579917,15.5,338318,58.3,147420,25.4,94180,16.2
"Counties",1253668,338306,27.0,116144,34.3,132061,39.0,90101,26.6
"Municipalities",880060,241611,27.5,222174,92.0,15359,6.4,4079,1.7
,,,,,,,,,
"Colorado",546616,68316,12.5,32682,47.8,15516,22.7,20119,29.4
"State",182416,24584,13.5,3184,13.0,9404,38.3,11996,48.8
"Local, total",364200,43732,12.0,29498,67.5,6112,14.0,8123,18.6
"Counties",51957,14186,27.3,6517,45.9,2706,19.1,4964,35.0
"Municipalities",124272,29546,23.8,22981,77.8,3406,11.5,3159,10.7
,,,,,,,,,
"Connecticut",543026,69603,12.8,37148,53.4,10533,15.1,21922,31.5
"State",204902,37383,18.2,5639,15.1,9821,26.3,21922,58.6
"Local, total",338124,32220,9.5,31508,97.8,712,2.2,0,0.0
"Municipalities",320371,32220,10.1,31508,97.8,712,2.2,0,0.0
,,,,,,,,,
"Delaware",109723,15576,14.2,6906,44.3,3916,25.1,4754,30.5
"State",58442,11175,19.1,2935,26.3,3486,31.2,4754,42.5
"Local, total",51281,4401,8.6,3971,90.2,430,9.8,0,0.0
"Counties",6308,1778,28.2,1576,88.6,202,11.4,0,0.0
"Municipalities",8427,2623,31.1,2395,91.3,228,8.7,0,0.0
,,,,,,,,,
"District of Columbia",157645,37507,23.8,16211,43.2,6364,17.0,14932,39.8
"Local, total",157645,37507,23.8,16211,43.2,6364,17.0,14932,39.8
"Municipality",150004,37507,25.0,16211,43.2,6364,17.0,14932,39.8
,,,,,,,,,
"Florida",1727865,327411,18.9,149783,45.7,67759,20.7,109869,33.6
"State",422890,127959,30.3,12192,9.5,41183,32.2,74584,58.3
"Local, total",1304976,199452,15.3,137592,69.0,26576,13.3,35284,17.7
"Counties",414665,125816,30.3,67473,53.6,24704,19.6,33640,26.7
"Municipalities",253586,73636,29.0,70118,95.2,1873,2.5,1645,2.2
,,,,,,,,,
"Georgia",975408,120931,12.4,48835,40.4,20335,16.8,51761,42.8
"State",271880,49353,18.2,6271,12.7,4658,9.4,38424,77.9
"Local, total",703527,71577,10.2,42563,59.5,15677,21.9,13337,18.6
"Counties",144453,46281,32.0,21670,46.8,13761,29.7,10850,23.4
"Municipalities",86669,25297,29.2,20893,82.6,1916,7.6,2487,9.8
,,,,,,,,,
"Hawaii",175297,24907,14.2,11475,46.1,8304,33.3,5128,20.6
"State",133366,11499,8.6,0,0.0,6371,55.4,5128,44.6
"Local, total",41931,13408,32.0,11475,85.6,1933,14.4,0,0.0
"Counties",14052,4304,30.6,3530,82.0,773,18.0,0,0.0
"Municipalities",30807,9104,29.6,7945,87.3,1159,12.7,0,0.0
,,,,,,,,,
"Idaho",145795,17481,12.0,8552,48.9,3786,21.7,5144,29.4
"State",49235,6846,13.9,1579,23.1,1642,24.0,3625,52.9
"Local, total",96560,10635,11.0,6972,65.6,2143,20.2,1520,14.3
"Counties",22751,6621,29.1,3190,48.2,1911,28.9,1520,23.0
"Municipalities",15023,4014,26.7,3782,94.2,232,5.8,0,0.0
,,,,,,,,,
"Illinois",1660504,263901,15.9,155803,59.0,46315,17.6,61783,23.4
"State",393963,66974,17.0,13529,20.2,14157,21.1,39288,58.7
"Local, total",1266541,196927,15.5,142274,72.2,32158,16.3,22495,11.4
"Counties",202708,67160,33.1,14817,22.1,29863,44.5,22479,33.5
"Municipalities",382923,129767,33.9,127457,98.2,2295,1.8,16,0.0
,,,,,,,,,
"Indiana",719238,66405,9.2,33788,50.9,11846,17.8,20771,31.3
"State",223077,22122,9.9,4459,20.2,3761,17.0,13903,62.8
"Local, total",496161,44283,8.9,29329,66.2,8085,18.3,6869,15.5
"Counties",87304,17830,20.4,6516,36.5,5405,30.3,5909,33.1
"Municipalities",105282,26453,25.1,22814,86.2,2680,10.1,959,3.6
,,,,,,,,,
"Iowa",409874,35148,8.6,17629,50.2,9108,25.9,8411,23.9
