"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9516.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table #:  16 Justice system employment and payrolls of 49 large city governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/29/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                           Total justice system",,,,,,,"                                                         Police protection",,,,,,,"                                                                  Judicial and legal",,,,,,,"                                                                    Corrections",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                     Employment",,,,,"Average",,"                                 Employment",,,,,"Average",,"                                  Employment",,,,,"Average",,"                                 Employment",,,,,"Average",,
,,,,,"October","earnings of",,,,,,"October","earnings of",,,,,,"October","earnings of",,,,,,"October","earnings of",,
,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,
,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,
"City","employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"City"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
