"Bureau of Justice Statistics",,,,,,,,,,,,,,
"filename:  cjee9514.csv",,,,,,,,,,,,,,
"table #:  14 Sworn and nonsworn police protection, payrolls and percent distribution of ",,,,,,,,,,,,,,
"full-time equivalent employment (FTE) of 68 large county governments, October 1995",,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  6/29/99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 14.   Sworn and nonsworn police protection, payrolls and percent distribution of full-time equivalent employment (FTE)",,,,,,,,,,,,,,
"of 68 large county governments, October 1995",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"                                                                      Sworn",,,,,,,,"                                                            Non-sworn",,,,,
,,,,,,,,,,,,,,
,"                            Number of sworn",,,,,,"Average",,"                        Number of non-sworn",,,,,
,,,,,"Percent of ","October","earnings of",,,,,,"Percent of ","October"
,"Total ","Total ",,,"total police","payrolls","full-time",,"Total","Total",,,"total police","payrolls"
,"sworn","full-time","Total",,"protection"," (thousands","employees",,"nonsworn","full-time","Total",,"protection"," (thousands"
"County","employees","only","FTE",,"FTE","of dollars)"," (dollars)",,"employees","only","FTE",,"FTE","of dollars)"
,,,,,,,,,,,,,,
"Alameda, CA",748,748,748,,61.7,$3669,$4905,,478,461,464,,38.3,$1491
"Allegheny, PA",261,261,261,,63.7,884,3386,,156,147,149,,36.3,331
"Baltimore, MD",1546,1546,1546,,86.2,4750,3073,,420,172,247,,13.8,492
"Bergen, NJ",,,,,,,,,,,,,,
"Bexar, TX",335,335,335,,75.5,737,2199,,111,109,109,,24.5,235
"Broward, FL",973,973,973,,63.9,3414,3508,,604,530,549,,36.1,1533
"Contra Costa, CA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Cook, IL",501,501,501,,65.7,1880,3752,,279,242,261,,34.3,736
"Cuyahoga, OH",140,140,140,,29.7,368,2628,,331,331,331,,70.3,646
"Dade, FL",2921,2921,2921,,66.4,14507,4966,,1732,1231,1479,,33.6,3876
"Dallas, TX",308,308,308,,32.0,740,2403,,700,619,656,,68.0,1401
"Delaware, PA",88,88,88,,35.3,205,2327,,161,161,161,,64.7,313
"Du Page, IL",291,291,291,,80.6,938,3225,,70,68,70,,19.4,235
"Erie, NY",196,190,191,,62.8,562,2938,,128,105,113,,37.2,308
,,,,,,,,,,,,,,
"Essex, MA",,,,,,,,,,,,,,
"Essex, NJ",,,,,,,,,,,,,,
"Fairfax, VA",1013,1013,1013,,73.9,4539,4480,,364,273,358,,26.1,959
"Franklin, OH",197,197,197,,56.3,659,3343,,153,148,153,,43.7,338
"Fresno, CA",551,551,551,,100.0,1985,3603,,"-","-","-",,"-","-"
"Fulton, GA",343,329,333,,100.0,843,2544,,"-","-","-",,"-","-"
"Hamilton, OH",275,275,275,,71.4,862,3136,,117,105,110,,28.6,344
,,,,,,,,,,,,,,
"Harris, TX",3411,3388,3406,,100.0,9645,2836,,"-","-","-",,"-","-"
"Hennepin, MN",342,331,333,,92.8,1269,3815,,41,21,26,,7.2,95
"Hillsborough, FL",911,911,911,,62.1,3079,3380,,726,495,556,,37.9,1144
"Hudson, NJ",,,,,,,,,,,,,,
"Jackson, MO",83,83,83,,26.0,217,2611,,236,236,236,,74.0,416
"Jefferson, AL",356,356,356,,96.7,1206,3388,,14,12,12,,3.3,43
"Jefferson, KY",446,446,446,,66.1,1446,3241,,269,197,229,,33.9,391
,,,,,,,,,,,,,,
"King, WA",,,,,,,,,,,,,,
"Lake, IN",190,190,190,,72.2,466,2454,,76,51,73,,27.8,111
"Los Angeles, CA",8835,8191,8199,,98.0,44964,5487,,178,159,166,,2.0,670
"Macomb, WI",114,114,114,,82.0,452,3964,,25,25,25,,18.0,63
"Maricopa, AZ",,,,,,,,,,,,,,
"Middlesex, MA","-","-","-",,"-","-","-",,"-","-","-",,"-","-"
"Middlesex, NJ",196,196,196,,80.0,777,3963,,55,46,49,,20.0,114
,,,,,,,,,,,,,,
"Milwaukee, WI",370,370,370,,91.6,1286,3477,,34,34,34,,8.4,109
"Monmouth, NJ",78,78,78,,46.2,251,3218,,102,88,91,,53.8,255
"Monroe, NY",432,360,365,,88.2,1410,3748,,57,48,49,,11.8,186
"Montgomery, MD",1264,1108,1184,,84.0,4986,4354,,227,224,226,,16.0,757
"Montgomery, OH",430,430,430,,100.0,1378,3204,,"-","-","-",,"-","-"
"Montgomery, PA","-","-","-",,"-","-","-",,135,130,132,,100.0,261
"Multnomah, OR",186,173,179,,71.6,625,3536,,74,67,71,,28.4,171
,,,,,,,,,,,,,,
