"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9515.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table #:  15 Justice system expenditure of 49 large city governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/29/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 49 large city governments by activity and by character and object, fiscal 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                                                           Total justice system",,,,,,,,"                                                             Police Protection",,,,,,,,"                                                       Judicial and Legal",,,,,,,,"                                                                                     Corrections",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"                        Direct expenditure",,,,,,,,"                      Direct expenditure",,,,,,,,"                       Direct expenditure",,,,,,,,"                                     Direct expenditure",,,,,,,
,"Fiscal year",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,"                Capital Outlay",,,"Inter-",,
,"ends in",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct",,,,"governmental",,
"City","month",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","Total","Construction",,"expenditure",,"City"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",6,,$90645,,$90645,$89006,$1639,,"-",,$68329,,$68329,$66690,$1639,,"-",,$3967,,$3967,$3967,"-",,"-",,$18349,,$18349,$18349,"-","-",,"-",,"Albuquerque, NM"
"Atlanta, GA",12,,118547,,118547,116638,1909,,"-",,90931,,90931,89333,1598,,"-",,11963,,11963,11780,$183,,"-",,15653,,15653,15525,$128,"-",,"-",,"Atlanta, GA"
"Austin, TX",9,,79583,,79583,75436,4147,,"-",,71980,,71980,67891,4089,,"-",,7603,,7603,7545,58,,"-",,"-",,"-","-","-","-",,"-",,"Austin, TX"
"Baltimore, MD",6,,218916,,218916,216184,2732,,"-",,188510,,188510,185946,2564,,"-",,30391,,30391,30223,168,,"-",,15,,15,15,"-","-",,"-",,"Baltimore, MD"
"Baton Rouge, LA",6,,87714,,87714,85989,1725,,"-",,43130,,43130,42372,758,,"-",,25565,,25565,24906,659,,"-",,19019,,19019,18711,308,"-",,"-",,"Baton Rouge, LA"
"Boston, MA",6,,232742,,232742,224918,7824,,"-",,163753,,163753,156283,7470,,"-",,13788,,13788,13724,64,,"-",,55201,,55201,54911,290,"-",,"-",,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",12,,56007,,56007,55971,36,,"-",,54075,,54075,54075,"-",,"-",,1932,,1932,1896,36,,"-",,"-",,"-","-","-","-",,"-",,"Buffalo, NY"
"Charlotte, NC",6,,55604,,55604,47404,8200,,"-",,54827,,54827,46660,8167,,"-",,777,,777,744,33,,"-",,"-",,"-","-","-","-",,"-",,"Charlotte, NC"
"Chicago, IL",12,,790526,,790526,774321,16205,,"-",,771089,,771089,755120,15969,,"-",,19437,,19437,19201,236,,"-",,"-",,"-","-","-","-",,"-",,"Chicago, IL"
"Cincinnati, OH",12,,71426,,71426,71426,"-",,"-",,68020,,68020,68020,"-",,"-",,3406,,3406,3406,"-",,"-",,"-",,"-","-","-","-",,"-",,"Cincinnati, OH"
"Cleveland, OH",12,,171021,,170503,156428,14075,,$518,,141736,,141736,129123,12613,,"-",,23540,,23540,22231,1309,,"-",,5745,,5227,5074,153,"-",,$518,,"Cleveland, OH"
"Columbus, OH",12,,157287,,149935,143096,6839,,7352,,130782,,130782,124004,6778,,"-",,19038,,17699,17640,59,,1339,,7467,,1454,1452,2,"-",,6013,,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",9,,183608,,178448,177175,1273,,5160,,165119,,165119,163847,1272,,"-",,13329,,13329,13328,1,,"-",,5160,,"-","-","-","-",,5160,,"Dallas, TX"
"Denver, CO",12,,186521,,186521,181424,5097,,"-",,103626,,103626,98901,4725,,"-",,44575,,44575,44221,354,,"-",,38320,,38320,38302,18,"-",,"-",,"Denver, CO"
"Detroit, MI",6,,326674,,309056,303195,5861,,17618,,281696,,281696,275900,5796,,"-",,43712,,27360,27295,65,,16352,,1266,,"-","-","-","-",,1266,,"Detroit, MI"
"El Paso, TX",8,,64963,,64963,63342,1621,,"-",,59668,,59668,58052,1616,,"-",,5295,,5295,5290,5,,"-",,"-",,"-","-","-","-",,"-",,"El Paso, TX"
"Fort Worth, TX",9,,68793,,68793,67384,1409,,"-",,63601,,63601,62202,1399,,"-",,5192,,5192,5182,10,,"-",,"-",,"-","-","-","-",,"-",,"Fort Worth, TX"
"Honolulu, HI",6,,140215,,140215,138080,2135,,"-",,120218,,120218,118199,2019,,"-",,19997,,19997,19881,116,,"-",,"-",,"-","-","-","-",,"-",,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",12,,392362,,392362,361022,31340,,"-",,351981,,351981,320992,30989,,"-",,26849,,26849,26498,351,,"-",,13532,,13532,13532,"-","-",,"-",,"Houston, TX"
"Indianapolis, IN",12,,155926,,153575,146263,7312,,2351,,93369,,93369,86801,6568,,"-",,32797,,32797,32205,592,,"-",,29760,,27409,27257,152,$10,,2351,,"Indianapolis, IN"
"Jacksonville, FL",9,,157041,,157041,152916,4125,,"-",,98869,,98869,96620,2249,,"-",,20269,,20269,19503,766,,"-",,37903,,37903,36793,1110,1085,,"-",,"Jacksonville, FL"
