Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0212.csv,,,,,,,,,,,,,,,,,,,,,,,
"table #:  12 Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,,,,,

"Table 12.   Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,

,,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
County,Fiscal year ends in month of --,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Total,Constrcution only ,Intergovenrmental expenditure Total,County

"Alameda, CA",6,"$439,672","$439,672","$437,871","$1,801",$0,"$69,242","$69,242","$68,578",$664,$0,"$182,839","$182,839","$181,798","$1,041",$0,"$187,591","$187,591","$187,495",$96,$0,$0,"Alameda, CA"
"Allegheny, PA",12,"$176,003","$176,003","$174,970","$1,033",$0,"$37,988","$37,988","$37,861",$127,$0,"$75,615","$75,615","$75,007",$608,$0,"$62,400","$62,400","$62,102",$298,$0,$0,"Allegheny, PA"
