Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0207.csv,,,,,,,,,,,,,
"table #:  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2002",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2002",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,,,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protetion full-time equivalent,,March payrolls
"States-local, total","887,087","683,429","645,973","661,137",74.5,%,"$2,953,543","267,982","200,632","225,950",25.5,%,"$697,036"
State,"104,436","63,893","63,250","63,391",60.7,,"$287,883","42,643","39,994","41,045",39.3,,"$141,113"
"Local, total","782,651","619,536","582,723","597,746",76.4,,"$2,665,660","225,339","160,638","184,905",23.6,,"$555,924"
Counties,"223,689","161,841","155,457","157,812",70.5,,"$628,376","74,012","60,633","65,877",29.5,,"$199,438"
Municipalities,"558,962","457,695","427,266","439,934",78.7,,"$2,037,284","151,327","100,005","119,028",21.3,,"$356,486"
Alabama,"13,054","9,987","9,647","9,779",74.9,,"$30,819","3,731","2,976","3,275",25.1,,"$7,149"
State,"1,384",730,730,730,52.7,,"$2,897",668,645,654,47.3,,"$1,619"
"Local, total","11,670","9,257","8,917","9,049",77.5,,"$27,922","3,063","2,331","2,621",22.5,,"$5,530"
Counties,"2,726","2,247","2,176","2,202",80.8,,"$6,447",585,493,524,19.2,,"$1,122"
Municipalities,"8,944","7,010","6,741","6,847",76.6,,"$21,475","2,478","1,838","2,097",23.4,,"$4,408"
Alaska,"1,662","1,052",990,"1,024",61.6,,"$5,407",749,609,638,38.4,,"$2,400"
