Bureau of Justice Statistics,,,,,,,,,
Filename: jeee14fut06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2014",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,
,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2014",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","73,157,039","10,337,924",14.1,"5,098,941",49.3,"2,116,506",20.5,"3,122,477",30.2
U.S. - State,"21,120,229","3,498,318",16.6,"582,570",16.7,"952,660",27.2,"1,963,088",56.1
"U.S. - Local, total","52,036,810","6,839,607",13.1,"4,516,371",66,"1,163,847",17,"1,159,389",17
U.S. - Counties,"11,727,339","3,207,118",27.3,"1,359,952",42.4,"888,399",27.7,"958,767",29.9
U.S. - Municipalities,"14,637,537","3,419,905",23.4,"2,964,278",86.7,"267,342",7.8,"188,285",5.5
Alabama - Total,"1,024,902","99,246",9.7,"52,580",53,"20,674",20.8,"25,992",26.2
Alabama - State,"375,462","35,866",9.6,"5,116",14.3,"14,626",40.8,"16,124",45
"Alabama - Local, total","649,440","63,380",9.8,"47,464",74.9,"6,048",9.5,"9,868",15.6
Alabama - Counties,"63,439","24,543",38.7,"12,577",51.2,"3,247",13.2,"8,719",35.5
Alabama - Municipalities,"144,085","38,838",27,"34,888",89.8,"2,801",7.2,"1,149",3
Alaska - Total,"285,153","36,007",12.6,"12,710",35.3,"10,252",28.5,"13,045",36.2
Alaska - State,"147,708","26,974",18.3,"4,706",17.4,"9,570",35.5,"12,698",47.1
"Alaska - Local, total","137,444","9,032",6.6,"8,004",88.6,682,7.6,346,3.8
Alaska - Boroughs,"50,997",703,1.4,459,65.3,205,29.2,39,5.5
Alaska - Municipalities,"82,588","8,328",10.1,"7,544",90.6,477,5.7,307,3.7
Arizona - Total,"1,196,484","211,227",17.7,"106,134",50.2,"50,026",23.7,"55,067",26.1
Arizona - State,"345,703","54,686",15.8,"9,709",17.8,"10,233",18.7,"34,744",63.5
"Arizona - Local, total","850,781","156,542",18.4,"96,426",61.6,"39,793",25.4,"20,323",13
Arizona - Counties,"134,756","77,742",57.7,"25,915",33.3,"31,783",40.9,"20,044",25.8
Arizona - Municipalities,"225,618","78,800",34.9,"70,511",89.5,"8,010",10.2,279,0.4
Arkansas - Total,"575,441","63,258",11,"29,218",46.2,"10,270",16.2,"23,770",37.6
Arkansas - State,"244,815","27,798",11.4,"4,697",16.9,"5,502",19.8,"17,599",63.3
"Arkansas - Local, total","330,626","35,460",10.7,"24,521",69.2,"4,768",13.4,"6,171",17.4
Arkansas - Counties,"34,856","15,357",44.1,"6,238",40.6,"3,069",20,"6,050",39.4
Arkansas - Municipalities,"67,687","20,103",29.7,"18,283",90.9,"1,699",8.5,121,0.6
