Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee14fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,186,910","2,112,314","1,951,502","2,018,647",12.5,"966,421","871,506","908,408",45,"435,036","393,271","410,500",20.3,"710,857","686,725","699,739",34.7
U.S. - State,"4,330,051","724,743","703,254","714,581",16.5,"103,082","100,279","101,325",14.2,"177,950","168,691","173,339",24.3,"443,711","434,284","439,917",61.6
"U.S. - Local, total","11,856,859","1,387,571","1,248,248","1,304,066",11,"863,339","771,227","807,083",61.9,"257,086","224,580","237,161",18.2,"267,146","252,441","259,822",19.9
U.S. - Counties,"2,666,832","707,483","643,719","669,643",25.1,"284,540","256,014","266,550",39.8,"195,896","174,077","182,921",27.3,"227,047","213,628","220,172",32.9
U.S. - Municipalities,"2,915,863","639,079","574,160","600,944",20.6,"544,385","489,523","512,162",85.2,"58,237","49,248","52,687",8.8,"36,457","35,389","36,095",6
Alabama - Total,"283,046","28,457","26,120","27,259",9.6,"14,723","13,430","14,079",51.6,"5,244","4,574","4,868",17.9,"8,490","8,116","8,312",30.5
Alabama - State,"88,715","9,555","9,183","9,403",10.6,"1,367","1,367","1,367",14.5,"3,273","3,038","3,195",34,"4,915","4,778","4,841",51.5
"Alabama - Local, total","194,331","18,902","16,937","17,856",9.2,"13,356","12,063","12,712",71.2,"1,971","1,536","1,673",9.4,"3,575","3,338","3,471",19.4
Alabama - Counties,"20,301","8,288","7,286","7,737",38.1,"3,857","3,364","3,598",46.5,"1,190",906,995,12.9,"3,241","3,016","3,144",40.6
Alabama - Municipalities,"40,111","10,614","9,651","10,119",25.2,"9,499","8,699","9,114",90.1,781,630,678,6.7,334,322,327,3.2
Alaska - Total,"54,163","5,917","5,688","5,798",10.7,"1,956","1,829","1,876",32.4,"1,632","1,589","1,607",27.7,"2,329","2,270","2,315",39.9
Alaska - State,"27,049","4,495","4,359","4,437",16.4,719,677,696,15.7,"1,527","1,486","1,503",33.9,"2,249","2,196","2,238",50.4
"Alaska - Local, total","27,114","1,422","1,329","1,361",5,"1,237","1,152","1,180",86.7,105,103,104,7.6,80,74,77,5.7
Alaska - Boroughs,"10,808",131,131,132,1.2,93,93,94,71.2,28,28,28,21.2,10,10,10,7.6
Alaska - Municipalities,"15,543","1,291","1,198","1,229",7.9,"1,144","1,059","1,086",88.4,77,75,76,6.2,70,64,67,5.5
Arizona - Total,"286,650","45,744","44,602","45,172",15.8,"19,586","19,263","19,418",43,"11,066","10,461","10,770",23.8,"15,092","14,878","14,984",33.2
Arizona - State,"78,671","13,724","13,576","13,645",17.3,"1,963","1,903","1,928",14.1,"2,164","2,094","2,131",15.6,"9,597","9,579","9,586",70.3
"Arizona - Local, total","207,979","32,020","31,026","31,527",15.2,"17,623","17,360","17,490",55.5,"8,902","8,367","8,639",27.4,"5,495","5,299","5,398",17.1
Arizona - Counties,"32,405","18,529","17,844","18,206",56.2,"5,787","5,712","5,747",31.6,"7,313","6,893","7,125",39.1,"5,429","5,239","5,334",29.3
