Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee14fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2014) and full-time equivalent justice employment per 10,000 population (March 2014) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2014) and full-time equivalent justice employment per 10,000 population (March 2014) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2014,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"318,301,008",690.08,317.12,138.87,234.08,63.42,28.54,21.78,12.9,21.98
Alabama,"4,841,799",459.46,241.44,70.85,147.17,56.3,29.08,22.73,10.05,17.17
Alaska,"736,283","1,311.99",504.97,340.45,466.57,78.75,25.48,15.47,21.83,31.44
Arizona,"6,730,413",694.16,303.53,145.19,245.44,67.12,28.85,20.92,16,22.26
Arkansas,"2,967,392",451.99,217.53,68.14,166.32,66.54,28.83,21.77,10.44,27.28
California,"38,596,972","1,001.79",412.07,218.1,371.62,59.1,25.78,18.24,11.41,21.91
Colorado,"5,350,101",697.03,329.41,133.52,234.11,62.2,27.94,19.84,13.86,20.41
Connecticut,"3,594,524",691.89,316.31,182.55,193.03,60.95,27.26,21.74,17.65,16.03
Delaware,"932,487",898.02,367.99,211.84,318.18,78.46,27.08,20.93,20.52,30.86
District of Columbia,"662,328","1,313.59",912.9,181.38,219.31,119.64,69.32,59.79,30.02,20.31
Florida,"19,845,911",699.78,364.95,121.39,213.44,66.85,31.16,20.62,15.83,19.86
Georgia,"10,067,278",555.07,238.71,117.98,198.37,68.62,27.9,22.47,13.73,26.99
