Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee14fut12.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2014",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2014",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,Fiscal year ends in month of,Total justice system total expenditure,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay total,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Alameda, CA",6,"501,072","470,749","461,959","8,790","30,323","113,003","113,003","110,994","2,009",-,"156,587","126,264","122,166","4,098","30,323","231,482","231,482","228,799","2,683",-,-
"Allegheny, PA",12,"246,567","246,567","246,178",389,-,"55,347","55,347","55,162",185,-,"87,618","87,618","87,516",102,-,"103,602","103,602","103,500",102,-,-
"Anne Arundel, MD",6,"194,082","194,082","193,037","1,045",-,"125,658","125,658","124,688",970,-,"26,456","26,456","26,420",36,-,"41,968","41,968","41,929",39,-,-
"Arapahoe, CO",12,"98,098","98,098","86,989","11,109",-,"54,109","54,109","43,000","11,109",-,"12,389","12,389","12,389",-,-,"31,600","31,600","31,600",-,-,-
"Baltimore, MD",6,"253,689","253,689","253,434",255,-,"197,921","197,921","197,696",225,-,"20,353","20,353","20,353",-,-,"35,415","35,415","35,385",30,-,-
"Bergen, NJ",12,"121,645","121,645","111,432","10,213",-,"40,971","40,971","35,174","5,797",-,"34,111","34,111","34,111",-,-,"46,563","46,563","42,147","4,416","4,416",-
