Bureau of Justice Statistics,,,,,,,,
Filename: jeee14fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2014 (thousands),"Personal income, calendar year 2014, amount (millions of dollars)/a","Personal income, calendar year 2014, per capita/a","Expenditures, fiscal 2014 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2014 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2014 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2014, all functions","Full-time equivalent employment, 3/1/2014, general functions only/c"
U.S. total,"318,301","14,982,715","47,071","2,078,643,802","1,571,480,908","1,740,901,099","4,330,051","4,284,284"
Alabama,"4,842","180,458","37,269","31,758,035","25,242,960","27,924,214","88,715","87,966"
Alaska,736,"41,110","55,856","12,926,157","10,866,824","11,484,542","27,049","27,049"
Arizona,"6,730","257,410","38,248","33,704,363","26,255,904","29,295,620","78,671","78,665"
Arkansas,"2,967","113,546","38,270","20,946,622","15,121,675","18,884,518","62,170","62,170"
California,"38,597","2,021,039","52,363","286,668,146","194,798,979","234,897,420","404,879","404,879"
Colorado,"5,350","271,308","50,712","30,751,447","23,988,541","25,270,704","81,631","81,631"
Connecticut,"3,595","238,999","66,481","29,864,591","24,164,326","24,708,805","62,313","62,313"
Delaware,932,"42,888","46,017","8,827,126","7,378,378","7,915,452","26,083","25,203"
Florida,"19,846","856,162","43,140","83,123,147","66,175,571","73,005,334","176,537","175,805"
Georgia,"10,067","400,696","39,803","45,531,594","35,435,164","38,484,226","128,224","128,224"
Hawaii,"1,415","66,846","47,241","12,330,263","12,027,570","10,868,871","58,409","58,409"
Idaho,"1,631","61,827","37,907","8,735,788","6,757,590","7,411,068","23,423","23,180"
Illinois,"12,884","637,279","49,463","83,735,573","63,170,489","67,607,020","123,954","123,954"
Indiana,"6,594","270,986","41,096","37,126,721","27,732,375","33,066,467","87,671","87,671"
Iowa,"3,109","139,303","44,806","21,185,747","16,188,900","18,337,294","50,242","50,242"
Kansas,"2,900","135,976","46,888","16,899,267","12,823,059","14,855,231","50,184","50,184"
Kentucky,"4,414","165,915","37,588","30,596,678","25,896,323","25,955,144","84,568","84,568"
Louisiana,"4,644","198,234","42,686","31,662,474","25,096,335","27,195,257","77,005","77,005"
Maine,"1,331","55,650","41,811","9,161,773","7,898,851","8,097,479","21,111","21,099"
Maryland,"5,957","325,836","54,698","41,172,771","32,193,322","35,501,429","86,595","85,880"
Massachusetts,"6,763","405,506","59,959","59,856,963","50,753,855","49,724,381","99,670","99,179"
Michigan,"9,930","408,618","41,150","66,319,103","46,539,801","55,272,522","142,057","142,057"
Minnesota,"5,451","273,961","50,259","42,501,434","29,804,144","36,527,599","82,223","79,399"
Mississippi,"2,990","103,311","34,552","20,173,971","15,254,003","17,374,197","57,725","57,583"
Missouri,"6,056","253,000","41,777","31,544,025","25,730,250","26,853,602","87,666","87,666"
Montana,"1,022","42,818","41,896","6,637,771","5,515,773","5,588,583","20,721","20,691"
Nebraska,"1,879","91,999","48,962","10,062,871","7,708,681","9,316,444","32,101","32,101"
Nevada,"2,818","116,945","41,499","13,128,288","8,977,993","10,324,930","27,236","27,204"
New Hampshire,"1,333","70,225","52,682","7,663,950","5,908,483","6,339,779","18,693","18,066"
New Jersey,"8,865","520,079","58,667","75,090,096","58,620,556","58,675,029","143,707","132,520"
New Mexico,"2,090","77,722","37,188","17,675,570","13,070,901","15,467,546","46,114","46,114"
New York,"19,651","1,115,352","56,758","178,866,850","119,274,022","139,920,365","239,928","223,276"
North Carolina,"9,933","397,996","40,068","55,353,350","41,709,190","47,663,622","145,495","145,495"
North Dakota,737,"41,526","56,345","7,529,613","5,278,318","6,798,448","18,752","18,752"
Ohio,"11,603","496,069","42,754","80,733,876","63,380,818","61,896,088","136,355","136,355"
Oklahoma,"3,878","176,622","45,545","23,883,287","19,564,591","20,548,202","67,729","67,133"
Oregon,"3,963","168,409","42,495","32,738,873","27,702,241","26,501,228","66,966","66,756"
Pennsylvania,"12,788","619,388","48,435","88,863,423","69,811,052","72,722,671","162,248","157,750"
Rhode Island,"1,056","50,864","48,167","8,561,274","7,377,407","6,984,022","18,659","17,878"
South Carolina,"4,824","181,483","37,621","29,154,992","23,664,254","23,601,130","78,707","76,955"
South Dakota,849,"39,872","46,963","4,681,730","3,928,643","4,185,828","14,588","14,588"
Tennessee,"6,541","266,873","40,800","30,754,205","23,835,410","27,703,720","79,258","79,258"
Texas,"26,964","1,248,733","46,311","130,357,427","101,298,981","114,441,714","302,479","302,479"
Utah,"2,937","113,141","38,523","17,660,633","14,343,208","15,631,520","54,038","53,628"
Vermont,625,"29,887","47,819","6,467,887","4,777,837","5,957,312","14,483","14,430"
Virginia,"8,311","421,875","50,761","48,941,622","37,149,027","43,380,069","126,789","124,836"
Washington,"7,055","363,327","51,499","48,117,245","36,944,825","40,613,457","119,914","119,819"
West Virginia,"1,849","66,864","36,162","13,280,283","10,866,620","11,745,454","40,281","40,221"
Wisconsin,"5,752","258,489","44,939","39,683,644","29,108,059","33,618,716","72,551","72,551"
Wyoming,583,"33,035","56,664","5,651,263","4,368,829","4,756,826","13,484","13,447"
"Note: Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities and state-operated liquor stores.",,,,,,,,
