Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: jeee14fut04.csv,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2014",,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2014",,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State and type of government,Total justice system total expenditure/a,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay ,Total justice system intergovernmental expenditure total,Police protection total expenditure/a,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure total,Judicial and legal total expenditure/a,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure total ,Corrections total expenditure/a,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay,Corrections intergovernmental expenditure total
"U.S. - States-local, total","226,296,675","219,653,361","211,023,157","8,630,204",-,"102,722,746","100,941,046","97,251,264","3,689,782",-,"46,256,270","44,203,108","42,095,586","2,107,522",-,"77,317,659","74,509,207","71,676,307","2,832,900",-
U.S. - State,"88,710,187","82,867,279","79,000,402","3,866,877","5,842,908","15,029,108","13,257,900","12,583,777","674,123","1,771,208","23,740,553","22,363,838","20,960,211","1,403,627","1,376,715","49,940,526","47,245,541","45,456,414","1,789,127","2,694,985"
"U.S. - Local, total","137,586,488","136,786,082","132,022,755","4,763,327","800,406","87,693,638","87,683,146","84,667,487","3,015,659","10,492","22,515,717","21,839,270","21,135,375","703,895","676,447","27,377,133","27,263,666","26,219,893","1,043,773","113,467"
U.S. - Counties,"67,074,214","66,362,990","64,104,274","2,258,716","711,224","26,957,096","26,954,784","25,979,811","974,973","2,312","17,181,549","16,519,618","15,955,976","563,642","661,931","22,935,569","22,888,588","22,168,487","720,101","46,981"
U.S. - Municipalities,"64,917,226","64,833,258","62,483,553","2,349,705","83,968","56,040,013","56,035,882","54,115,493","1,920,389","4,131","4,956,092","4,941,636","4,803,050","138,586","14,456","3,921,121","3,855,740","3,565,010","290,730","65,381"
Alabama - Total,"2,269,044","2,224,615","2,145,917","78,698",-,"1,177,445","1,169,003","1,131,297","37,706",-,"346,880","343,059","337,053","6,006",-,"744,719","712,553","677,567","34,986",-
Alabama - State,"871,902","828,166","791,089","37,077","43,736","124,635","116,197","104,629","11,568","8,438","205,429","202,282","199,170","3,112","3,147","541,838","509,687","487,290","22,397","32,151"
"Alabama - Local, total","1,397,142","1,396,449","1,354,828","41,621",693,"1,052,810","1,052,806","1,026,668","26,138",4,"141,451","140,777","137,883","2,894",674,"202,881","202,866","190,277","12,589",15
