Bureau of Justice Statistics,,,,,,,
Filename: jeee14fut01.csv,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2014",,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 07/07/2021,,,,,,,
,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2014",,,,,,,
(Amounts in thousands of dollars),,,,,,,
,,,,,,,
Function - Measure ,All governments/a,Federal government,State governments,Local governments,Percent federal government,Percent state governments,Percent local governments 
Total justice system - Total expenditure,"276,753,675","50,457,000","88,710,187","137,586,488",-,-,-
Total justice system - Direct expenditure,"266,734,361","47,081,000","82,867,279","136,786,082",17.7,31.1,51.3
Total justice system - Intergovernmental expenditure,-,"3,376,000","5,842,908","800,406",-,-,-
Police protection - Total expenditure,"130,700,708","27,977,962","15,029,108","87,693,638",-,-,-
Police protection - Direct expenditure,"127,047,046","26,106,000","13,257,900","87,683,146",20.5,10.4,69
Police protection - Intergovernmental expenditure,-,"1,871,962","1,771,208","10,492",-,-,-
Judicial and legal - Total expenditure,"61,500,219","15,243,949","23,740,553","22,515,717",-,-,-
Judicial and legal - Direct expenditure,"58,427,108","14,224,000","22,363,838","21,839,270",24.3,38.3,37.4
Judicial and legal - Intergovernmental expenditure,-,"1,019,949","1,376,715","676,447",-,-,-
Corrections - Total expenditure,"84,552,748","7,235,089","49,940,526","27,377,133",-,-,-
Corrections - Direct expenditure,"81,260,207","6,751,000","47,245,541","27,263,666",8.3,58.1,33.6
Corrections - Intergovernmental expenditure,-,"484,089","2,694,985","113,467",-,-,-
"Note: Federal government data are for the fiscal period beginning October 1, 2013, and ending September 30, 2014. Local government data are estimates subject to sampling variability.",,,,,,,
"a/The total lines for each criminal justice activity, and for the total justice system, exclude duplicative intergovernmental amounts. This was done to avoid the artificial inflation that would result if an intergovernmental expenditure of a government were tabulated and then counted again when the recipient government(s) expended the amount. The intergovernmental expenditure lines are not totaled for the same reason. ",,,,,,,
