Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee14fut15.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2014",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2014",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"157,601","157,601","157,601",-,-,"153,469","153,469","153,469",-,-,"4,132","4,132","4,132",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"126,213","126,213","125,810",403,-,"117,601","117,601","117,201",400,-,"8,612","8,612","8,609",3,-,-,-,-,-,-,-
"Arlington, TX",9,"96,230","96,230","96,230",-,-,"87,953","87,953","87,953",-,-,"8,277","8,277","8,277",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"207,747","207,747","204,532","3,215",-,"164,898","164,898","161,689","3,209",-,"14,134","14,134","14,134",-,-,"28,715","28,715","28,709",6,-,-
"Aurora, CO",12,"101,600","101,600","101,016",584,-,"93,150","93,150","92,566",584,-,"8,450","8,450","8,450",-,-,-,-,-,-,-,-
"Austin, TX",9,"317,134","317,134","309,135","7,999",-,"287,449","287,449","279,500","7,949",-,"29,685","29,685","29,635",50,-,-,-,-,-,-,-
"Bakersfield, CA",6,"77,504","77,504","77,160",344,-,"77,504","77,504","77,160",344,-,-,-,-,-,-,-,-,-,-,-,-
"Baltimore, MD",6,"468,388","468,388","468,387",1,-,"410,276","410,276","410,275",1,-,"58,112","58,112","58,112",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"247,301","239,813","223,755","16,058","7,488","145,602","145,602","131,308","14,294",-,"59,809","52,321","51,534",787,"7,488","41,890","41,890","40,913",977,-,-
"Boston, MA",6,"356,209","356,209","349,809","6,400",-,"350,387","350,387","344,003","6,384",-,"5,822","5,822","5,806",16,-,-,-,-,-,-,-
"Buffalo, NY",6,"84,680","84,680","81,449","3,231",-,"81,592","81,592","78,361","3,231",-,"3,088","3,088","3,088",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"241,354","241,324","227,232","14,092",30,"238,890","238,860","224,768","14,092",30,"2,464","2,464","2,464",-,-,-,-,-,-,-,-
"Chicago, IL",12,"1,381,744","1,381,744","1,353,072","28,672",-,"1,344,126","1,344,126","1,315,454","28,672",-,"37,618","37,618","37,618",-,-,-,-,-,-,-,-
"Cleveland, OH",6,"238,837","238,571","238,555",16,266,"177,236","177,236","177,220",16,-,"47,384","47,384","47,384",-,-,"14,217","13,951","13,951",-,-,266
"Cincinnati, OH",12,"134,650","134,650","133,982",668,-,"128,770","128,770","128,102",668,-,"5,880","5,880","5,880",-,-,-,-,-,-,-,-
"Colorado Springs, CO",12,"102,541","102,541","101,723",818,-,"95,693","95,693","94,875",818,-,"6,848","6,848","6,848",-,-,-,-,-,-,-,-
"Columbus, OH",12,"347,358","347,358","338,077","9,281",-,"302,251","302,251","293,042","9,209",-,"45,107","45,107","45,035",72,-,-,-,-,-,-,-
"Corpus Christi, TX",9,"81,525","81,525","80,010","1,515",-,"74,921","74,921","73,446","1,475",-,"5,413","5,413","5,373",40,-,"1,191","1,191","1,191",-,-,-
"Dallas, TX",9,"419,698","411,469","392,191","19,278","8,229","378,185","378,185","362,236","15,949",-,"32,018","32,018","28,689","3,329",-,"9,495","1,266","1,266",-,-,"8,229"
"Denver, CO",12,"411,086","411,086","411,086",-,-,"221,668","221,668","221,668",-,-,"67,966","67,966","67,966",-,-,"121,452","121,452","121,452",-,-,-
