Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee11t12.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2011",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2011",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system direct expenditure,,,,,Police Protection direct expenditure,,,,,Judicial and Legal direct expenditure,,,,,Corrections Direct expenditure,,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
County,Fiscal year ends in month of,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay total,Construction only,Intergovernmental expenditure total,County
,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",6,484227,484227,476476,7751,-,96708,96708,94788,1920,-,172698,172698,168373,4325,-,214821,214821,213315,1506,-,-,"Alameda, CA"
"Allegheny, PA",12,227597,227597,227279,318,-,51773,51773,51734,39,-,88472,88472,88352,120,-,87352,87352,87193,159,-,-,"Allegheny, PA"
"Baltimore, MD",6,257092,257092,257073,19,-,201230,201230,201219,11,-,20759,20759,20757,2,-,35103,35103,35097,6,-,-,"Baltimore, MD"
"Bergen, NJ",12,120113,120113,109829,10284,-,44066,44066,38160,5906,-,32947,32947,32581,366,-,43100,43100,39088,4012,4012,-,"Bergen, NJ"
"Bexar, TX",9,314771,314771,258961,55810,-,75055,75055,69410,5645,-,128675,128675,86381,42294,-,111041,111041,103170,7871,7174,-,"Bexar, TX"
"Broward, FL",9,692535,692535,677201,15334,-,413921,413921,401553,12368,-,60803,60803,59560,1243,-,217811,217811,216088,1723,1453,-,"Broward, FL"
"Clark, NV",6,1058743,1058743,1031264,27479,-,605998,605998,581936,24062,-,205403,205403,202238,3165,-,247342,247342,247090,252,-,-,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA",6,310937,310937,310440,497,-,105317,105317,105010,307,-,92840,92840,92819,21,-,112780,112780,112611,169,-,-,"Contra Costa, CA"
"Cook, IL",11,1174664,1174664,1159483,15181,-,100824,100824,100824,-,-,634322,634322,622805,11517,-,439518,439518,435854,3664,3664,-,"Cook, IL"
"Cuyahoga, OH",12,336967,335489,331252,4237,1478,41458,41458,40488,970,-,207746,207746,204479,3267,-,87763,86285,86285,-,-,1478,"Cuyahoga, OH"
"Dade, FL",9,951086,951082,928064,23018,4,504193,504193,487044,17149,-,151462,151458,149361,2097,4,295431,295431,291659,3772,2178,-,"Dade, FL"
"Dallas, TX",9,259946,259946,259758,188,-,35709,35709,35687,22,-,107406,107406,107275,131,-,116831,116831,116796,35,-,-,"Dallas, TX"
"DeKalb, GA",12,227837,227837,224941,2896,-,116564,116564,114039,2525,-,57928,57928,57560,368,-,53345,53345,53342,3,-,-,"DeKalb, GA"
"Delaware, PA",12,120273,120273,120273,-,-,11671,11671,11671,-,-,55844,55844,55844,-,-,52758,52758,52758,-,-,-,"Delaware, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Du Page, IL",11,87381,87381,86328,1053,-,41944,41944,40894,1050,-,31268,31268,31265,3,-,14169,14169,14169,-,-,-,"Du Page, IL"
"Erie, NY",12,166313,166313,162575,3738,-,34947,34947,31519,3428,-,30963,30963,30884,79,-,100403,100403,100172,231,-,-,"Erie, NY"
"Essex, NJ",6,180938,180938,174459,6479,-,46491,46491,40013,6478,-,35391,35391,35390,1,-,99056,99056,99056,-,-,-,"Essex, NJ"
"Fairfax, VA",6,308658,308658,282967,25691,-,206125,206125,182839,23286,-,41358,41358,38953,2405,-,61175,61175,61175,-,-,-,"Fairfax, VA"
"Franklin, OH",12,213045,213045,211760,1285,-,40826,40826,39773,1053,-,110643,110643,110431,212,-,61576,61576,61556,20,-,-,"Franklin, OH"
