Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee11t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2011",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2011",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
,Population 2011 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total criminal justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
State and type of government,,,,,,,,,,
"States-local, total",311663,3155441611,213144097,6.8,96815812,45.4,43109592,20.2,73243350,34.4
State,-,1509203949,80822240,5.4,12906699,16,21229095,26.3,46711103,57.8
"Local, total",-,1646237662,132321857,8,83909113,63.4,21880497,16.5,26532247,20.1
Counties,-,361232277,65077458,18,25673411,39.5,16849663,25.9,22554384,34.7
Municipalities,-,501449769,62381398,12.4,54102176,86.7,4650309,7.5,3628913,5.8
,,,,,,,,,,
Alabama,4800,42380444,2296777,5.4,1160537,50.5,412411,18,723829,31.5
State,-,21260450,972756,4.6,155087,15.9,285969,29.4,531700,54.7
"Local, total",-,21119994,1324021,6.3,1005450,75.9,126442,9.5,192129,14.5
Counties,-,2313921,593797,25.7,343289,57.8,77268,13,173240,29.2
Municipalities,-,6021919,730224,12.1,662161,90.7,49174,6.7,18889,2.6
,,,,,,,,,,
Alaska,723,14580270,864471,5.9,350657,40.6,226600,26.2,287214,33.2
State,-,9597104,599740,6.2,118967,19.8,197009,32.8,283764,47.3
"Local, total",-,4983166,264731,5.3,231690,87.5,29591,11.2,3450,1.3
Boroughs,-,1932305,58983,3.1,44444,75.4,14539,24.6,0,0
Municipalities,-,2805712,205748,7.3,187246,91,15052,7.3,3450,1.7
,,,,,,,,,,
Arizona,6467,52572172,4530380,8.6,2116774,46.7,947417,20.9,1466189,32.4
State,-,24207025,1270914,5.3,229150,18,176107,13.9,865657,68.1
"Local, total",-,28365147,3259466,11.5,1887624,57.9,771310,23.7,600532,18.4
Counties,-,4380246,1614103,36.8,399746,24.8,614131,38,600226,37.2
Municipalities,-,9574926,1645363,17.2,1487878,90.4,157179,9.6,306,0
,,,,,,,,,,
Arkansas,2939,23768113,1302386,5.5,555591,42.7,202930,15.6,543865,41.8
State,-,13709526,624965,4.6,97386,15.6,116542,18.6,411037,65.8
"Local, total",-,10058587,677421,6.7,458205,67.6,86388,12.8,132828,19.6
Counties,-,1057301,321313,30.4,134037,41.7,57070,17.8,130206,40.5
Municipalities,-,2974734,356108,12,324168,91,29318,8.2,2622,0.7
,,,,,,,,,,
California,37677,453480691,37694325,8.3,15173486,40.3,8890532,23.6,13630307,36.2
State,-,191023112,14491443,7.6,1597984,11,4365124,30.1,8528335,58.9
"Local, total",-,262457579,23202882,8.8,13575502,58.5,4525408,19.5,5101972,22
Counties,-,64422776,13351331,20.7,4286967,32.1,4125745,30.9,4938619,37
Municipalities,-,68725651,9851551,14.3,9288535,94.3,399663,4.1,163353,1.7
,,,,,,,,,,
Colorado,5118,49609354,3506173,7.1,1618440,46.2,672369,19.2,1215364,34.7
State,-,22015578,1416590,6.4,129840,9.2,415371,29.3,871379,61.5
"Local, total",-,27593776,2089583,7.6,1488600,71.2,256998,12.3,343985,16.5
Counties,-,3760262,834511,22.2,486808,58.3,133658,16,214045,25.6
Municipalities,-,9373993,1255072,13.4,1001792,79.8,123340,9.8,129940,10.4
,,,,,,,,,,
Connecticut,3590,40406856,2450705,6.1,1074362,43.8,688457,28.1,687886,28.1
State,-,23608298,1538010,6.5,201917,13.1,648207,42.1,687886,44.7
"Local, total",-,16798558,912695,5.4,872445,95.6,40250,4.4,0,0
Municipalities,-,6197110,472714,7.6,454257,96.1,18457,3.9,0,0
,,,,,,,,,,
Delaware,908,9915405,741753,7.5,292842,39.5,182245,24.6,266666,36
State,-,6643361,546665,8.2,111154,20.3,168845,30.9,266666,48.8
"Local, total",-,3272044,195088,6,181688,93.1,13400,6.9,0,0
Counties,-,482440,78046,16.2,68689,88,9357,12,0,0
Municipalities,-,683595,117042,17.1,112999,96.5,4043,3.5,0,0
,,,,,,,,,,
District of Columbia,620,13934011,961792,6.9,591030,61.5,114002,11.9,256760,26.7
"Local, total",-,13934011,961792,6.9,591030,61.5,114002,11.9,256760,26.7
Municipality,-,10892357,961792,8.8,591030,61.5,114002,11.9,256760,26.7
,,,,,,,,,,
Florida,19097,163070769,13858591,8.5,7350010,53,2181134,15.7,4327447,31.2
State,-,64907848,4130318,6.4,438913,10.6,1226388,29.7,2465017,59.7
"Local, total",-,98162921,9728273,9.9,6911097,71,954746,9.8,1862430,19.1
Counties,-,29830280,6290529,21.1,3649333,58,838055,13.3,1803141,28.7
Municipalities,-,21968390,3437069,15.6,3261089,94.9,116691,3.4,59289,1.7
,,,,,,,,,,
Georgia,9812,78539361,5613418,7.1,2315651,41.3,1021903,18.2,2275864,40.5
State,-,34666295,1966891,5.7,285215,14.5,255681,13,1425995,72.5
"Local, total",-,43873066,3646527,8.3,2030436,55.7,766222,21,849869,23.3
Counties,-,8812628,2462360,27.9,1074721,43.6,652255,26.5,735384,29.9
Municipalities,-,8770244,1184167,13.5,955715,80.7,113967,9.6,114485,9.7
,,,,,,,,,,
Hawaii,1378,14388907,815477,5.7,386140,47.4,238307,29.2,191030,23.4
State,-,11267783,415965,3.7,31479,7.6,193456,46.5,191030,45.9
"Local, total",-,3121124,399512,12.8,354661,88.8,44851,11.2,0,0
Counties,-,1020620,145178,14.2,122494,84.4,22684,15.6,0,0
Municipalities,-,2059174,254334,12.4,232167,91.3,22167,8.7,0,0
,,,,,,,,,,
Idaho,1584,12017707,866165,7.2,386558,44.6,189530,21.9,290077,33.5
State,-,6697173,332624,5,49741,15,71747,21.6,211136,63.5
"Local, total",-,5320534,533541,10,336817,63.1,117783,22.1,78941,14.8
Counties,-,1262389,343511,27.2,160395,46.7,104175,30.3,78941,23
Municipalities,-,1156988,190030,16.4,176422,92.8,13608,7.2,0,0
,,,,,,,,,,
Illinois,12860,129545315,8280367,6.4,4623347,55.8,1444384,17.4,2212636,26.7
State,-,58089975,2274326,3.9,401227,17.6,359982,15.8,1513117,66.5
"Local, total",-,71455340,6006041,8.4,4222120,70.3,1084402,18.1,699519,11.6
Counties,-,7086101,2285703,32.3,568682,24.9,1017502,44.5,699519,30.6
Municipalities,-,20077918,3719766,18.5,3652866,98.2,66900,1.8,0,0
,,,,,,,,,,
Indiana,6516,52749476,2772896,5.3,1295592,46.7,476125,17.2,1001179,36.1
State,-,25996136,970061,3.7,205772,21.2,145537,15,618752,63.8
"Local, total",-,26753340,1802835,6.7,1089820,60.5,330588,18.3,382427,21.2
Counties,-,5778970,839967,14.5,312781,37.2,234400,27.9,292786,34.9
Municipalities,-,8946965,962868,10.8,777039,80.7,96188,10,89641,9.3
Iowa,3065,30322735,1452527,4.8,646138,44.5,337970,23.3,468419,32.2
State,-,14777994,667288,4.5,91304,13.7,246290,36.9,329694,49.4
"Local, total",-,15544741,785239,5.1,554834,70.7,91680,11.7,138725,17.7
Counties,-,3052635,378771,12.4,162728,43,77809,20.5,138234,36.5
Municipalities,-,5516635,406468,7.4,392106,96.5,13871,3.4,491,0.1
,,,,,,,,,,
Kansas,2870,26519114,1539332,5.8,734257,47.7,302110,19.6,502965,32.7
State,-,12477979,548763,4.4,92604,16.9,162612,29.6,293547,53.5
"Local, total",-,14041135,990569,7.1,641653,64.8,139498,14.1,209418,21.1
Counties,-,2732638,507781,18.6,230782,45.4,84865,16.7,192134,37.8
Municipalities,-,4342171,482788,11.1,410871,85.1,54633,11.3,17284,3.6
,,,,,,,,,,
Kentucky,4369,39054532,1938583,5,694394,35.8,507729,26.2,736460,38
State,-,24300803,1121618,4.6,169348,15.1,452655,40.4,499615,44.5
"Local, total",-,14753729,816965,5.5,525046,64.3,55074,6.7,236845,29
Counties,-,2732412,365885,13.4,158302,43.3,44612,12.2,162971,44.5
Municipalities,-,4247904,451080,10.6,366744,81.3,10462,2.3,73874,16.4
,,,,,,,,,,
Louisiana,4575,48949394,3572211,7.3,1525246,42.7,729141,20.4,1317824,36.9
State,-,26816285,1160655,4.3,320559,27.6,251613,21.7,588483,50.7
