Bureau of Justice Statistics,,,,,,,,,
Filename: jeee11t06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls by state and type of government, March 2011",,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,
,,,,,,,,,
"Table 6.  Percent distribution of justice system payrolls by state and type of government, March 2011",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Total March payrolls/a,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b
Counties,184939,55323,29.9,26508,47.9,11936,21.6,16879,30.5
Municipalities,160550,50222,31.3,48159,95.9,1884,3.8,179,0.4
,,,,,,,,,
Wyoming,206603,21130,10.2,8799,41.6,4898,23.2,7433,35.2
State,56206,9219,16.4,1376,14.9,3001,32.6,4842,52.5
"Local, total",150397,11912,7.9,7423,62.3,1898,15.9,2591,21.8
Counties,32168,6607,20.5,2524,38.2,1423,21.5,2660,40.3
Municipalities,18990,5266,27.7,4791,91,475,9,0,0
Note: Local government data are estimates subject to variability. March payroll data may not sum to total because of rounding.,,,,,,,,,
"a/Total March payroll includes payrolls of states and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,
b/Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,
