Bureau of Justice Statistics,,,,,,,
Filename: jeee11t02.csv,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system by level of government, March 2011",,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 6/29/2018,,,,,,,
,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system by level of government, March 2011",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
Activity,,,,,Percent of distribution,,
Total justice system:,All governments,Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total employees,2474788,291301,748824,1434663,11.8,30.3,58
Full time employees,-,-,727552,1293475,-,36,64
Full-time equivalent employment,-,-,739232,1345535,-,35.5,64.5
March payrolls,11968203,1839214,3393386,6735603,15.4,28.4,56.3
Police protection:,,,,,,,
Total employees,1199553,188642,105880,905031,15.7,8.8,75.4
Full time employees,-,-,103272,810190,-,11.3,88.7
Full-time equivalent employment,-,-,104506,843573,-,11,89
March payrolls,6256049,1179187,568574,4508288,18.8,9.1,72.1
Judicial and legal:,,,,,,,
Total employees,503441,64348,176820,262273,12.8,35.1,52.1
Full time employees,-,-,167030,229639,-,42.1,57.9
Full-time equivalent employment,-,-,172177,241467,-,41.6,58.4
March payrolls,2469518,437473,903361,1128684,17.7,36.6,45.7
Corrections:,,,,,,,
Total employees,771794,38311,466124,267359,5,60.4,34.6
Full time employees,-,-,457250,253646,-,64.3,35.7
Full-time equivalent employment,-,-,462549,260495,-,64,36
March payrolls,3242636,222554,1921451,1098631,6.9,59.3,33.9
Note: Local government data are estimates subject to sampling variability.,,,,,,,
The federal budget source provides only total employment for the federal government; that figure is included in the denominator used to compute the percent distribution of full time employees and full time equivalent employment for state and local governments.,,,,,,,
