Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0511.csv,,,,,,,,,,,,,,,,,,,,,
"table #.  11 Justice system employment and payrolls of State governments, by activity, March 2005",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,

"Table 11.   Justice system employment and payrolls of State governments, by activity, March 2005",,,,,,,,,,,,,,,,,,,,,

(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,,,,,,,,,

,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),State
State,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,

Total,"742,612","719,452","731,955","$2,808,011 ","$3,839 ","104,470","101,752","102,712","$460,668 ","$4,501 ","169,043","159,335","164,575","$735,490 ","$4,486 ","469,099","458,365","464,668","$1,611,853 ","$3,468 ",Total

Alabama,"9,540","9,442","9,467","$32,615 ","$3,437 ","1,382","1,382","1,382","$5,233 ","$3,787 ","3,276","3,186","3,205","$12,356 ","$3,832 ","4,882","4,874","4,880","$15,025 ","$3,080 ",Alabama
Alaska,"3,538","3,366","3,427","$14,946 ","$4,385 ",499,436,446,"$2,173 ","$4,938 ","1,305","1,232","1,262","$5,612 ","$4,455 ","1,734","1,698","1,719","$7,161 ","$4,191 ",Alaska
Arizona,"14,708","14,533","14,632","$46,598 ","$3,179 ","2,015","2,013","2,014","$8,318 ","$4,130 ","2,358","2,250","2,314","$9,117 ","$3,947 ","10,335","10,270","10,304","$29,163 ","$2,824 ",Arizona
Arkansas,"7,052","6,938","7,002","$20,046 ","$2,837 ","1,087","1,087","1,087","$3,717 ","$3,420 ","1,502","1,388","1,452","$4,615 ","$3,065 ","4,463","4,463","4,463","$11,713 ","$2,625 ",Arkansas
California,"68,214","64,553","66,421","$355,456 ","$5,379 ","13,636","12,553","12,701","$70,493 ","$5,576 ","4,551","4,117","4,291","$25,675 ","$6,004 ","50,027","47,883","49,429","$259,288 ","$5,274 ",California

Colorado,"11,546","10,664","11,195","$47,255 ","$4,239 ","1,179","1,160","1,170","$6,217 ","$5,324 ","3,820","3,032","3,503","$15,575 ","$4,537 ","6,547","6,472","6,522","$25,463 ","$3,905 ",Colorado
Connecticut,"14,552","14,127","14,279","$65,379 ","$4,564 ","2,000","1,958","1,984","$10,357 ","$5,245 ","4,760","4,524","4,568","$19,386 ","$4,202 ","7,792","7,645","7,727","$35,636 ","$4,604 ",Connecticut
Delaware,"5,265","5,042","5,171","$19,750 ","$3,852 ",948,909,931,"$4,843 ","$5,280 ","1,521","1,483","1,501","$5,320 ","$3,555 ","2,796","2,650","2,739","$9,587 ","$3,528 ",Delaware
Florida,"51,051","50,518","50,807","$162,524 ","$3,198 ","4,395","4,366","4,379","$15,365 ","$3,512 ","18,614","18,139","18,400","$66,929 ","$3,641 ","28,042","28,013","28,028","$80,229 ","$2,863 ",Florida
Georgia,"24,936","24,282","24,639","$69,812 ","$2,828 ","2,038","2,014","2,027","$6,838 ","$3,378 ","3,116","3,078","3,090","$14,070 ","$4,552 ","19,782","19,190","19,522","$48,903 ","$2,494 ",Georgia

Hawaii,"4,580","4,503","4,529","$17,522 ","$3,858 ", - , - , - , - , - ,"2,290","2,236","2,252","$8,943 ","$3,960 ","2,290","2,267","2,277","$8,579 ","$3,757 ",Hawaii
Idaho,"2,743","2,663","2,702","$9,098 ","$3,367 ",478,468,473,"$1,705 ","$3,626 ",451,430,434,"$2,406 ","$5,484 ","1,814","1,765","1,795","$4,986 ","$2,782 ",Idaho
Illinois,"21,087","20,974","21,019","$98,427 ","$4,681 ","3,909","3,898","3,907","$19,451 ","$4,982 ","3,129","3,035","3,067","$20,655 ","$6,744 ","14,049","14,041","14,045","$58,321 ","$4,151 ",Illinois
Indiana,"12,227","12,172","12,209","$39,650 ","$3,249 ","1,986","1,986","1,986","$7,701 ","$3,878 ","1,269","1,235","1,258","$6,615 ","$5,308 ","8,972","8,951","8,965","$25,334 ","$2,825 ",Indiana
Iowa,"6,424","6,071","6,293","$26,517 ","$4,237 ",909,883,892,"$3,969 ","$4,472 ","2,318","2,159","2,263","$10,039 ","$4,490 ","3,197","3,029","3,138","$12,509 ","$3,989 ",Iowa

Kansas,"6,961","6,728","6,814","$21,263 ","$3,127 ","1,120","1,107","1,113","$4,121 ","$3,707 ","2,240","2,046","2,116","$7,415 ","$3,536 ","3,601","3,575","3,585","$9,727 ","$2,713 ",Kansas
Kentucky,"11,529","10,549","11,183","$33,758 ","$3,053 ","2,317","2,317","2,317","$8,041 ","$3,471 ","5,203","4,377","4,999","$15,909 ","$3,300 ","4,009","3,855","3,867","$9,808 ","$2,522 ",Kentucky
Louisiana,"11,620","11,126","11,430","$38,047 ","$3,384 ","1,802","1,760","1,778","$7,674 ","$4,348 ","1,819","1,767","1,782","$7,559 ","$4,222 ","7,999","7,599","7,870","$22,813 ","$2,967 ",Louisiana
Maine,"2,594","2,504","2,561","$9,742 ","$3,818 ",552,526,546,"$2,395 ","$4,404 ",716,712,715,"$2,912 ","$4,080 ","1,326","1,266","1,300","$4,434 ","$3,427 ",Maine
Maryland,"19,306","18,563","19,170","$75,126 ","$3,964 ","2,519","2,492","2,514","$11,563 ","$4,613 ","4,767","4,321","4,673","$21,396 ","$4,749 ","12,020","11,750","11,983","$42,167 ","$3,538 ",Maryland

Massachusetts,"21,811","21,054","21,275","$100,317 ","$4,677 ","5,762","5,665","5,703","$29,974 ","$5,261 ","9,339","8,835","8,973","$41,195 ","$4,519 ","6,710","6,554","6,599","$29,148 ","$4,384 ",Massachusetts
Michigan,"21,738","21,401","21,631","$92,706 ","$4,282 ","2,784","2,729","2,743","$10,276 ","$3,736 ","1,535","1,473","1,510","$9,659 ","$6,443 ","17,419","17,199","17,378","$72,771 ","$4,183 ",Michigan
Minnesota,"7,672","7,037","7,479","$32,860 ","$4,399 ",919,898,911,"$4,425 ","$4,885 ","2,886","2,427","2,730","$13,821 ","$5,092 ","3,867","3,712","3,838","$14,614 ","$3,829 ",Minnesota
Mississippi,"5,587","5,516","5,543","$16,112 ","$2,909 ","1,183","1,183","1,183","$3,524 ","$2,979 ",687,647,659,"$3,444 ","$5,276 ","3,717","3,686","3,701","$9,143 ","$2,471 ",Mississippi
Missouri,"19,805","19,096","19,343","$54,000 ","$2,793 ","2,303","2,212","2,263","$7,603 ","$3,403 ","4,367","4,058","4,138","$14,625 ","$3,521 ","13,135","12,826","12,942","$31,773 ","$2,457 ",Missouri

Montana,"2,080","1,900","1,991","$6,386 ","$3,196 ",428,410,421,"$1,349 ","$3,221 ",525,408,466,"$1,777 ","$3,791 ","1,127","1,082","1,104","$3,260 ","$2,963 ",Montana
Nebraska,"3,971","3,851","3,906","$12,422 ","$3,191 ",725,722,724,"$2,530 ","$3,499 ",740,678,702,"$2,846 ","$4,118 ","2,506","2,451","2,480","$7,046 ","$2,844 ",Nebraska
Nevada,"4,935","4,851","4,874","$21,221 ","$4,330 ",808,807,807,"$4,012 ","$4,970 ",650,623,630,"$3,639 ","$5,748 ","3,477","3,421","3,437","$13,570 ","$3,921 ",Nevada
New Hampshire,"2,734","2,653","2,701","$9,779 ","$3,648 ",428,411,421,"$1,731 ","$4,164 ",911,910,911,"$3,276 ","$3,599 ","1,395","1,332","1,369","$4,772 ","$3,522 ",New Hampshire
New Jersey,"29,708","29,409","29,544","$146,886 ","$4,980 ","4,514","4,430","4,463","$25,764 ","$5,791 ","14,911","14,721","14,812","$71,191 ","$4,817 ","10,283","10,258","10,269","$49,931 ","$4,863 ",New Jersey

New Mexico,"7,770","7,547","7,707","$25,631 ","$3,341 ",633,633,633,"$2,503 ","$3,954 ","2,889","2,754","2,838","$10,044 ","$3,562 ","4,248","4,160","4,236","$13,084 ","$3,102 ",New Mexico
New York,"59,881","58,480","59,416","$292,154 ","$4,934 ","6,543","6,386","6,507","$38,423 ","$5,976 ","19,637","18,862","19,406","$110,061 ","$5,720 ","33,701","33,232","33,503","$143,670 ","$4,288 ",New York
North Carolina,"30,255","29,408","29,855","$91,854 ","$3,067 ","3,400","3,386","3,393","$12,720 ","$3,748 ","6,077","5,880","5,930","$23,163 ","$3,902 ","20,778","20,142","20,532","$55,971 ","$2,709 ",North Carolina
North Dakota,"1,467","1,309","1,378","$4,173 ","$3,031 ",180,177,179,$561 ,"$3,124 ",559,501,523,"$1,855 ","$3,583 ",728,631,676,"$1,757 ","$2,566 ",North Dakota
Ohio,"22,019","21,460","21,852","$84,001 ","$3,850 ","2,691","2,674","2,686","$11,798 ","$4,400 ","2,903","2,426","2,761","$12,337 ","$4,589 ","16,425","16,360","16,405","$59,866 ","$3,650 ",Ohio

Oklahoma,"10,274","9,801","9,999","$32,070 ","$3,214 ","1,901","1,801","1,850","$6,329 ","$3,448 ","2,665","2,519","2,580","$9,708 ","$3,776 ","5,708","5,481","5,569","$16,033 ","$2,878 ",Oklahoma
Oregon,"9,518","8,966","9,271","$33,309 ","$3,594 ","1,340","1,191","1,220","$4,789 ","$3,933 ","3,182","2,895","3,090","$11,205 ","$3,635 ","4,996","4,880","4,961","$17,314 ","$3,487 ",Oregon
Pennsylvania,"26,504","25,979","26,183","$104,903 ","$3,999 ","5,977","5,915","5,955","$28,825 ","$4,846 ","3,002","2,992","3,001","$14,892 ","$4,969 ","17,525","17,072","17,227","$61,185 ","$3,535 ",Pennsylvania
Rhode Island,"3,320","3,287","3,307","$15,743 ","$4,759 ",314,308,310,"$1,775 ","$5,721 ","1,263","1,241","1,258","$5,689 ","$4,520 ","1,743","1,738","1,739","$8,280 ","$4,759 ",Rhode Island
South Carolina,"9,915","9,905","9,908","$27,122 ","$2,737 ","1,858","1,858","1,858","$5,964 ","$3,210 ",692,685,687,"$2,972 ","$4,329 ","7,365","7,362","7,363","$18,186 ","$2,469 ",South Carolina

South Dakota,"1,706","1,464","1,616","$4,897 ","$3,056 ",303,296,301,"$1,010 ","$3,378 ",580,442,520,"$1,771 ","$3,477 ",823,726,795,"$2,116 ","$2,669 ",South Dakota
Tennessee,"11,387","11,329","11,360","$36,289 ","$3,195 ","1,975","1,964","1,968","$6,814 ","$3,461 ","2,254","2,245","2,250","$9,727 ","$4,328 ","7,158","7,120","7,142","$19,748 ","$2,764 ",Tennessee
Texas,"55,410","54,571","55,060","$146,574 ","$2,653 ","4,133","4,103","4,117","$13,424 ","$3,264 ","5,535","5,327","5,470","$23,311 ","$4,170 ","45,742","45,141","45,473","$109,839 ","$2,419 ",Texas
Utah,"6,017","5,481","5,692","$18,002 ","$3,177 ",845,794,817,"$2,790 ","$3,450 ","1,632","1,442","1,512","$5,397 ","$3,522 ","3,540","3,245","3,363","$9,816 ","$2,956 ",Utah
Vermont,"2,387","2,253","2,329","$9,038 ","$3,913 ",567,505,534,"$2,443 ","$4,712 ",645,587,624,"$2,540 ","$4,117 ","1,175","1,161","1,171","$4,055 ","$3,463 ",Vermont

Virginia,"21,177","20,152","20,654","$64,776 ","$3,142 ","2,810","2,652","2,748","$10,755 ","$3,972 ","3,961","3,537","3,684","$15,184 ","$4,117 ","14,406","13,963","14,222","$38,837 ","$2,737 ",Virginia
Washington,"13,584","12,828","13,196","$51,700 ","$3,933 ","2,213","2,213","2,213","$10,552 ","$4,768 ","1,976","1,796","1,889","$9,802 ","$5,243 ","9,395","8,819","9,094","$31,346 ","$3,456 ",Washington
West Virginia,"5,686","5,643","5,664","$14,711 ","$2,601 ",992,976,981,"$3,108 ","$3,176 ","1,383","1,363","1,373","$4,605 ","$3,366 ","3,311","3,304","3,310","$6,998 ","$2,115 ",West Virginia
Wisconsin,"13,104","11,818","12,570","$49,189 ","$3,910 ",908,876,894,"$3,702 ","$4,176 ","2,096","1,804","1,980","$11,149 ","$5,740 ","10,100","9,138","9,696","$34,338 ","$3,523 ",Wisconsin
Wyoming,"1,717","1,685","1,701","$5,656 ","$3,332 ",262,262,262,"$1,017 ","$3,882 ",536,510,523,"$2,099 ","$4,045 ",919,913,916,"$2,540 ","$2,775 ",Wyoming

Note: These data are based on a summation of responses from individual state agencies. Some agency data may be for a prior reporting period.,,,,,,,,,,,,,,,,,,,,,
