Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0512.csv,,,,,,,,,,,,,,,,,,,,,,,
"table #.  12 Justice system expenditures of 68 large county governments, by activity and character and object, fiscal year 2005",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,,,

"Table 12.   Justice system expenditures of 68 large county governments, by activity and character and object, fiscal year 2005",,,,,,,,,,,,,,,,,,,,,,,

(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,,
,Fiscal year ends in month of  -- ,,Direct expenditure,,,Inter-governmental expenditure,,Direct expenditure,,,Inter-governmental expenditure,,Direct expenditure,,,Inter-governmental expenditure,,Direct expenditure,,,,Inter-governmental expenditure,
County,,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,Total,Total,Total,Direct current,Capital outlay,,Total,County
,,,,,,,,,,,,,,,,,,,,Total,Construction only,,

"Alameda, CA",6,"$474,229 ","$474,229 ","$419,261 ","$54,968 ",--,"$81,508 ","$81,508 ","$80,146 ","$1,362 ",--,"$169,853 ","$169,853 ","$164,327 ","$5,526 ",--,"$222,868 ","$222,868 ","$174,788 ","$48,080 ",--,--,"Alameda, CA"
"Allegheny, PA",12,"$181,856 ","$181,856 ","$181,434 ",$422 ,--,"$35,435 ","$35,435 ","$35,377 ",$58 ,--,"$80,773 ","$80,773 ","$80,474 ",$299 ,--,"$65,648 ","$65,648 ","$65,583 ",$65 ,--,--,"Allegheny, PA"
"Baltimore, MD",6,"$210,211 ","$210,211 ","$180,814 ","$29,397 ",--,"$145,721 ","$145,721 ","$142,168 ","$3,553 ",--,"$17,536 ","$17,536 ","$17,486 ",$50 ,--,"$46,954 ","$46,954 ","$21,160 ","$25,794 ","$25,736 ",--,"Baltimore, MD"
"Bergen, NJ",6,"$90,294 ","$90,294 ","$86,402 ","$3,892 ",--,"$15,152 ","$15,152 ","$13,464 ","$1,688 ",--,"$43,009 ","$43,009 ","$40,809 ","$2,200 ",--,"$32,133 ","$32,133 ","$32,129 ",$4 ,$4 ,--,"Bergen, NJ"
"Bexar, TX",9,"$168,200 ","$168,200 ","$167,685 ",$515 ,--,"$34,355 ","$34,355 ","$34,316 ",$39 ,--,"$63,462 ","$63,462 ","$63,462 ",--,--,"$70,383 ","$70,383 ","$69,907 ",$476 ,$440 ,--,"Bexar, TX"
"Broward, FL",9,"$565,096 ","$561,000 ","$538,582 ","$22,418 ","$4,096 ","$311,455 ","$311,455 ","$296,440 ","$15,015 ",--,"$72,300 ","$72,300 ","$69,670 ","$2,630 ",--,"$181,341 ","$177,245 ","$172,472 ","$4,773 ","$3,429 ","$4,096 ","Broward, FL"
"Clark, NV",6,"$696,883 ","$696,883 ","$671,751 ","$25,132 ",--,"$391,961 ","$391,961 ","$380,432 ","$11,529 ",--,"$141,900 ","$141,900 ","$134,216 ","$7,684 ",--,"$163,022 ","$163,022 ","$157,103 ","$5,919 ","$4,534 ",--,"Clark, NV"

"Contra Costa, CA",6,"$285,407 ","$285,407 ","$282,737 ","$2,670 ",--,"$84,420 ","$84,420 ","$83,347 ","$1,073 ",--,"$94,540 ","$94,540 ","$93,188 ","$1,352 ",--,"$106,447 ","$106,447 ","$106,202 ",$245 ,--,--,"Contra Costa, CA"
"Cook, IL",11,"$1,041,600 ","$1,041,600 ","$1,021,282 ","$20,318 ",--,"$94,029 ","$94,029 ","$94,029 ",--,--,"$558,569 ","$558,569 ","$541,613 ","$16,956 ",--,"$389,002 ","$389,002 ","$385,640 ","$3,362 ","$3,362 ",--,"Cook, IL"
"Cuyahoga, OH",12,"$286,538 ","$283,499 ","$275,739 ","$7,760 ","$3,039 ","$24,916 ","$24,916 ","$24,764 ",$152 ,--,"$167,153 ","$164,894 ","$161,421 ","$3,473 ","$2,259 ","$94,469 ","$93,689 ","$89,554 ","$4,135 ","$3,999 ",$780 ,"Cuyahoga, OH"
"Dade, FL",9,"$749,706 ","$746,567 ","$718,879 ","$27,688 ","$3,139 ","$394,490 ","$394,263 ","$389,641 ","$4,622 ",$227 ,"$123,586 ","$123,586 ","$111,630 ","$11,956 ",--,"$231,630 ","$228,718 ","$217,608 ","$11,110 ","$8,384 ","$2,912 ","Dade, FL"
"Dallas, TX",9,"$240,791 ","$240,791 ","$237,162 ","$3,629 ",--,"$27,251 ","$27,251 ","$25,994 ","$1,257 ",--,"$81,620 ","$81,620 ","$80,157 ","$1,463 ",--,"$131,920 ","$131,920 ","$131,011 ",$909 ,$34 ,--,"Dallas, TX"
"Dekalb, GA",12,"$202,567 ","$202,567 ","$175,489 ","$27,078 ",--,"$109,176 ","$109,176 ","$86,894 ","$22,282 ",--,"$46,592 ","$46,592 ","$41,840 ","$4,752 ",--,"$46,799 ","$46,799 ","$46,755 ",$44 ,--,--,"Dekalb, GA"
"Delaware, PA",12,"$80,250 ","$80,250 ","$80,250 ",--,--,"$5,923 ","$5,923 ","$5,923 ",--,--,"$34,335 ","$34,335 ","$34,335 ",--,--,"$39,992 ","$39,992 ","$39,992 ",--,--,--,"Delaware, PA"

"Du Page, IL",11,"$73,885 ","$73,885 ","$71,927 ","$1,958 ",--,"$21,470 ","$21,470 ","$19,512 ","$1,958 ",--,"$23,748 ","$23,748 ","$23,748 ",--,--,"$28,667 ","$28,667 ","$28,667 ",--,--,--,"Du Page, IL"
"Erie, NY",12,"$159,115 ","$159,115 ","$147,917 ","$11,198 ",--,"$41,672 ","$41,672 ","$30,580 ","$11,092 ",--,"$28,178 ","$28,178 ","$28,133 ",$45 ,--,"$89,265 ","$89,265 ","$89,204 ",$61 ,--,--,"Erie, NY"
