Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0516.csv,,,,,,,,,,,,,,,,,,,,,
"table #.  16 Justice system employment and payrolls of 49 large city governments by activity, March 2005",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,

"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 2005",,,,,,,,,,,,,,,,,,,,,

(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,,,,,,,,,

,Total justice system,,,,,Police protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),Employment,,,March payrolls,Average earnings of full-time employees (dollars),
City,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,Total employees,Full-time employees,Full-time eqivalent,,,City

"Albuquerque, NM","2,088","1,906","1,986","$7,316 ","$3,757 ","1,546","1,373","1,446","$5,481 ","$3,887 ",75,75,75,$306 ,"$4,077 ",467,458,465,"$1,530 ","$3,312 ","Albuquerque, NM"
"Atlanta, GA",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Atlanta, GA"
"Austin, TX","2,368","2,148","2,187","$11,595 ","$5,362 ","2,119","1,921","1,954","$10,697 ","$5,540 ",249,227,233,$899 ,"$3,854 ",--,--,--,--,--,"Austin, TX"
"Baltimore, MD","4,911","4,512","4,740","$22,012 ","$4,810 ","4,086","3,687","3,915","$18,622 ","$4,966 ",825,825,825,"$3,391 ","$4,110 ",--,--,--,--,--,"Baltimore, MD"
"Baton Rouge, LA","2,225","1,935","2,040","$6,058 ","$3,038 ","1,312","1,168","1,229","$3,775 ","$3,160 ",597,451,495,"$1,547 ","$3,221 ",316,316,316,$736 ,"$2,329 ","Baton Rouge, LA"
"Boston, MA","3,956","3,752","3,839","$18,440 ","$4,866 ","2,836","2,632","2,719","$13,777 ","$5,166 ",41,41,41,$194 ,"$4,742 ","1,079","1,079","1,079","$4,468 ","$4,141 ","Boston, MA"

"Buffalo, NY",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Buffalo, NY"
"Charlotte, NC","1,925","1,854","1,879","$8,242 ","$4,417 ","1,902","1,831","1,856","$8,112 ","$4,402 ",23,23,23,$130 ,"$5,664 ",--,--,--,--,--,"Charlotte, NC"
"Chicago, IL","19,387","18,329","18,925","$65,626 ","$3,520 ","18,894","17,836","18,432","$63,247 ","$3,484 ",493,493,493,"$2,379 ","$4,825 ",--,--,--,--,--,"Chicago, IL"
"Cincinnati, OH",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Cincinnati, OH"
"Cleveland, OH","2,709","2,674","2,687","$10,466 ","$3,900 ","1,891","1,891","1,891","$8,038 ","$4,251 ",624,589,602,"$2,075 ","$3,461 ",194,194,194,$353 ,"$1,819 ","Cleveland, OH"
