Bureau of Justice Statistics,,,,,,,,
Filename: jeee13fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 7/7/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2013 (thousands),"Personal income, calendar year 2013, amount (millions of dollars)/a","Personal income, calendar year 2013, per capita/a","Expenditures, fiscal 2013 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2013 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2013 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2013, all functions","Full-time equivalent employment, 3/1/2013, general functions only/c"
U.S. total,"315,994","14,175,503","44,860","2,023,357,656","1,523,712,867","1,687,028,488","4,315,482","4,270,333"
Alabama,"4,830","174,416","36,111","31,382,719","24,875,355","27,784,838","89,366","88,643"
Alaska,737,"38,860","52,727","12,214,628","10,182,567","10,707,194","27,345","27,345"
Arizona,"6,633","242,856","36,613","32,168,343","24,887,640","27,950,540","76,865","76,857"
Arkansas,"2,959","107,241","36,242","19,234,503","14,220,896","17,266,569","64,056","64,056"
California,"38,261","1,886,379","49,303","283,572,491","188,503,030","232,072,614","397,348","397,348"
Colorado,"5,269","249,282","47,311","28,665,167","22,369,144","23,077,740","77,637","77,637"
Connecticut,"3,595","228,471","63,552","28,914,528","22,969,903","23,599,033","62,634","62,634"
Delaware,924,"40,949","44,317","8,538,142","7,210,272","7,649,026","26,691","25,819"
Florida,"19,546","795,425","40,695","80,496,743","62,687,201","70,867,265","179,485","178,753"
Georgia,"9,972","374,489","37,554","44,591,375","34,910,505","37,813,875","130,557","130,557"
