Bureau of Justice Statistics,,,,,,
Filename: jeee13fut20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 7/7/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2013/a,"Expenditures, fiscal 2013 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2013 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2013 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2013, all functions","Full-time equivalent employment, March 2013, general functions only/c"
"Albuquerque, NM","557,619","1,070,222","1,070,222","890,220","6,371","5,635"
"Anaheim, CA","344,369","1,238,161","1,225,125","692,317","2,213","1,870"
"Arlington, TX","379,266","539,002","539,002","485,928","2,576","2,407"
"Atlanta, GA","453,791","2,226,593","2,225,385","1,502,533","7,697","7,441"
"Aurora, CO","345,276","534,043","514,381","383,331","2,624","2,329"
"Austin, TX","875,463","3,316,226","3,316,226","1,621,470","12,665","10,554"
"Bakersfield, CA","363,449","426,697","406,764","398,062","1,443","1,415"
"Baltimore, MD","622,497","4,182,067","4,117,943","3,697,673","25,524","24,745"
"Baton Rouge, LA","228,280","1,340,597","1,330,311","1,231,674","7,717","7,557"
"Boston, MA","653,103","3,819,306","3,499,532","3,096,326","19,690","19,486"
"Buffalo, NY","260,041","1,525,146","1,523,745","1,514,172","9,009","8,911"
"Charlotte, NC","792,183","1,720,807","1,708,149","1,390,864","7,237","6,156"
"Chicago, IL","2,726,772","9,498,193","9,498,193","7,390,295","31,514","29,706"
"Cleveland, OH","391,759","1,254,547","1,251,766","816,252","7,327","5,973"
"Cincinnati, OH","297,775","1,075,731","1,073,866","782,740","5,352","4,810"
"Colorado Springs, CO","437,981","1,840,682","1,840,042","1,005,696","6,952","5,301"
"Columbus, OH","827,824","1,645,590","1,644,458","1,332,363","8,204","7,634"
"Corpus Christi, TX","317,101","531,449","520,445","385,289","2,758","2,489"
"Dallas, TX","1,259,239","3,498,224","3,486,913","2,712,270","14,328","13,088"
"Denver, CO","649,513","2,757,971","2,757,971","2,374,358","12,180","11,054"
"Detroit, MI","691,883","3,384,522","3,375,533","2,221,523","11,917","9,300"
"El Paso, TX","675,222","850,946","850,946","603,098","6,374","5,648"
"Fort Worth, TX","796,175","1,503,037","1,503,037","1,137,563","6,223","5,595"
"Fresno, CA","509,104","770,066","770,066","540,146","3,126","2,495"
"Honolulu, HI","986,222","2,241,218","2,241,218","1,504,557","9,228","8,685"
"Houston, TX","2,198,280","4,621,357","4,563,046","3,699,906","21,143","20,302"
"Indianapolis, IN","853,569","4,013,534","3,991,798","2,864,700","13,155","11,610"
"Jacksonville, FL","842,762","3,969,331","3,818,111","1,774,603","9,571","7,609"
"Kansas City, MO","467,243","1,915,308","1,863,450","1,618,490","6,376","5,866"
"Las Vegas, NV","599,777","786,960","655,474","786,959","2,608","2,608"
"Long Beach, CA","468,303","1,950,775","1,950,775","1,729,609","5,293","4,245"
"Los Angeles, CA","3,883,916","15,767,705","15,765,119","8,926,235","51,919","42,994"
"Louisville - Jefferson, KY","759,426","1,378,797","1,317,716","954,792","8,205","7,155"
"Memphis, TN","657,877","4,235,636","4,234,491","2,186,114","24,096","20,961"
"Mesa, AZ","464,980","819,077","819,077","608,254","3,620","3,344"
"Miami, FL","419,829","896,881","896,881","696,251","3,812","3,812"
"Milwaukee, WI","599,965","1,444,240","1,405,073","1,073,870","6,614","6,296"
"Minneapolis, MN","400,108","1,097,232","1,045,313","952,616","5,039","4,798"
"Nashville, TN","660,456","3,793,968","3,793,750","2,306,368","21,036","19,635"
"New Orleans, LA","378,623","1,773,723","1,773,723","1,607,214","6,252","5,289"
"New York, NY","8,398,739","112,451,309","104,087,928","85,605,835","407,756","359,699"
"Newark, NJ","278,152","800,331","741,102","757,474","3,675","3,574"
"Oakland, CA","406,844","1,662,804","1,662,804","1,602,882","3,889","3,889"
"Oklahoma City, OK","611,999","1,168,141","1,168,141","887,853","4,499","3,982"
"Omaha, NE","459,091","649,374","635,250","560,584","2,848","2,848"
"Philadelphia, PA","1,558,371","7,263,947","7,103,036","5,600,498","29,451","26,542"
"Phoenix, AZ","1,527,336","3,189,116","3,176,573","2,496,377","13,346","12,245"
"Pittsburgh, PA","307,022","623,205","623,205","540,155","3,142","3,142"
"Portland, OR","609,970","1,616,612","1,616,612","1,276,377","6,079","5,481"
"Raleigh, NC","431,102","661,727","661,727","494,480","4,019","3,577"
"Riverside, CA","315,667","875,860","875,860","493,974","2,230","1,803"
"Sacramento, CA","478,360","892,063","892,063","786,247","3,837","3,518"
"San Antonio, TX","1,408,787","4,743,658","4,743,658","1,779,985","15,768","11,032"
"San Diego, CA","1,355,951","3,097,583","3,091,856","2,124,666","9,286","8,609"
"San Francisco, CA","839,841","9,784,942","9,782,054","6,716,884","30,219","24,575"
"San Jose, CA","1,001,253","1,712,300","1,682,303","1,361,093","5,184","4,770"
"Santa Ana, CA","333,887","407,052","407,052","364,272","1,453","1,416"
"Seattle, WA","654,224","2,914,043","2,762,292","1,666,704","10,683","8,113"
"St. Louis, MO","318,459","1,291,336","1,255,637","1,074,711","6,162","5,815"
"Tampa, FL","352,426","820,218","820,218","672,558","4,230","3,875"
"Toledo, OH","282,303","453,780","421,424","400,249","2,132","1,847"
"Tucson, AZ","532,956","1,101,845","1,101,845","676,819","4,794","4,311"
"Tulsa, OK","398,649","876,163","875,336","715,726","3,991","3,451"
"Virginia Beach, VA","447,732","1,763,068","1,744,401","1,713,476","17,648","17,373"
"Washington, DC","650,431","12,663,897","12,251,447","11,556,724","34,691","34,302"
"Wichita, KS","387,240","740,995","740,995","599,439","2,860","2,611"
"a/Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance trust benefits.",,,,,,
"c/""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
