Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13fut15.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"163,375","163,375","163,375",-,-,"159,063","159,063","159,063",-,-,"4,312","4,312","4,312",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"121,652","121,652","118,561","3,091",-,"114,821","114,821","111,777","3,044",-,"6,831","6,831","6,784",47,-,-,-,-,-,-,-
"Arlington, TX",9,"92,401","92,401","92,401",-,-,"84,453","84,453","84,453",-,-,"7,948","7,948","7,948",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"191,447","191,447","190,662",785,-,"153,131","153,131","152,391",740,-,"13,023","13,023","12,978",45,-,"25,293","25,293","25,293",-,-,-
"Aurora, CO",12,"97,445","97,445","97,122",323,-,"89,335","89,335","89,012",323,-,"8,110","8,110","8,110",-,-,-,-,-,-,-,-
"Austin, TX",9,"305,733","305,733","296,833","8,900",-,"277,223","277,223","268,377","8,846",-,"28,510","28,510","28,456",54,-,-,-,-,-,-,-
"Bakersfield, CA",6,"74,773","74,660","74,192",468,113,"72,859","72,746","72,278",468,113,"1,914","1,914","1,914",-,-,-,-,-,-,-,-
