Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee13fut12.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2013",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,Fiscal year ends in month of,Total justice system total expenditure,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay total,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Alameda, CA",6,"500,210","469,897","460,913","8,984","30,313","110,316","110,316","107,375","2,941",-,"178,817","148,504","143,228","5,276","30,313","211,077","211,077","210,310",767,-,-
"Allegheny, PA",12,"233,441","233,441","233,068",373,-,"55,791","55,791","55,724",67,-,"86,180","86,180","86,018",162,-,"91,470","91,470","91,326",144,-,-
"Anne Arundel, MD",6,"169,794","169,794","169,185",609,-,"105,264","105,264","104,736",528,-,"24,617","24,617","24,570",47,-,"39,913","39,913","39,879",34,-,-
"Arapahoe, CO",12,"98,748","98,748","87,204","11,544",-,"54,704","54,704","43,160","11,544",-,"12,365","12,365","12,365",-,-,"31,679","31,679","31,679",-,-,-
