Bureau of Justice Statistics,,,,,,,
Filename: jeee13fut01.csv,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2013",,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 7/7/2021,,,,,,,
,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2013",,,,,,,
(Amounts in thousands of dollars),,,,,,,
,,,,,,,
Function - Measure ,All governments/a,Federal government,State governments,Local governments,Percent federal government,Percent state governments,Percent local governments 
Total justice system - Total expenditure,"272,397,771","52,601,000","85,049,790","134,746,981",-,-,-
Total justice system - Direct expenditure,"261,542,568","48,820,000","78,793,413","133,929,155",18.7,30.1,51.2
Total justice system - Intergovernmental expenditure,-,"3,781,000","6,256,377","817,826",-,-,-
Police protection - Total expenditure,"129,280,049","29,408,937","14,603,423","85,267,689",-,-,-
Police protection - Direct expenditure,"125,326,524","27,295,000","12,776,147","85,255,377",21.8,10.2,68
Police protection - Intergovernmental expenditure,-,"2,113,937","1,827,276","12,312",-,-,-
Judicial and legal - Total expenditure,"60,476,296","15,907,439","22,221,635","22,347,222",-,-,-
Judicial and legal - Direct expenditure,"56,952,875","14,764,000","20,527,076","21,661,799",25.9,36,38
Judicial and legal - Intergovernmental expenditure,-,"1,143,439","1,694,559","685,423",-,-,-
Corrections - Total expenditure,"82,641,426","7,284,624","48,224,732","27,132,070",-,-,-
Corrections - Direct expenditure,"79,263,169","6,761,000","45,490,190","27,011,979",8.5,57.4,34.1
Corrections - Intergovernmental expenditure,-,"523,624","2,734,542","120,091",-,-,-
"Note: Federal government data are for the fiscal period beginning October 1, 2012, and ending September 30, 2013. Local government data are estimates subject to sampling variability.",,,,,,,
"a/The total lines for each criminal justice activity, and for the total justice system, exclude duplicative intergovernmental amounts. This was done to avoid the artificial inflation that would result if an intergovernmental expenditure of a government were tabulated and then counted again when the recipient government(s) expended the amount. The intergovernmental expenditure lines are not totaled for the same reason. ",,,,,,,
