Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee13fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2013) and full-time equivalent justice employment per 10,000 population (March 2013) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2013) and full-time equivalent justice employment per 10,000 population (March 2013) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2013,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"315,993,715",673.19,310.23,133.51,229.44,63.62,28.59,21.74,12.91,22.12
Alabama,"4,830,081",452.4,240.85,70,141.55,56.79,29.23,22.76,10.26,17.3
Alaska,"737,068","1,302.76",508.92,331.49,462.35,76.56,25.29,15.29,21.76,29.51
Arizona,"6,632,764",698.11,308.08,148.28,241.76,68.19,29.66,21.15,15.86,22.67
Arkansas,"2,959,400",432.71,216.37,62.42,153.92,65.61,28.13,21.13,10.37,27.11
California,"38,260,787",933.54,394.42,197.86,341.26,58.36,25.9,18.33,10.99,21.47
Colorado,"5,269,035",673.04,310.52,130.11,232.42,62.09,28.18,19.97,13.58,20.34
Connecticut,"3,594,841",666.39,311.76,171.74,182.9,60.38,27.36,21.55,17.24,15.79
Delaware,"923,576",875.7,354.35,212.25,309.1,79.46,27.84,21.46,20.25,31.38
District of Columbia,"650,581","1,422.73",860.41,176.52,385.81,122.44,68.83,59.99,33.32,20.29
Florida,"19,545,621",678.93,366.2,112.22,200.52,68.73,31.41,20.7,16.35,20.97
Georgia,"9,972,479",558.57,236.56,117.12,204.89,71.62,28.1,22.59,14.01,29.51
Hawaii,"1,408,243",598.58,273.03,186.48,139.07,65.16,27.06,21.05,21.5,16.6
Idaho,"1,611,206",549.36,248.62,112.61,188.13,60.68,25.55,17.76,12.69,22.43
Illinois,"12,895,129",663.96,375.87,128.26,159.83,60.31,31.65,25.45,11.94,16.73
Indiana,"6,568,713",414.78,178.23,81.26,155.29,54.43,24,17.79,11.41,19.02
Iowa,"3,092,997",484.5,223.46,106.11,154.94,47.07,22.36,17.08,10.01,14.7
Kansas,"2,893,212",558.96,275.19,104.14,179.63,64.5,30.15,21,12.88,21.47
Kentucky,"4,404,659",464.72,168.9,123.52,172.3,56.22,21.9,17.15,15.77,18.56
Louisiana,"4,624,527",762.09,322.73,161.66,277.7,80.95,37.82,28.15,15.64,27.5
Maine,"1,328,009",404.6,193.35,68.26,143,44.4,22.72,18.15,7.22,14.47
Maryland,"5,923,188",831.99,391.63,136.63,303.72,74.16,32.23,23.95,14.33,27.6
Massachusetts,"6,713,315",618.17,290.42,137.64,190.11,60.84,29.03,23.51,13.95,17.86
Michigan,"9,913,065",626.03,255.93,116.87,253.23,50.32,20.45,16.47,10.83,19.04
Minnesota,"5,413,479",588.59,305.87,124.99,157.73,49.53,22.02,16.36,11.04,16.48
Mississippi,"2,988,711",485.26,225.37,84.46,175.43,60.64,32.67,24.56,9.63,18.35
Missouri,"6,040,715",507.83,266.63,85.66,155.55,68.46,30.52,22.59,12.89,25.05
Montana,"1,013,569",654.64,279.13,147.38,228.13,60.43,25.24,17.31,15.92,19.27
Nebraska,"1,865,279",508.12,227.58,85.32,195.21,60.41,26.55,19.78,10.57,23.29
