Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee13fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,100,049","2,109,801","1,939,474","2,010,296",12.5,"961,129","864,931","903,471",44.9,"432,882","390,290","407,834",20.3,"715,790","684,253","698,991",34.8
U.S. - State,"4,315,482","732,213","703,095","716,141",16.6,"101,971","99,154","100,242",14,"178,004","168,705","173,332",24.2,"452,238","435,236","442,567",61.8
"U.S. - Local, total","11,784,567","1,377,588","1,236,379","1,294,155",11,"859,158","765,777","803,229",62.1,"254,878","221,585","234,502",18.1,"263,552","249,017","256,424",19.8
U.S. - Counties,"2,630,879","697,275","633,285","659,521",25.1,"279,795","251,065","262,034",39.7,"192,703","171,014","179,611",27.2,"224,777","211,206","217,876",33
U.S. - Municipalities,"2,908,210","643,422","578,477","605,995",20.8,"553,130","498,326","521,826",86.1,"54,746","45,595","49,003",8.1,"35,546","34,556","35,166",5.8
Alabama - Total,"283,196","28,557","26,323","27,429",9.7,"14,741","13,543","14,116",51.5,"5,331","4,623","4,955",18.1,"8,485","8,157","8,358",30.5
Alabama - State,"89,366","9,750","9,408","9,637",10.8,"1,389","1,389","1,389",14.4,"3,388","3,145","3,316",34.4,"4,973","4,874","4,932",51.2
"Alabama - Local, total","193,830","18,807","16,915","17,792",9.2,"13,352","12,154","12,727",71.5,"1,943","1,478","1,639",9.2,"3,512","3,283","3,426",19.3
Alabama - Counties,"20,931","8,282","7,321","7,744",37,"3,943","3,522","3,702",47.8,"1,151",830,941,12.2,"3,188","2,969","3,101",40
Alabama - Municipalities,"38,716","10,348","9,436","9,849",25.4,"9,258","8,496","8,868",90,779,637,674,6.8,311,303,307,3.1
Alaska - Total,"55,308","5,771","5,518","5,643",10.2,"1,935","1,812","1,864",33,"1,633","1,576","1,604",28.4,"2,203","2,130","2,175",38.5
Alaska - State,"27,345","4,338","4,182","4,263",15.6,691,658,671,15.7,"1,526","1,471","1,497",35.1,"2,121","2,053","2,095",49.1
"Alaska - Local, total","27,963","1,433","1,336","1,380",4.9,"1,244","1,154","1,193",86.4,107,105,107,7.8,82,77,80,5.8
Alaska - Boroughs,"10,884",172,114,118,1.1,131,73,77,65.3,30,30,30,25.4,11,11,11,9.3
Alaska - Municipalities,"16,485","1,190","1,143","1,177",7.1,"1,038","1,000","1,029",87.4,79,75,77,6.5,73,68,71,6
Arizona - Total,"286,281","45,813","44,670","45,230",15.8,"19,826","19,526","19,672",43.5,"10,840","10,215","10,519",23.3,"15,147","14,929","15,039",33.3
Arizona - State,"76,865","13,775","13,645","13,713",17.8,"1,924","1,884","1,901",13.9,"2,082","2,010","2,054",15,"9,769","9,751","9,758",71.2
"Arizona - Local, total","209,416","32,038","31,025","31,517",15,"17,902","17,642","17,771",56.4,"8,758","8,205","8,465",26.9,"5,378","5,178","5,281",16.8
Arizona - Counties,"32,346","18,348","17,633","17,978",55.6,"5,863","5,788","5,822",32.4,"7,153","6,712","6,923",38.5,"5,332","5,133","5,233",29.1
Arizona - Municipalities,"44,312","13,731","13,412","13,548",30.6,"12,063","11,867","11,958",88.3,"1,618","1,496","1,540",11.4,50,49,50,0.4
Arkansas - Total,"169,483","20,376","18,883","19,417",11.5,"8,771","8,100","8,326",42.9,"3,485","2,860","3,068",15.8,"8,120","7,923","8,023",41.3
Arkansas - State,"64,056","8,235","8,057","8,151",12.7,"1,230","1,217","1,224",15,"1,470","1,319","1,395",17.1,"5,535","5,521","5,532",67.9
"Arkansas - Local, total","105,427","12,141","10,826","11,266",10.7,"7,541","6,883","7,102",63,"2,015","1,541","1,673",14.8,"2,585","2,402","2,491",22.1
Arkansas - Counties,"13,029","6,276","5,356","5,612",43.1,"2,418","2,026","2,114",37.7,"1,364","1,016","1,103",19.7,"2,494","2,314","2,395",42.7
