Bureau of Justice Statistics,,,,,,
Filename: jeee13fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 7/7/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2013/a,"Expenditures, fiscal 2013 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2013 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2013 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2013, all functions","Full-time equivalent employment, March 2013, general functions only/c"
"Alameda, CA","1,580,247","3,550,050","3,517,917","3,059,008","11,759","11,759"
"Allegheny, PA","1,233,710","1,842,656","1,755,584","1,726,903","6,882","6,882"
"Anne Arundel, MD","555,438","2,272,711","2,235,255","2,142,449","16,991","16,876"
"Arapahoe, CO","608,209","340,561","340,561","331,499","2,379","2,379"
"Baltimore, MD","822,238","3,528,483","3,455,102","3,157,515","26,401","26,401"
"Bergen, NJ","920,203","1,118,043","1,079,476","1,118,043","4,788","4,788"
"Bernalillo, NM","676,497","345,671","332,719","344,075","2,532","2,532"
"Bexar, TX","1,821,863","1,759,067","1,738,961","1,759,067","10,800","10,800"
"Brevard, FL","550,290","502,087","494,287","461,426","3,988","3,861"
"Bristol, MA","552,454","65,883","65,883","23,370",148,148
"Broward, FL","1,837,055","2,138,136","2,138,136","1,945,823","11,115","9,953"
"Bucks, PA","625,059","488,734","482,738","460,034","2,597","2,597"
"Camden, NJ","510,128","694,200","656,202","694,200","3,966","3,966"
"Clark, NV","2,018,003","4,828,297","4,761,421","4,283,329","17,843","16,257"
"Cobb, GA","716,162","997,891","911,703","775,289","4,327","4,141"
