"Bureau of Justice Statistics",,,,,,,,,,,,
"filename:  cjee0010.csv",,,,,,,,,,,,
"table #:  10 Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2000",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,
"date of version:  8/12/2003",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 10.  Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2000.",,,,,,,,,,,,
"(dollar amounts in thousands)",,,,,,,,,,,,
,,,,,,,,,,,,
"","","Institutions",,,,,,"Other corrections",,,,
"","","","","Capital outlay",,,,"","",,,
"State",,"",,"","",,,"",,,,
,"Total corrections direct expenditure","Total","Direct current","Construction","Other","Percent of total corrections direct expenditure",,"Total","Direct current","Capital outlay","Percent of total corrections direct expenditure",
,,,,,,,,,,,,
"Total",$33039925.00,$26758605.00,$24642499.00,$1761633.00,$354473.00,81.0,"%",$6281320.00,$5890466.00,$390854.00,19.0,"%"
,,,,,,,,,,,,
"Alabama",$272905.00,$203603.00,$201772.00,$782.00,$1049.00,74.6,,$69302.00,$68922.00,$380.00,25.4,
"Alaska",$173624.00,$151137.00,$149050.00,$1273.00,$814.00,87.0,,$22487.00,$22093.00,$394.00,13.0,
"Arizona",$660223.00,$560308.00,$530424.00,$12496.00,$17388.00,84.9,,$99915.00,$94562.00,$5353.00,15.1,
"Arkansas",$266397.00,$194557.00,$178912.00,$11540.00,$4105.00,73.0,,$71840.00,$69510.00,$2330.00,27.0,
"California",$4118370.00,$3498261.00,$3378716.00,$95736.00,$23809.00,84.9,,$620109.00,$602593.00,$17516.00,15.1,
,,,,,,,,,,,,
"Colorado",$599202.00,$447913.00,$342946.00,$97942.00,$7025.00,74.8,,$151289.00,$147232.00,$4057.00,25.2,
"Connecticut",$553905.00,$496953.00,$481758.00,$10885.00,$4310.00,89.7,,$56952.00,$56320.00,$632.00,10.3,
"Delaware",$228076.00,$160200.00,$159528.00,$0.00,$672.00,70.2,,$67876.00,$61367.00,$6509.00,29.8,
"Florida",$2217112.00,$1504961.00,$1451714.00,$32217.00,$21030.00,67.9,,$712151.00,$659301.00,$52850.00,32.1,
"Georgia",$968737.00,$690725.00,$675750.00,$6716.00,$8259.00,71.3,,$278012.00,$267456.00,$10556.00,28.7,
,,,,,,,,,,,,
"Hawaii",$154622.00,$138409.00,$135812.00,$1781.00,$816.00,89.5,,$16213.00,$16090.00,$123.00,10.5,
"Idaho",$148726.00,$131905.00,$117444.00,$12244.00,$2217.00,88.7,,$16821.00,$16450.00,$371.00,11.3,
"Illinois",$1277485.00,$1071355.00,$900231.00,$154508.00,$16616.00,83.9,,$206130.00,$193224.00,$12906.00,16.1,
"Indiana",$536725.00,$493606.00,$449064.00,$29874.00,$14668.00,92.0,,$43119.00,$41578.00,$1541.00,8.0,
"Iowa",$224364.00,$213391.00,$210006.00,$691.00,$2694.00,95.1,,$10973.00,$10517.00,$456.00,4.9,
,,,,,,,,,,,,
"Kansas",$272842.00,$261924.00,$243198.00,$14166.00,$4560.00,96.0,,$10918.00,$10797.00,$121.00,4.0,
"Kentucky",$394222.00,$270481.00,$256264.00,$8342.00,$5875.00,68.6,,$123741.00,$120279.00,$3462.00,31.4,
"Louisiana",$396808.00,$323523.00,$303703.00,$15427.00,$4393.00,81.5,,$73285.00,$71685.00,$1600.00,18.5,
"Maine",$91882.00,$62622.00,$62324.00,$56.00,$242.00,68.2,,$29260.00,$25529.00,$3731.00,31.8,
"Maryland",$893906.00,$500097.00,$482443.00,$16180.00,$1474.00,55.9,,$393809.00,$366348.00,$27461.00,44.1,
,,,,,,,,,,,,
"Massachusetts",$605156.00,$494506.00,$478109.00,$9196.00,$7201.00,81.7,,$110650.00,$87816.00,$22834.00,18.3,
