"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,
"filename:  cjee0008.csv",,,,,,,,,,,,,,,,,,,
"table #:  8 Per capita justice expenditure (fiscal 2000) and full-time equivalent justice employment per 10,000 population (March 2000) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2000) and full-time equivalent justice employment per 10,000 population (March 2000) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,,
"(Data in thousands)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Full-time equivalent justice employment per 10,000 population, March 2000",,,,,,,,,
,,"Per capita justice expenditure fiscal 2000",,,,,,,,,,,,"Police protection",,,,,
"State","Population 2000","Total justice system",,"Police ",,"Judicial and legal",,"Corrections",,"Total justice system",,"Total",,"Sworn only",,"Judicial and legal",,"Corrections",
,,,,,,,,,,,,,,,,,,,
"Total",281418,471.31,132635690.00,201.83,56798071.00,96.06,27032180.00,173.43,48805439.00,69.0,19405710.0,30.8,8673680.0,23.2,6516180.0,13.8,3897280.0,24.3,6834750.0
,,,,,,,,,,,,,,,,,,,
"Alabama",4447,297.24,1321833.00,147.50,655951.00,58.83,261598.00,90.91,404284.00,56.9,252980.0,29.5,131230.0,22.9,101880.0,11.4,50720.0,16.0,71030.0
