"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0007.csv",,,,,,,,,,,,,
"table 7.  Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 2000",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"author:  Steven Smith    ",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 2000",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"                                                         Sworn",,,,,,"                                                            Nonsworn",,,,
,,,,,,,,,,,,,
,"Total police",,,,,"Percent of",,,,,,"Percent of",
,"protection",,"                      Number of employees",,,"total police","March ",,"                       Number of employees",,,"total police","March "
,"full-time",,,,,"protection","payrolls",,,,,"protection","payrolls"
"State and level","equivalent",,,"Full-time","Full-time","full-time","(thousands",,,"Full-time","Full-time","full-time","(thousands"
"of government","employment",,"Total","only","equvialent","equivalent","of dollars)",,"Total","only","equvialent","equivalent","of dollars)"
,,,,,,,,,,,,,
"States-local, total",867368,,676017,635039,651618,75.1,2616329,,259053,190620,215750,24.9,608610
"State",101265,,61772,61088,61282,60.5,256512,,41361,38720,39983,39.5,123119
"Local, total",766103,,614245,573951,590336,77.1,2359818,,217692,151900,175767,22.9,485492
"Counties",216694,,159897,151976,154951,71.5,559544,,70115,56449,61743,28.5,170537
"Municipalities",549409,,454348,421975,435385,79.2,1800274,,147577,95451,114024,20.8,314955
,,,,,,,,,,,,,
"Alabama",13123,,10217,9924,10188,77.6,28201,,3209,2701,2935,22.4,5844
"State",1353,,745,745,745,55.1,2711,,617,595,608,44.9,1456
"Local, total",11770,,9472,9179,9443,80.2,25491,,2592,2106,2327,19.8,4388
"Counties",2418,,2091,1963,1986,82.1,5504,,444,419,432,17.9,774
"Municipalities",9352,,7381,7216,7457,79.7,19987,,2148,1687,1895,20.3,3614
,,,,,,,,,,,,,
"Alaska",1628,,1208,1073,1127,69.2,5474,,891,472,501,30.8,2051
"State",440,,310,310,310,70.5,1625,,197,114,130,29.5,413
"Local, total",1188,,898,763,817,68.8,3849,,694,358,371,31.2,1638
"Boroughs",81,,8,8,8,9.9,117,,73,73,73,90.1,283
