"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0006.csv",,,,,,,,,,,,,
"table  6.  Percent distribution of justice system payrolls by State",,,,,,,,,,,,,
"and level of government, March 2000",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"authors:  Steven Smith ",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State",,,,,,,,,,,,,
"and level of government, March 2000",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"         Total justice system",,,"             Police protection",,,"          Judicial and Legal",,,"                Corrections",
,,,,,,,,,,,,,
,"Total",,,"Percent of",,,"Percent of",,,"Percent of",,,"Percent of"
"State and level","March",,"March","total March",,"March","total March",,"March","total March",,"March","total March"
