"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0013.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 13.  Justice system employment and payrolls of 68 large county",,,,,,,,,,,,,,,,,,,,,,,,
"governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Steven Smith ",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13.  Justice system employment and payrolls of 68 large county",,,,,,,,,,,,,,,,,,,,,,,,
"governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" ","                                                       Total justice system",,,,,,"                                                      Police Protection",,,,,,"                                               Judicial and Legal",,,,,,"                                                    Corrections       ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,,"Average",,,,,,"Average",,,,,,"Average",
,,"        Employment",,"March","earnings of",,"                                Employment",,,"March","earnings of",,"                           Employment",,,"March","earnings of",,"                              Employment",,,"March","earnings of",
,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",
"County","employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)","County"
,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",3442,3282,3360,18339,5504,,493,487,489,3178,6514,,1534,1486,1501,7899,5272,,1415,1309,1370,7261,5391,"Alameda, CA"
"Allegheny, PA",2874,2823,2852,8197,2890,,501,500,501,1666,3328,,1675,1641,1657,4529,2748,,698,682,694,2003,2910,"Allegheny, PA"
"Baltimore, MD",2941,2638,2766,10772,3983,,2275,2023,2109,8651,4192,,340,310,333,1127,3505,,326,305,324,994,3089,"Baltimore, MD"
"Bergen, NJ",795,777,787,1672,2115,,187,178,183,492,2678,,307,298,303,1074,3560,,301,301,301,106,351,"Bergen, NJ"
"Bexar, TX",3528,3474,3504,8597,2460,,511,507,507,1391,2739,,1044,1000,1027,2728,2682,,1973,1967,1970,4479,2275,"Bexar, TX"
"Broward, FL",4583,4505,4529,14146,3131,,1770,1713,1733,5995,3482,,1160,1139,1143,3257,2849,,1653,1653,1653,4894,2961,"Broward, FL"
"Clark, NV",5606,4857,5140,22641,4557,,3211,2785,2941,13484,4748,,1749,1426,1553,6223,4191,,646,646,646,2933,4540,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA",2720,2331,2469,11777,4819,,1027,808,870,4359,5074,,881,807,836,3703,4441,,812,716,763,3715,4958,"Contra Costa, CA"
"Cook, IL",15579,15545,15557,49681,3195,,885,851,863,3389,3968,,9059,9059,9059,27673,3055,,5635,5635,5635,18619,3304,"Cook, IL"
"Cuyahoga, OH",3492,3492,3492,10014,2868,,515,515,515,1547,3004,,1946,1946,1946,5553,2853,,1031,1031,1031,2914,2827,"Cuyahoga, OH"
"Dade, FL",8817,8204,8545,35652,4273,,4595,4065,4335,21718,5233,,1886,1807,1874,6170,3336,,2336,2332,2336,7764,3326,"Dade, FL"
"Dallas, TX",4455,4276,4356,12509,2876,,882,869,874,2539,2913,,1311,1238,1271,4225,3321,,2262,2169,2211,5744,2607,"Dallas, TX"
"Dekalb, GA",2638,2475,2519,8235,3290,,1274,1135,1169,3934,3410,,764,740,750,2514,3360,,600,600,600,1787,2978,"Dekalb, GA"
"Delaware, PA",1083,1083,1083,2463,2274,,54,54,54,148,2735,,724,724,724,1557,2151,,305,305,305,757,2483,"Delaware, PA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Du Page, IL",1351,1285,1312,4708,3614,,511,481,491,2117,4347,,631,600,616,1938,3172,,209,204,205,653,3190,"Du Page, IL"
"Erie, NY",1494,1373,1428,6015,4282,,322,288,300,1328,4508,,321,318,320,1408,4408,,851,767,808,3280,4145,"Erie, NY"
"Essex, NJ",1678,1678,1678,6761,4029,,133,133,133,689,5182,,794,794,794,2404,3028,,751,751,751,3667,4883,"Essex, NJ"
"Fairfax, VA",2779,2567,2623,12022,4586,,1603,1512,1520,7663,5007,,594,509,538,2134,3977,,582,546,565,2225,3987,"Fairfax, VA"
"Franklin, OH",2360,2320,2345,7360,3150,,466,459,463,1741,3761,,1514,1481,1502,4468,2992,,380,380,380,1152,3030,"Franklin, OH"
"Fresno, CA",2751,2511,2626,9966,3822,,474,474,474,2195,4630,,1176,1062,1075,4148,3754,,1101,975,1077,3623,3503,"Fresno, CA"
"Fulton, GA",3058,2831,3011,10106,3457,,495,481,486,1576,3259,,1359,1322,1354,5066,3768,,1204,1028,1171,3464,3148,"Fulton, GA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton, OH",2394,2236,2308,6313,2740,,416,399,407,1390,3433,,823,740,773,2238,2909,,1155,1097,1128,2685,2374,"Hamilton, OH"
"Harris, TX",7297,7281,7294,23906,3280,,3257,3257,3257,10642,3267,,1398,1390,1398,5233,3755,,2642,2634,2639,8030,3044,"Harris, TX"
"Hennepin, MN",2851,2314,2516,10516,4222,,378,342,352,1543,4442,,1040,850,941,4199,4476,,1433,1122,1223,4774,3963,"Hennepin, MN"
"Hillsborough, FL",4132,3809,3906,12633,3276,,1776,1476,1561,5658,3743,,1235,1216,1224,3514,2878,,1121,1117,1121,3461,3093,"Hillsborough, FL"
"Hudson, NJ",955,942,949,3092,3270,,262,261,262,829,3172,,83,73,78,223,2928,,610,608,609,2040,3353,"Hudson, NJ"
"Jackson, MO",1171,1094,1109,2799,2517,,301,301,301,701,2328,,598,527,536,1473,2741,,272,266,272,625,2286,"Jackson, MO"
"Jefferson, AL",985,976,980,3320,3394,,368,366,366,1368,3737,,267,262,264,781,2965,,350,348,350,1171,3357,"Jefferson, AL"
,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson, KY",1906,1829,1874,4840,2608,,813,740,784,2258,2964,,478,474,475,1230,2586,,615,615,615,1351,2197,"Jefferson, KY"
"King, WA",3452,3323,3399,14201,4218,,989,985,987,4683,4747,,1549,1441,1500,5577,3782,,914,897,912,3941,4337,"King, WA"
"Lake, IN",1209,1144,1174,2724,2349,,297,293,295,744,2530,,549,516,529,1227,2347,,363,335,350,753,2193,"Lake, IN"
