"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0005.csv",,,,,,,,,,,,,,,,,,,,,,
"table 5.  Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,,,,,
"by State and level of government, March 2000",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Steven Smith",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,,,,,
" by State and level of government, March 2000",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"                             Total justice system",,,,,"                               Police protection",,,,,,"Judicial and legal",,,,"                                            Corrections",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"                  Number of employees",,,"Percent of",,"                  Number of employees",,,"Percent of",,"                  Number of employees",,,"Percent of",,"                  Number of employees",,,"Percent of",
,,,,,,"total",,,,,"total justice",,,,,"total justice",,,,,"total justice",
,"Total full-time",,,,,"full-time",,,,,"full-time",,,,,"full-time",,,,,"full-time",
"State and level","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent","State and level"
"type of government","employment/a",,"Total","only","equivalent","employment/b",,"Total","equivalent","equivalent","employment/b",,"Total","only","equivalent","employment/b",,"Total","only","equivalent","employment/b","type of government"
,,,,,,,,,,,,,,,,,,,,,,
"Local, total",28097,,2408,2050,2153,7.7,,1572,1379,1422,66.0,,286,226,244,11.3,,550,445,487,22.6,"Local, total"
"Counties",3850,,1444,1193,1268,32.9,,660,552,571,45.0,,249,208,223,17.6,,535,433,474,37.4,"Counties"
"Municipalities",5360,,964,857,885,16.5,,912,827,851,96.2,,37,18,21,2.4,,15,12,13,1.5,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Tennessee",299002,,35556,33374,34375,11.5,,18697,17462,18057,52.5,,5997,5327,5585,16.2,,10862,10585,10733,31.2,"Tennessee"
"State",81075,,10155,9988,10073,12.4,,1851,1843,1846,18.3,,2004,1958,1985,19.7,,6300,6187,6242,62.0,"State"
"Local, total",217927,,25401,23386,24302,11.2,,16846,15619,16211,66.7,,3993,3369,3600,14.8,,4562,4398,4491,18.5,"Local, total"
"Counties",121464,,11781,10898,11261,9.3,,5145,4795,4916,43.7,,2621,2246,2397,21.3,,4015,3857,3948,35.1,"Counties"
"Municipalities",87534,,13620,12488,13041,14.9,,11701,10824,11295,86.6,,1372,1123,1203,9.2,,547,541,543,4.2,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Texas",1178291,,155446,147158,150718,12.8,,61516,57367,58854,39.0,,24319,21262,22748,15.1,,69611,68529,69116,45.9,"Texas"
"State",268924,,56447,56013,56231,20.9,,3653,3617,3633,6.5,,5095,5004,5054,9.0,,47699,47392,47544,84.6,"State"
"Local, total",909367,,98999,91145,94487,10.4,,57863,53750,55221,58.4,,19224,16258,17694,18.7,,21912,21137,21572,22.8,"Local, total"
"Counties",114143,,52011,48550,50402,44.2,,15319,14480,15015,29.8,,14823,12976,13858,27.5,,21869,21094,21529,42.7,"Counties"
"Municipalities",163702,,46988,42595,44085,26.9,,42544,39270,40206,91.2,,4401,3282,3836,8.7,,43,43,43,0.1,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Utah",122159,,13625,11441,12318,10.1,,6114,4996,5400,43.8,,2973,2369,2626,21.3,,4538,4076,4292,34.8,"Utah"
"State",49331,,5682,5029,5326,10.8,,808,757,782,14.7,,1689,1461,1562,29.3,,3185,2811,2982,56.0,"State"
"Local, total",72828,,7943,6412,6992,9.6,,5306,4239,4618,66.0,,1284,908,1064,15.2,,1353,1265,1310,18.7,"Local, total"
"Counties",10293,,3828,3410,3613,35.1,,1785,1543,1658,45.9,,690,602,645,17.9,,1353,1265,1310,36.3,"Counties"
"Municipalities",13212,,4115,3002,3379,25.6,,3521,2696,2960,87.6,,594,306,419,12.4,,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Vermont",36323,,3273,2773,2934,8.1,,1494,1207,1302,44.4,,787,592,644,21.9,,992,974,988,33.7,"Vermont"
"State",13632,,2175,2009,2088,15.3,,560,487,509,24.4,,623,548,591,28.3,,992,974,988,47.3,"State"
"Local, total",22691,,1098,764,846,3.7,,934,720,793,93.7,,164,44,53,6.3,,0,0,0,0.0,"Local, total"
"Counties",91,,84,64,73,80.2,,32,31,32,43.8,,52,33,41,56.2,,0,0,0,0.0,"Counties"
"Municipalities",4591,,1014,700,773,16.8,,902,689,761,98.4,,112,11,12,1.6,,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Virginia",387644,,50254,46542,48070,12.4,,19791,18134,18750,39.0,,7660,6720,7140,14.9,,22803,21688,22180,46.1,"Virginia"
"State",118588,,22462,21179,21696,18.3,,2702,2512,2603,12.0,,3719,3227,3419,15.8,,16041,15440,15674,72.2,"State"
"Local, total",269056,,27792,25363,26374,9.8,,17089,15622,16147,61.2,,3941,3493,3721,14.1,,6762,6248,6506,24.7,"Local, total"
