Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee17t12.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,Fiscal year ends in month of,Total justice system total expenditure,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay total,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Alameda, CA",6,"621,822","591,514","539,164","52,350","30,308","103,925","103,925","101,131","2,794",-,"251,103","220,795","173,012","47,783","30,308","266,794","266,794","265,021","1,773",-,-
"Allegheny, PA",12,"258,259","258,259","256,823","1,436",-,"59,904","59,904","58,468","1,436",-,"95,767","95,767","95,767",-,-,"102,588","102,588","102,588",-,-,-
"Anne Arundel, MD",6,"220,060","220,060","218,482","1,578",-,"142,550","142,550","141,148","1,402",-,"31,651","31,651","31,505",146,-,"45,859","45,859","45,829",30,-,-
"Arapahoe, CO",12,"99,765","99,765","98,250","1,515",-,"47,303","47,303","46,707",596,-,"17,515","17,515","16,596",919,-,"34,947","34,947","34,947",-,-,-
"Baltimore, MD",6,"278,007","278,007","277,189",818,-,"213,909","213,909","213,135",774,-,"24,441","24,441","24,441",-,-,"39,657","39,657","39,613",44,-,-
"Bergen, NJ",12,"114,853","114,853","108,459","6,394",-,"24,091","24,091","19,282","4,809",-,"47,294","47,294","47,145",149,-,"43,468","43,468","42,032","1,436","1,436",-
"Bernalillo, NM",6,"117,863","117,863","117,526",337,-,"49,726","49,726","49,389",337,-,"3,144","3,144","3,144",-,-,"64,993","64,993","64,993",-,-,-
"Bexar, TX",9,"295,856","295,856","283,668","12,188",-,"63,851","63,851","58,282","5,569",-,"136,235","136,235","132,505","3,730",-,"95,770","95,770","92,881","2,889","2,815",-
"Brevard, FL",9,"130,853","130,853","127,732","3,121",-,"70,976","70,976","68,441","2,535",-,"18,042","18,042","18,026",16,-,"41,835","41,835","41,265",570,-,-
"Bristol, MA",6,321,321,321,-,-,-,-,-,-,-,321,321,321,-,-,-,-,-,-,-,-
"Broward, FL",9,"762,165","762,165","724,100","38,065",-,"467,810","467,810","450,639","17,171",-,"77,901","77,901","59,566","18,335",-,"216,454","216,454","213,895","2,559",-,-
"Bucks, PA",12,"193,306","193,306","170,970","22,336",-,"20,884","20,884","20,884",-,-,"96,801","96,801","74,536","22,265",-,"75,621","75,621","75,550",71,-,-
"Camden, NJ",12,"96,975","96,975","96,975",-,-,"17,102","17,102","17,102",-,-,"25,895","25,895","25,895",-,-,"53,978","53,978","53,978",-,-,-
"Clark, NV",6,"1,182,267","1,182,267","1,159,882","22,385",-,"714,249","714,249","694,419","19,830",-,"210,419","210,419","210,208",211,-,"257,599","257,599","255,255","2,344",-,-
"Cobb, GA",9,"231,022","231,022","205,228","25,794",-,"119,556","119,556","93,989","25,567",-,"59,846","59,846","59,706",140,-,"51,620","51,620","51,533",87,-,-
"Collin, TX",9,"90,823","90,823","90,823",-,-,"22,647","22,647","22,647",-,-,"31,805","31,805","31,805",-,-,"36,371","36,371","36,371",-,-,-
"Contra Costa, CA",6,"377,217","361,368","359,566","1,802","15,849","138,859","138,859","137,924",935,-,"110,509","94,660","94,559",101,"15,849","127,849","127,849","127,083",766,-,-
"Cook, IL",11,"1,088,464","1,088,464","1,088,464",-,-,"92,760","92,760","92,760",-,-,"499,214","499,214","499,214",-,-,"496,490","496,490","496,490",-,-,-
"Cuyahoga, OH",12,"451,526","451,526","447,542","3,984",-,"122,435","122,435","121,786",649,-,"242,908","242,908","239,944","2,964",-,"86,183","86,183","85,812",371,-,-
"Dade, FL",9,"1,054,851","1,054,851","1,028,441","26,410",-,"614,632","614,632","598,221","16,411",-,"115,109","115,109","110,421","4,688",-,"325,110","325,110","319,799","5,311",-,-
"Dallas, TX",9,"350,563","350,563","349,366","1,197",-,"44,050","44,050","43,212",838,-,"137,084","137,084","136,938",146,-,"169,429","169,429","169,216",213,-,-
"DeKalb, GA",12,"340,092","340,092","340,092",-,-,"110,053","110,053","110,053",-,-,"172,316","172,316","172,316",-,-,"57,723","57,723","57,723",-,-,-
"Delaware, PA",12,"137,532","137,532","137,532",-,-,"22,000","22,000","22,000",-,-,"47,579","47,579","47,579",-,-,"67,953","67,953","67,953",-,-,-
"Denton, TX",9,"125,723","125,723","106,261","19,462",-,"25,278","25,278","24,527",751,-,"43,037","43,037","36,013","7,024",-,"57,408","57,408","45,721","11,687","11,687",-
"Douglas, NE",6,"96,302","96,302","96,057",245,-,"18,324","18,324","18,079",245,-,"28,386","28,386","28,386",-,-,"49,592","49,592","49,592",-,-,-
"Du Page, IL",11,"102,243","102,243","100,086","2,157",-,"52,311","52,311","50,164","2,147",-,"39,319","39,319","39,319",-,-,"10,613","10,613","10,603",10,-,-
"El Paso, CO",12,"96,921","96,921","96,921",-,-,"73,672","73,672","73,672",-,-,"23,249","23,249","23,249",-,-,-,-,-,-,-,-
"El Paso, TX",9,"216,095","216,095","202,280","13,815",-,"51,512","51,512","49,426","2,086",-,"68,503","68,503","68,326",177,-,"96,080","96,080","84,528","11,552","10,024",-
"Erie, NY",12,"196,870","196,870","193,113","3,757",-,"39,710","39,710","36,402","3,308",-,"39,554","39,554","39,510",44,-,"117,606","117,606","117,201",405,-,-
"Essex, NJ",12,"200,299","200,299","200,287",12,-,"45,600","45,600","45,600",-,-,"38,690","38,690","38,678",12,-,"116,009","116,009","116,009",-,-,-
"Fairfax, VA",6,"374,676","374,676","329,329","45,347",-,"261,238","261,238","215,897","45,341",-,"49,337","49,337","49,331",6,-,"64,101","64,101","64,101",-,-,-
"Fort Bend, TX",9,"138,751","138,751","136,446","2,305",-,"43,786","43,786","42,223","1,563",-,"41,381","41,381","41,240",141,-,"53,584","53,584","52,983",601,-,-
"Franklin, OH",12,"281,801","280,603","274,363","6,240","1,198","74,784","73,586","68,713","4,873","1,198","138,239","138,239","136,872","1,367",-,"68,778","68,778","68,778",-,-,-
"Fresno, CA",6,"296,253","296,253","286,551","9,702",-,"181,141","181,141","174,775","6,366",-,"71,208","71,208","67,872","3,336",-,"43,904","43,904","43,904",-,-,-
"Fulton, GA",12,"251,506","251,506","251,284",222,-,"62,482","62,482","62,381",101,-,"117,285","117,285","117,164",121,-,"71,739","71,739","71,739",-,-,-
"Gwinnet, GA",12,"241,788","241,788","227,839","13,949",-,"121,776","121,776","108,885","12,891",-,"61,372","61,372","60,808",564,-,"58,640","58,640","58,146",494,41,-
"Hamilton, OH",12,"215,515","215,515","213,797","1,718",-,"75,197","75,197","74,071","1,126",-,"109,164","109,164","108,629",535,-,"31,154","31,154","31,097",57,-,-
"Harris, TX",2,"1,061,642","1,061,642","1,042,665","18,977",-,"404,228","404,228","391,150","13,078",-,"276,611","276,611","272,778","3,833",-,"380,803","380,803","378,737","2,066",1,-
"Hennepin, MN",12,"289,329","289,329","272,896","16,433",-,"113,977","113,977","99,157","14,820",-,"69,923","69,923","69,015",908,-,"105,429","105,429","104,724",705,9,-
"Hidalgo, TX",12,"131,258","130,608","127,341","3,267",650,"34,743","34,093","32,628","1,465",650,"32,397","32,397","32,397",-,-,"64,118","64,118","62,316","1,802","1,645",-
"Hillsborough, FL",9,"450,980","450,980","416,485","34,495",-,"235,475","235,475","220,233","15,242",-,"62,312","62,312","57,810","4,502",-,"153,193","153,193","138,442","14,751",-,-
"Hudson, NJ",12,"127,621","127,621","114,191","13,430",-,"27,219","27,219","27,219",-,-,"26,181","26,181","26,181",-,-,"74,221","74,221","60,791","13,430","13,430",-
"Jackson, MO",12,"98,524","98,524","98,524",-,-,"40,246","40,246","40,246",-,-,"40,279","40,279","40,279",-,-,"17,999","17,999","17,999",-,-,-
"Jefferson, AL",9,"97,994","97,994","94,958","3,036",-,"40,215","40,215","37,221","2,994",-,"27,526","27,526","27,526",-,-,"30,253","30,253","30,211",42,-,-
"Jefferson, CO",12,"125,154","125,154","123,164","1,990",-,"53,077","53,077","51,621","1,456",-,"23,771","23,771","23,373",398,-,"48,306","48,306","48,170",136,-,-
"Johnson, KS",12,"133,487","133,487","133,471",16,-,"85,545","85,545","85,545",-,-,"20,499","20,499","20,499",-,-,"27,443","27,443","27,427",16,-,-
"Kane, IL",11,"61,111","61,111","58,625","2,486",-,"17,057","17,057","14,571","2,486",-,"24,318","24,318","24,318",-,-,"19,736","19,736","19,736",-,-,-
"Kent, MI",12,"112,334","112,334","111,644",690,-,"37,547","37,547","37,547",-,-,"37,408","37,408","36,718",690,-,"37,379","37,379","37,379",-,-,-
"Kern, CA",6,"362,211","346,089","308,155","37,934","16,122","129,155","129,155","91,618","37,537",-,"95,006","78,884","78,644",240,"16,122","138,050","138,050","137,893",157,-,-
"King, WA",12,"582,509","582,509","566,408","16,101",-,"165,257","165,257","161,320","3,937",-,"240,930","240,930","231,166","9,764",-,"176,322","176,322","173,922","2,400","1,970",-
"Lake, IL",11,"119,406","119,406","119,406",-,-,"38,978","38,978","38,978",-,-,"48,361","48,361","48,361",-,-,"32,067","32,067","32,067",-,-,-
"Lake, IN",12,"70,569","70,569","70,109",460,-,"14,186","14,186","13,964",222,-,"29,824","29,824","29,693",131,-,"26,559","26,559","26,452",107,-,-
"Lancaster, PA",12,"94,777","94,777","93,885",892,-,"10,826","10,826","10,204",622,-,"34,917","34,917","34,778",139,-,"49,034","49,034","48,903",131,-,-
"Lee, FL",9,"234,124","234,124","226,286","7,838",-,"146,432","146,432","139,110","7,322",-,"29,663","29,663","29,192",471,-,"58,029","58,029","57,984",45,-,-
"Los Angeles, CA",6,"4,931,636","4,685,754","4,602,180","83,574","245,882","2,040,115","2,040,115","1,988,003","52,112",-,"1,281,040","1,035,158","1,030,536","4,622","245,882","1,610,481","1,610,481","1,583,641","26,840","17,440",-
"Macomb, MI",12,"120,670","117,080","116,721",359,"3,590","41,990","41,890","41,630",260,100,"43,434","43,434","43,388",46,-,"35,246","31,756","31,703",53,-,"3,490"
"Maricopa, AZ",6,"980,158","971,861","963,984","7,877","8,297","119,312","119,046","116,698","2,348",266,"392,927","392,418","388,996","3,422",509,"467,919","460,397","458,290","2,107",331,"7,522"
"Mecklenburg, NC",6,"261,170","244,973","244,863",110,"16,197","132,958","116,761","116,731",30,"16,197","11,420","11,420","11,420",-,-,"116,792","116,792","116,712",80,80,-
"Middlesex, NJ",12,"81,330","81,330","81,330",-,-,"21,356","21,356","21,356",-,-,"20,764","20,764","20,764",-,-,"39,210","39,210","39,210",-,-,-
"Milwaukee, WI",12,"282,165","282,165","280,569","1,596",-,"55,702","55,702","55,702",-,-,"73,111","73,111","73,111",-,-,"153,352","153,352","151,756","1,596","1,596",-
"Monmouth, NJ",12,"92,790","92,790","92,790",-,-,"25,618","25,618","25,618",-,-,"25,493","25,493","25,493",-,-,"41,679","41,679","41,679",-,-,-
"Monroe, NY",12,"221,466","216,965","215,373","1,592","4,501","75,284","75,284","73,729","1,555",-,"36,388","36,388","36,379",9,-,"109,794","105,293","105,265",28,-,"4,501"
"Montgomery, MD",6,"381,232","381,232","381,232",-,-,"254,973","254,973","254,973",-,-,"56,736","56,736","56,736",-,-,"69,523","69,523","69,523",-,-,-
"Montgomery, OH",12,"110,245","109,733","109,733",-,512,"35,718","35,718","35,718",-,-,"36,810","36,298","36,298",-,512,"37,717","37,717","37,717",-,-,-
"Montgomery, PA",12,"145,421","145,421","145,202",219,-,"4,156","4,156","4,156",-,-,"73,665","73,665","73,665",-,-,"67,600","67,600","67,381",219,219,-
"Multnomah, OR",6,"266,730","266,730","229,428","37,302",-,"37,123","37,123","35,517","1,606",-,"67,118","67,118","31,632","35,486",-,"162,489","162,489","162,279",210,-,-
"Nassau, NY",12,"1,189,684","1,189,684","1,143,028","46,656",-,"882,846","882,846","837,018","45,828",-,"83,918","83,918","83,875",43,-,"222,920","222,920","222,135",785,322,-
