Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee17t15.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2017",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"174,837","174,837","174,837",-,-,"169,422","169,422","169,422",-,-,"5,415","5,415","5,415",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"155,033","155,033","155,033",-,-,"147,851","147,851","147,851",-,-,"7,182","7,182","7,182",-,-,-,-,-,-,-,-
"Arlington, TX",9,"107,977","107,977","107,977",-,-,"99,373","99,373","99,373",-,-,"8,604","8,604","8,604",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"256,606","256,606","246,846","9,760",-,"191,304","191,304","182,093","9,211",-,"31,863","31,863","31,734",129,-,"33,439","33,439","33,019",420,50,-
"Aurora, CO",12,"116,442","116,442","112,133","4,309",-,"105,907","105,907","101,598","4,309",-,"10,535","10,535","10,535",-,-,-,-,-,-,-,-
"Austin, TX",9,"385,566","385,566","384,330","1,236",-,"347,610","347,610","346,392","1,218",-,"37,956","37,956","37,938",18,-,-,-,-,-,-,-
"Bakersfield, CA",6,"83,192","83,192","83,017",175,-,"83,192","83,192","83,017",175,-,-,-,-,-,-,-,-,-,-,-,-
"Baltimore, MD",6,"548,446","548,446","548,446",-,-,"496,768","496,768","496,768",-,-,"51,678","51,678","51,678",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"279,430","263,424","259,872","3,552","16,006","155,471","155,471","153,445","2,026",-,"63,666","47,660","47,322",338,"16,006","60,293","60,293","59,105","1,188","1,188",-
"Boston, MA",6,"384,633","380,758","375,070","5,688","3,875","375,505","375,505","369,817","5,688",-,"5,253","5,253","5,253",-,-,"3,875",-,-,-,-,"3,875"
"Buffalo, NY",6,"96,876","96,876","94,008","2,868",-,"92,882","92,882","90,014","2,868",-,"3,994","3,994","3,994",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"273,367","273,121","261,547","11,574",246,"270,130","269,884","258,310","11,574",246,"3,237","3,237","3,237",-,-,-,-,-,-,-,-
"Chicago, IL",12,"1,485,827","1,485,827","1,467,018","18,809",-,"1,456,302","1,456,302","1,437,496","18,806",-,"29,525","29,525","29,522",3,-,-,-,-,-,-,-
"Cleveland, OH",6,"309,113","309,113","304,587","4,526",-,"240,557","240,557","236,031","4,526",-,"56,781","56,781","56,781",-,-,"11,775","11,775","11,775",-,-,-
"Cincinnati, OH",12,"163,548","163,548","162,646",902,-,"157,515","157,515","156,613",902,-,"6,033","6,033","6,033",-,-,-,-,-,-,-,-
"Colorado Springs, CO",12,"100,284","100,284","100,244",40,-,"92,069","92,069","92,029",40,-,"8,215","8,215","8,215",-,-,-,-,-,-,-,-
"Columbus, OH",12,"359,756","359,756","357,351","2,405",-,"311,285","311,285","309,070","2,215",-,"48,471","48,471","48,281",190,-,-,-,-,-,-,-
