Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: jeee17t04.csv,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2017",,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 4. Justice system expenditure, by character, state, and type of government, fiscal 2017",,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State and type of government,Total justice system total expenditure/a,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay ,Total justice system intergovernmental expenditure total,Police protection total expenditure/a,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure total,Judicial and legal total expenditure/a,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure total ,Corrections total expenditure/a,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay,Corrections intergovernmental expenditure total
"U.S. - States-local, total","246,715,644","240,680,095","232,898,987","7,781,108",-,"115,713,762","114,050,866","110,037,907","4,012,959",-,"49,565,471","47,475,570","45,944,973","1,530,597",-,"81,436,411","79,153,659","76,916,107","2,237,552",-
U.S. - State,"93,110,557","87,841,785","84,934,647","2,907,138","5,268,772","16,621,322","14,973,037","14,255,413","717,624","1,648,285","25,012,645","23,597,577","22,763,639","833,938","1,415,068","51,476,590","49,271,171","47,915,595","1,355,576","2,205,419"
"U.S. - Local, total","153,605,087","152,838,310","147,964,340","4,873,970","766,777","99,092,440","99,077,829","95,782,494","3,295,335","14,611","24,552,826","23,877,993","23,181,334","696,659","674,833","29,959,821","29,882,488","29,000,512","881,976","77,333"
