Bureau of Justice Statistics,,,,,,,
Filename: jeee17t02.csv,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system, by level of government, March 2017",,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 07/07/2021,,,,,,,
,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system, by level of government, March 2017",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
Function - Measure ,All governments,Federal government,State governments,Local governments,Percent federal government,Percent state governments,Percent local governments
Total justice system - Total employees,"2,446,891","302,499","732,409","1,411,983",12.4,29.9,57.7
Total justice system - Full-time employees,-,-,"711,540","1,274,051",-,35.8,64.2
Total justice system - Full-time equivalent employment,-,-,"722,534","1,332,449",-,35.2,64.8
Total justice system - March payrolls,"13,704,779","2,407,596","3,757,630","7,539,553",17.6,27.4,55
Police protection - Total employees,"1,191,694","206,737","104,527","880,430",17.3,8.8,73.9
Police protection - Full-time employees,-,-,"101,692","788,045",-,11.4,88.6
Police protection - Full-time equivalent employment,-,-,"102,775","826,016",-,11.1,88.9
Police protection - March payrolls,"7,138,316","1,519,546","651,184","4,967,586",21.3,9.1,69.6
Judicial and legal - Total employees,"496,752","56,623","180,089","260,040",11.4,36.3,52.3
Judicial and legal - Full-time employees,-,-,"171,186","228,761",-,42.8,57.2
Judicial and legal - Full-time equivalent employment,-,-,"175,701","241,589",-,42.1,57.9
Judicial and legal - March payrolls,"2,984,894","674,651","1,023,196","1,287,047",22.6,34.3,43.1
Corrections - Total employees,"758,445","39,139","447,793","271,513",5.2,59,35.8
Corrections - Full-time employees,-,-,"438,662","257,245",-,63,37
Corrections - Full-time equivalent employment,-,-,"444,058","264,844",-,62.6,37.4
Corrections - March payrolls,"3,581,569","213,399","2,083,250","1,284,920",6,58.2,35.9
Note: The federal budget source provides only total employment for the federal government. That figure is included in the denominator used to compute the percent distribution of full-time employees and full-time equivalent employment for state and local governments.,,,,,,,
