Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee15fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
"U.S. - States-local, total","16,278,564","2,120,269","1,961,876","2,028,528",12.5,"973,753","879,463","916,504",45.2,"435,799","394,949","411,966",20.3,"710,717","687,464","700,058",34.5
U.S. - State,"4,338,661","723,826","703,524","714,289",16.5,"103,699","100,877","101,905",14.3,"178,366","169,635","174,180",24.4,"441,761","433,012","438,204",61.3
"U.S. - Local, total","11,939,903","1,396,443","1,258,352","1,314,239",11,"870,054","778,586","814,599",62,"257,433","225,314","237,786",18.1,"268,956","254,452","261,854",19.9
U.S. - Counties,"2,680,285","712,371","649,565","675,483",25.2,"288,149","259,713","270,498",40,"195,940","174,652","183,287",27.1,"228,282","215,200","221,698",32.8
U.S. - Municipalities,"2,936,923","643,677","577,828","604,804",20.6,"548,159","492,666","515,332",85.2,"58,551","49,355","52,925",8.8,"36,967","35,807","36,547",6
Alabama - Total,"280,541","28,539","26,283","27,424",9.8,"14,831","13,572","14,215",51.8,"5,226","4,576","4,876",17.8,"8,482","8,135","8,333",30.4
Alabama - State,"89,448","9,484","9,088","9,320",10.4,"1,324","1,324","1,324",14.2,"3,287","3,021","3,180",34.1,"4,873","4,743","4,816",51.7
"Alabama - Local, total","191,093","19,055","17,195","18,104",9.5,"13,507","12,248","12,891",71.2,"1,939","1,555","1,696",9.4,"3,609","3,392","3,517",19.4
Alabama - Counties,"20,497","8,406","7,439","7,901",38.5,"4,038","3,521","3,775",47.8,"1,180",934,"1,023",12.9,"3,188","2,984","3,103",39.3
Alabama - Municipalities,"40,425","10,649","9,756","10,203",25.2,"9,469","8,727","9,116",89.3,759,621,673,6.6,421,408,414,4.1
Alaska - Total,"53,746","5,993","5,765","5,916",11,"2,006","1,888","1,927",32.6,"1,633","1,580","1,604",27.1,"2,354","2,297","2,385",40.3
Alaska - State,"26,175","4,498","4,353","4,469",17.1,707,664,673,15.1,"1,516","1,467","1,487",33.3,"2,275","2,222","2,309",51.7
"Alaska - Local, total","27,571","1,495","1,412","1,447",5.2,"1,299","1,224","1,254",86.7,117,113,117,8.1,79,75,76,5.3
Alaska - Boroughs,"11,093",150,150,152,1.4,97,97,98,64.5,42,42,43,28.3,11,11,11,7.2
Alaska - Municipalities,"15,799","1,345","1,262","1,295",8.2,"1,202","1,127","1,156",89.3,75,71,74,5.7,68,64,65,5
Arizona - Total,"279,165","45,932","44,966","45,439",16.3,"19,702","19,414","19,548",43,"11,053","10,547","10,801",23.8,"15,177","15,005","15,090",33.2
Arizona - State,"72,384","13,835","13,719","13,773",19,"1,965","1,920","1,936",14.1,"2,219","2,162","2,193",15.9,"9,651","9,637","9,644",70
