Bureau of Justice Statistics,,,,,,,,,
Filename: jeee15fut06.csv,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2015",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,
,,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2015",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","75,071,725","10,636,825",14.2,"5,277,767",49.6,"2,170,089",20.4,"3,188,969",30
U.S. - State,"21,568,444","3,569,889",16.6,"608,530",17,"973,026",27.3,"1,988,333",55.7
"U.S. - Local, total","53,503,281","7,066,936",13.2,"4,669,237",66.1,"1,197,063",16.9,"1,200,636",17
U.S. - Counties,"12,040,775","3,313,778",27.5,"1,413,075",42.6,"914,009",27.6,"986,694",29.8
U.S. - Municipalities,"15,079,265","3,533,962",23.4,"3,058,417",86.5,"274,616",7.8,"200,929",5.7
Alabama - Total,"1,047,107","104,676",10,"54,690",52.2,"21,248",20.3,"28,738",27.5
Alabama - State,"386,565","38,803",10,"5,155",13.3,"15,156",39.1,"18,492",47.7
"Alabama - Local, total","660,542","65,872",10,"49,535",75.2,"6,091",9.2,"10,246",15.6
Alabama - Counties,"65,230","25,840",39.6,"13,789",53.4,"3,245",12.6,"8,806",34.1
Alabama - Municipalities,"148,502","40,032",27,"35,746",89.3,"2,846",7.1,"1,440",3.6
Alaska - Total,"287,390","35,690",12.4,"13,088",36.7,"10,308",28.9,"12,294",34.4
Alaska - State,"144,711","25,970",17.9,"4,470",17.2,"9,561",36.8,"11,939",46
"Alaska - Local, total","142,679","9,720",6.8,"8,618",88.7,747,7.7,355,3.7
Alaska - Boroughs,"54,986",921,1.7,581,63.1,282,30.6,58,6.3
Alaska - Municipalities,"84,571","8,800",10.4,"8,037",91.3,466,5.3,297,3.4
Arizona - Total,"1,198,071","217,513",18.2,"110,415",50.8,"50,965",23.4,"56,133",25.8
Arizona - State,"328,842","55,733",16.9,"10,034",18,"10,643",19.1,"35,056",62.9
"Arizona - Local, total","869,229","161,781",18.6,"100,381",62,"40,323",24.9,"21,077",13
Arizona - Counties,"138,052","80,295",58.2,"27,645",34.4,"31,991",39.8,"20,659",25.7
