"Bureau of Justice Statistics																							",,,,,,,,,,,,,,,,,,,,,,
"Filename: jeee15fut15.csv																							",,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2015																							",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
"																							",,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2015																							",,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)																							",,,,,,,,,,,,,,,,,,,,,,
"																							",,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"167,590","167,590","167,590",-,-,"163,119","163,119","163,119",-,-,"4,471","4,471","4,471",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"133,882","133,882","132,987",895,-,"126,657","126,657","125,766",891,-,"7,225","7,225","7,221",4,-,-,-,-,-,-,-
"Arlington, TX",9,"96,314","96,314","96,314",-,-,"88,639","88,639","88,639",-,-,"7,675","7,675","7,675",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"220,123","220,123","215,109","5,014",-,"173,296","173,296","169,129","4,167",-,"14,381","14,381","14,175",206,-,"32,446","32,446","31,805",641,4,-
"Aurora, CO",12,"103,416","103,416","102,994",422,-,"94,296","94,296","93,874",422,-,"9,120","9,120","9,120",-,-,-,-,-,-,-,-
"Austin, TX",9,"329,071","329,071","322,808","6,263",-,"297,689","297,689","292,064","5,625",-,"31,382","31,382","30,744",638,-,-,-,-,-,-,-
"Bakersfield, CA",6,"84,506","84,381","82,917","1,464",125,"84,506","84,381","82,917","1,464",125,-,-,-,-,-,-,-,-,-,-,-
"Baltimore, MD",6,"525,166","525,166","525,166",-,-,"477,458","477,458","477,458",-,-,"47,708","47,708","47,708",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"226,305","218,509","215,348","3,161","7,796","132,059","132,059","130,127","1,932",-,"51,403","43,607","43,406",201,"7,796","42,843","42,843","41,815","1,028",24,-
"Boston, MA",6,"353,291","353,291","347,754","5,537",-,"347,564","347,564","342,032","5,532",-,"5,727","5,727","5,722",5,-,-,-,-,-,-,-
"Buffalo, NY",6,"87,598","87,598","82,426","5,172",-,"84,459","84,459","79,287","5,172",-,"3,139","3,139","3,139",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"250,355","250,027","234,371","15,656",328,"247,664","247,336","231,680","15,656",328,"2,691","2,691","2,691",-,-,-,-,-,-,-,-
"Chicago, IL",12,"1,352,042","1,352,042","1,340,929","11,113",-,"1,321,029","1,321,029","1,309,916","11,113",-,"31,013","31,013","31,013",-,-,-,-,-,-,-,-
"Cleveland, OH",6,"240,517","240,268","240,249",19,249,"177,680","177,680","177,661",19,-,"50,262","50,262","50,262",-,-,"12,575","12,326","12,326",-,-,249
