Bureau of Justice Statistics,,,,,,
Filename: jeee15fut19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 07/07/2021,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
County,Population 2015/a,"Expenditures, fiscal 2015 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2015 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2015 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2015, all functions","Full-time equivalent employment, March 2015, general functions only/c"
"Alameda, CA","1,634,634","3,893,820","3,863,079","3,418,252","13,262","13,262"
"Allegheny, PA","1,228,965","1,776,680","1,709,852","1,664,036","6,805","6,805"
"Anne Arundel, MD","563,502","2,465,954","2,422,998","2,319,286","17,607","17,528"
"Arapahoe, CO","630,637","338,975","337,712","310,255","2,349","2,349"
"Baltimore, MD","827,471","3,640,207","3,562,819","3,249,951","26,640","26,640"
"Bergen, NJ","926,997","1,252,945","1,213,758","1,252,945","4,822","4,822"
"Bernalillo, NM","676,678","331,774","321,873","331,774","2,460","2,460"
"Bexar, TX","1,896,116","2,136,696","2,098,078","2,136,621","12,869","12,869"
"Brevard, FL","565,992","520,483","512,683","480,076","4,050","3,918"
"Bristol, MA","556,878","57,014","57,013","21,635",149,149
"Broward, FL","1,885,443","2,432,522","2,432,522","2,238,965","10,852","9,676"
"Bucks, PA","625,366","484,594","478,996","478,996","2,599","2,599"
"Camden, NJ","507,784","592,137","553,819","592,137","3,751","3,751"
"Clark, NV","2,098,105","5,065,879","5,022,072","4,539,746","19,814","18,313"
"Cobb, GA","739,319","1,076,542","985,469","797,911","4,489","4,295"
"Collin, TX","915,665","240,029","240,029","240,029","1,850","1,850"
"Contra Costa, CA","1,124,606","3,258,292","3,196,581","2,863,585","7,889","7,889"
"Cook, IL","5,247,662","4,361,296","4,354,955","3,671,720","20,594","20,594"
"Cuyahoga, OH","1,258,923","2,121,793","2,086,258","2,121,793","14,090","14,090"
"Dade, FL","2,688,156","7,375,693","7,375,693","6,623,238","37,770","33,192"
"Dallas, TX","2,558,913","2,926,281","2,926,281","2,893,644","18,563","18,563"
"DeKalb, GA","734,770","1,065,195","1,065,195","784,049","6,317","5,993"
"Delaware, PA","563,161","707,045","700,124","674,748","2,662","2,662"
"Denton, TX","779,528","262,766","259,618","262,766","2,001","2,001"
"Douglas, NE","549,052","348,136","348,136","325,009","2,978","2,978"
"Du Page, IL","933,965","405,756","392,003","401,498","2,661","2,659"
"El Paso, CO","674,156","323,847","323,800","299,088","2,499","2,499"
"El Paso, TX","833,961","764,870","764,870","759,314","5,466","5,466"
"Erie, NY","920,543","2,400,637","1,677,145","2,348,866","8,652","8,426"
"Essex, NJ","790,508","981,008","903,601","977,134","4,491","4,491"
"Fairfax, VA","1,140,164","6,255,665","6,146,554","5,263,404","43,747","43,301"
"Fort Bend, TX","715,067","341,170","341,170","341,170","2,356","2,341"
"Franklin, OH","1,257,552","1,404,959","1,400,752","1,401,327","6,260","6,260"
