Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee15fut07.csv,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
States and type of government,Total police protection full-time equivalent employment,Sworn total number of employees,Sworn full-time employees only,Sworn full-time equivalent employees,Sworn employees as a percent of total police protection full-time equivalent,Sworn March payrolls,Nonsworn total number of employees,Nonsworn full-time employees only,Nonsworn full-time equivalent employees,Nonsworn employees as a percent of total police protection full-time equivalent,Nonsworn March payrolls
"U.S. - States-local, total","916,504","719,422","683,850","698,502",76.2,"4,355,063","254,331","195,613","218,002",23.8,"922,704"
U.S. - State,"101,905","65,365","64,833","64,957",63.7,"450,401","38,334","36,044","36,948",36.3,"158,129"
"U.S. - Local, total","814,599","654,057","619,017","633,545",77.8,"3,904,662","215,997","159,569","181,054",22.2,"764,575"
U.S. - Counties,"270,498","203,577","188,887","193,774",71.6,"1,082,978","84,572","70,826","76,724",28.4,"330,097"
U.S. - Municipalities,"515,332","425,726","407,779","416,600",80.8,"2,645,322","122,433","84,887","98,732",19.2,"413,095"
Alabama - Total,"14,215","11,464","10,869","11,179",78.6,"45,829","3,367","2,703","3,036",21.4,"8,861"
Alabama - State,"1,324",754,754,754,56.9,"3,414",570,570,570,43.1,"1,741"
"Alabama - Local, total","12,891","10,710","10,115","10,425",80.9,"42,415","2,797","2,133","2,466",19.1,"7,120"
Alabama - Counties,"3,775","3,253","2,895","3,042",80.6,"11,851",785,626,733,19.4,"1,938"
Alabama - Municipalities,"9,116","7,457","7,220","7,383",81,"30,564","2,012","1,507","1,733",19,"5,182"
Alaska - Total,"1,927","1,208","1,156","1,178",61.1,"9,243",798,732,749,38.9,"3,845"
Alaska - State,673,309,309,309,45.9,"2,674",398,355,364,54.1,"1,796"
"Alaska - Local, total","1,254",899,847,869,69.3,"6,570",400,377,385,30.7,"2,048"
Alaska - Boroughs,98,62,62,63,64.3,415,35,35,35,35.7,166
Alaska - Municipalities,"1,156",837,785,806,69.7,"6,155",365,342,350,30.3,"1,882"
Arizona - Total,"19,548","14,151","14,107","14,122",72.2,"85,137","5,551","5,307","5,426",27.8,"25,278"
Arizona - State,"1,936","1,165","1,164","1,165",60.2,"6,572",800,756,771,39.8,"3,462"
"Arizona - Local, total","17,612","12,986","12,943","12,957",73.6,"78,566","4,751","4,551","4,655",26.4,"21,815"
Arizona - Counties,"5,814","4,503","4,486","4,491",77.2,"21,744","1,337","1,300","1,323",22.8,"5,901"
Arizona - Municipalities,"11,798","8,483","8,457","8,466",71.8,"56,822","3,414","3,251","3,332",28.2,"15,914"
Arkansas - Total,"8,704","6,831","6,384","6,528",75,"23,408","2,340","2,072","2,176",25,"6,063"
Arkansas - State,"1,229",547,547,547,44.5,"2,458",689,674,682,55.5,"2,204"
"Arkansas - Local, total","7,475","6,284","5,837","5,981",80,"20,950","1,651","1,398","1,494",20,"3,859"
Arkansas - Counties,"2,272","2,008","1,726","1,791",78.8,"5,007",549,448,481,21.2,"1,191"
Arkansas - Municipalities,"5,203","4,276","4,111","4,190",80.5,"15,943","1,102",950,"1,013",19.5,"2,668"
California - Total,"99,945","72,109","70,200","71,073",71.1,"656,203","31,374","26,671","28,872",28.9,"162,537"
California - State,"11,257","7,903","7,702","7,713",68.5,"78,067","3,567","3,519","3,544",31.5,"14,842"
"California - Local, total","88,688","64,206","62,498","63,360",71.4,"578,136","27,807","23,152","25,328",28.6,"147,696"
California - Counties,"40,547","29,180","27,913","28,557",70.4,"235,483","12,261","11,375","11,990",29.6,"69,871"
California - Municipalities,"48,141","35,026","34,585","34,803",72.3,"342,653","15,546","11,777","13,338",27.7,"77,825"
Colorado - Total,"15,235","10,794","10,660","10,707",70.3,"69,679","4,835","4,290","4,528",29.7,"20,926"
Colorado - State,"1,263",754,754,754,59.7,"4,576",518,501,509,40.3,"2,390"
"Colorado - Local, total","13,972","10,040","9,906","9,953",71.2,"65,103","4,317","3,789","4,019",28.8,"18,537"
Colorado - Counties,"4,636","3,310","3,231","3,249",70.1,"18,698","1,491","1,327","1,387",29.9,"6,644"
Colorado - Municipalities,"9,336","6,730","6,675","6,704",71.8,"46,406","2,826","2,462","2,632",28.2,"11,893"
