Bureau of Justice Statistics,,,,,,,,
Filename: jeee15fut18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
State,Estimated population as of 7/1/2015 (thousands),"Personal income, calendar year 2015, amount (millions of dollars)/a","Personal income, calendar year 2015, per capita/a","Expenditures, fiscal 2015 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2015 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2015 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, 3/1/2015, all functions","Full-time equivalent employment, 3/1/2015, general functions only/c"
U.S. total,"320,635","15,709,242","48,994","2,161,619,676","1,635,963,561","1,835,642,116","4,338,661","4,291,798"
Alabama,"4,852","187,544","38,653","32,459,306","25,723,381","28,710,747","89,448","88,685"
Alaska,737,"42,470","57,626","13,006,370","10,970,258","11,580,917","26,175","26,175"
Arizona,"6,830","271,133","39,697","32,740,773","23,933,787","28,577,221","72,384","72,378"
Arkansas,"2,978","117,181","39,349","21,780,585","15,950,361","19,881,464","63,297","63,297"
California,"38,918","2,171,947","55,808","320,288,030","222,319,702","269,089,741","404,882","404,882"
Colorado,"5,451","284,234","52,143","32,229,154","25,212,966","26,910,027","84,828","84,828"
Connecticut,"3,587","244,982","68,297","27,260,850","21,397,494","22,311,191","62,848","62,848"
Delaware,941,"45,151","47,982","8,854,841","7,381,461","8,043,600","26,052","25,110"
Florida,"20,209","915,896","45,321","84,802,960","67,688,517","76,113,206","177,827","177,095"
Georgia,"10,178","424,356","41,693","45,295,915","33,946,084","39,023,326","125,791","125,791"
Hawaii,"1,422","70,385","49,497","11,863,592","11,548,874","10,504,000","58,415","58,415"
Idaho,"1,651","65,825","39,870","8,869,375","6,753,083","7,709,010","23,583","23,338"
Illinois,"12,859","662,761","51,541","85,262,193","64,487,383","70,324,419","125,501","125,501"
Indiana,"6,608","281,692","42,629","37,405,636","27,848,170","34,388,901","88,229","88,229"
Iowa,"3,121","144,288","46,231","22,478,436","17,204,611","19,857,656","50,255","50,255"
Kansas,"2,909","137,868","47,394","18,010,288","13,202,227","16,149,962","51,540","51,540"
Kentucky,"4,426","173,026","39,093","33,422,994","28,676,259","29,154,544","85,091","85,091"
Louisiana,"4,665","200,749","43,033","30,614,617","24,185,108","26,154,618","75,267","75,267"
Maine,"1,328","57,948","43,636","8,605,330","7,370,858","7,548,525","21,004","20,994"
Maryland,"5,986","342,074","57,146","43,311,212","33,942,673","37,501,373","87,404","86,680"
Massachusetts,"6,794","432,102","63,601","61,499,719","52,676,065","51,084,984","102,222","101,734"
Michigan,"9,932","432,392","43,535","67,661,561","47,174,207","58,741,304","142,292","142,292"
Minnesota,"5,482","286,819","52,320","43,075,825","30,138,318","37,508,071","82,277","79,389"
Mississippi,"2,988","104,670","35,030","21,139,895","16,001,297","18,354,508","56,711","56,456"
Missouri,"6,072","261,667","43,094","32,251,224","26,230,360","27,775,143","87,578","87,578"
Montana,"1,030","44,831","43,525","6,733,629","5,596,530","5,689,782","20,877","20,846"
Nebraska,"1,891","95,687","50,601","10,375,930","7,881,953","9,664,338","32,122","32,122"
Nevada,"2,867","126,408","44,091","14,080,059","9,808,776","11,657,854","28,377","28,341"
New Hampshire,"1,336","73,212","54,799","8,010,099","6,216,004","6,763,173","19,031","18,355"
New Jersey,"8,868","542,097","61,130","76,152,869","59,266,641","60,697,956","140,992","129,809"
New Mexico,"2,089","79,973","38,283","20,012,259","15,154,652","17,804,631","45,909","45,909"
New York,"19,655","1,162,801","59,161","189,878,434","130,180,871","145,525,368","241,893","224,502"
North Carolina,"10,032","419,892","41,855","54,871,243","40,755,408","48,903,876","140,669","140,669"
North Dakota,754,"40,601","53,847","7,941,790","5,694,965","7,069,689","19,339","19,339"
Ohio,"11,618","515,139","44,340","82,701,205","64,814,304","65,249,575","138,038","138,038"
Oklahoma,"3,910","172,992","44,243","24,156,873","19,785,543","20,688,855","68,785","68,153"
Oregon,"4,016","181,492","45,192","34,495,603","29,282,654","28,638,244","66,775","66,613"
