Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee15fut08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2015) and full-time equivalent justice employment per 10,000 population (March 2015) of state and local governments, by activity and state",,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2015) and full-time equivalent justice employment per 10,000 population (March 2015) of state and local governments, by activity and state",,,,,,,,,,
,,,,,,,,,,
State,Population 2015,Total justice system per capita expenditure,Police protection per capita expenditure,Judicial and legal per capita expenditure,Corrections per capita expenditure,"Total justice system full-time equivalent employment per 10,000 population","Police protection total full-time equivalent employment per 10,000 population","Police protection sworn full-time equivalent employment only per 10,000 population","Judicial and legal full-time equivalent employment per 10,000 population","Corrections full-time equivalent employment per 10,000 population"
U.S. total,"320,635,163",701.58,324.87,137.34,239.37,63.27,28.58,21.78,12.85,21.83
Alabama,"4,852,347",480.73,255.39,72.52,152.82,56.52,29.3,23.04,10.05,17.17
Alaska,"737,498","1,362.84",535.67,354.75,472.41,80.22,26.13,15.97,21.75,32.34
Arizona,"6,829,676",705.48,309.42,149.25,246.81,66.53,28.62,20.68,15.81,22.09
Arkansas,"2,978,048",472.54,227.5,67.77,177.27,66.75,29.23,21.92,10.49,27.03
California,"38,918,045","1,018.05",424.87,200.68,392.5,59.44,25.68,18.26,11.32,22.43
Colorado,"5,450,623",708.6,326.4,145.61,236.6,62.3,27.95,19.64,13.99,20.36
Connecticut,"3,587,122",715.05,326.89,193.59,194.57,61.23,27.6,21.98,17.54,16.09
Delaware,"941,252",912.74,383.12,205.6,324.02,79.08,27.74,21.94,20.35,30.99
District of Columbia,"675,400","1,234.97",865.66,158.51,210.8,116.29,66.29,58.32,29.91,20.09
Florida,"20,209,042",706.14,372.59,119.2,214.34,65.94,30.61,20.35,15.48,19.86
Georgia,"10,178,447",570.71,250.32,119.09,201.31,67.59,27.73,22.38,13.86,26
Hawaii,"1,422,052",674.09,320.7,203.8,149.59,68.63,28.37,21.91,22.34,17.92
Idaho,"1,651,059",571.43,245.02,115.65,210.76,62.46,24.34,16.8,13.35,24.77
Illinois,"12,858,913",695.96,389.59,127.72,178.66,60.12,32.01,25.65,10.5,17.61
Indiana,"6,608,422",423.16,181.79,86.04,155.33,54.01,23.54,17.9,11.85,18.63
Iowa,"3,120,960",496.91,238.75,115.54,142.62,47.33,22.85,17.4,10.22,14.26
Kansas,"2,909,011",554.34,270.35,107.85,176.14,65.15,30.51,21.4,12.94,21.7
Kentucky,"4,425,976",466.16,162.4,121.49,182.27,55.87,21.75,17.15,15.83,18.29
Louisiana,"4,664,628",710.41,327.64,149.54,233.24,79.04,36.79,28.22,15.51,26.74
Maine,"1,328,262",429.17,199.73,72.87,156.57,43.62,22.01,17.32,7.27,14.35
Maryland,"5,985,562",890.67,430.17,147.11,313.38,72.91,31.61,23.14,14.13,27.16
Massachusetts,"6,794,228",654.66,308.21,143.49,202.96,62.07,29.75,24.05,13.95,18.37
Michigan,"9,931,715",611.04,245.11,114.6,251.34,49.55,20.91,16.81,10.73,17.91
Minnesota,"5,482,032",630.97,335.71,129.09,166.17,51.34,22.22,16.38,11.4,17.72
Mississippi,"2,988,471",493.25,244.05,82.67,166.53,58.24,32.04,24.17,8.76,17.44
Missouri,"6,071,732",513.66,275.81,87.63,150.23,68.85,30.68,22.68,13.1,25.07
Montana,"1,030,475",711.24,295.39,167.32,248.53,59.85,25.1,17.42,16.01,18.74
Nebraska,"1,891,277",586.15,245.82,90.91,249.42,60.58,26.11,19.38,11,23.47
Nevada,"2,866,939",783.83,391.98,159.86,231.99,61.25,26.97,17.46,14.91,19.37
New Hampshire,"1,336,350",556.6,299.98,108.29,148.34,51.02,29.07,22.2,8.38,13.57
New Jersey,"8,867,949",792.68,383.18,168.77,240.73,76.48,38.45,29.54,21.44,16.59
New Mexico,"2,089,291",800.5,324.14,156.34,320.03,75.76,28.53,21.73,17.58,29.65
New York,"19,654,666","1,001.54",486.88,206.53,308.14,85.96,43.58,37.77,15.69,26.69
North Carolina,"10,031,646",553.42,298.47,73.32,181.62,59.41,27.73,22.42,7.23,24.44
North Dakota,"754,066",572.9,253.5,134.18,185.22,55.29,23.68,19.93,12.2,19.4
Ohio,"11,617,527",603.54,294.3,149.46,159.78,62.62,26.95,20.29,17.12,18.55
Oklahoma,"3,909,500",528.95,252.44,99.81,176.69,56.79,29.28,20.69,11.17,16.34
Oregon,"4,015,792",751.19,302.81,166.34,282.04,54.94,21.95,14.7,11.65,21.34
Pennsylvania,"12,784,826",694.79,289.13,135.42,270.24,63.76,25.15,20.83,13.86,24.75
Rhode Island,"1,056,065",739.73,396.55,133.42,209.76,54.45,28.29,22.44,12.07,14.08
South Carolina,"4,891,938",452.15,235.17,70.74,146.24,62.17,28.79,23.03,9.87,23.52
South Dakota,"853,988",535.2,228.8,98.79,207.61,53.19,23.89,18.98,11.35,17.95
Tennessee,"6,591,170",554.53,274.46,109.6,170.46,61.97,31.85,25.57,11.25,18.88
Texas,"27,470,056",572.4,266.03,103.37,203,62.33,27.34,20.12,10.14,24.86
Utah,"2,981,835",526.28,230.58,113.19,182.51,48.56,20.89,14.58,9.93,17.74
Vermont,"625,216",671.72,312.1,130.86,228.77,53.18,24.1,16.06,11.31,17.77
Virginia,"8,361,808",705,278.1,117.05,309.84,66.23,26.13,20.97,10.77,29.33
Washington,"7,163,657",638.15,260.24,148.46,229.45,49.96,19.93,13.83,11.6,18.43
West Virginia,"1,842,050",527.21,202.66,142.77,181.78,57.06,21.92,17.4,15.1,20.05
Wisconsin,"5,760,940",679.83,308.28,109.36,262.19,60.18,27.55,21.18,9.36,23.27
Wyoming,"585,613",946.67,378.56,208.89,359.22,83.21,33.06,24.9,16.8,33.35
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01), December 2019.",,,,,,,,,,
