Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee15fut12.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2015",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2015",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,Fiscal year ends in month of,Total justice system total expenditure,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay total,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Alameda, CA",6,"544,608","513,867","482,237","31,630","30,741","115,471","115,471","113,255","2,216",-,"185,043","154,302","126,115","28,187","30,741","244,094","244,094","242,867","1,227",-,-
"Allegheny, PA",12,"250,468","250,468","248,175","2,293",-,"61,162","61,162","58,910","2,252",-,"89,145","89,145","89,104",41,-,"100,161","100,161","100,161",-,-,-
"Anne Arundel, MD",6,"206,258","206,258","205,143","1,115",-,"133,473","133,473","132,472","1,001",-,"29,475","29,475","29,399",76,-,"43,310","43,310","43,272",38,-,-
"Arapahoe, CO",12,"90,446","90,446","90,413",33,-,"42,740","42,740","42,707",33,-,"14,929","14,929","14,929",-,-,"32,777","32,777","32,777",-,-,-
"Baltimore, MD",6,"269,487","269,487","268,698",789,-,"208,350","208,350","207,609",741,-,"23,668","23,668","23,667",1,-,"37,469","37,469","37,422",47,-,-
"Bergen, NJ",12,"115,397","115,397","110,784","4,613",-,"40,857","40,857","36,308","4,549",-,"32,979","32,979","32,979",-,-,"41,561","41,561","41,497",64,64,-
"Bernalillo, NM",6,"125,345","124,262","123,916",346,"1,083","50,073","50,073","49,727",346,-,"3,363","3,363","3,363",-,-,"71,909","70,826","70,826",-,-,"1,083"
"Bexar, TX",9,"280,903","280,903","266,537","14,366",-,"74,898","74,898","69,106","5,792",-,"96,524","96,524","90,701","5,823",-,"109,481","109,481","106,730","2,751","1,940",-
"Brevard, FL",9,"124,652","124,652","121,145","3,507",-,"63,055","63,055","59,703","3,352",-,"20,889","20,889","20,748",141,-,"40,708","40,708","40,694",14,-,-
"Bristol, MA",6,303,303,303,-,-,-,-,-,-,-,303,303,303,-,-,-,-,-,-,-,-
"Broward, FL",9,"688,792","688,792","667,364","21,428",-,"406,022","406,022","388,670","17,352",-,"62,087","62,087","61,367",720,-,"220,683","220,683","217,327","3,356",-,-
"Bucks, PA",12,"193,844","193,844","148,343","45,501",-,"17,965","17,965","17,965",-,-,"109,879","109,879","64,423","45,456",-,"66,000","66,000","65,955",45,-,-
"Camden, NJ",12,"99,406","99,406","99,406",-,-,"18,030","18,030","18,030",-,-,"25,567","25,567","25,567",-,-,"55,809","55,809","55,809",-,-,-
"Clark, NV",6,"1,056,783","1,056,783","1,029,751","27,032",-,"622,882","622,882","597,510","25,372",-,"205,828","205,828","204,537","1,291",-,"228,073","228,073","227,704",369,-,-
"Cobb, GA",9,"234,380","234,380","232,405","1,975",-,"133,129","133,129","131,987","1,142",-,"53,557","53,557","53,511",46,-,"47,694","47,694","46,907",787,38,-
"Collin, TX",9,"82,553","82,553","82,553",-,-,"19,477","19,477","19,477",-,-,"27,240","27,240","27,240",-,-,"35,836","35,836","35,836",-,-,-
"Contra Costa, CA",6,"343,393","327,356","322,828","4,528","16,037","116,246","116,246","112,378","3,868",-,"108,136","92,099","91,961",138,"16,037","119,011","119,011","118,489",522,-,-
"Cook, IL",11,"1,239,670","1,239,670","1,233,458","6,212",-,"101,693","101,693","101,693",-,-,"617,664","617,664","614,961","2,703",-,"520,313","520,313","516,804","3,509","3,488",-
"Cuyahoga, OH",12,"331,972","331,951","328,405","3,546",21,"49,272","49,272","48,402",870,-,"192,130","192,130","189,454","2,676",-,"90,570","90,549","90,549",-,-,21
"Dade, FL",9,"1,006,746","1,006,746","976,686","30,060",-,"566,782","566,782","557,204","9,578",-,"130,888","130,888","116,172","14,716",-,"309,076","309,076","303,310","5,766",-,-
"Dallas, TX",9,"307,192","307,192","307,192",-,-,"31,376","31,376","31,376",-,-,"133,153","133,153","133,153",-,-,"142,663","142,663","142,663",-,-,-
"DeKalb, GA",12,"334,555","334,555","332,543","2,012",-,"124,655","124,655","123,871",784,-,"157,997","157,997","156,770","1,227",-,"51,903","51,903","51,902",1,-,-
"Delaware, PA",12,"119,465","119,465","119,455",10,-,"22,808","22,808","22,808",-,-,"33,898","33,898","33,898",-,-,"62,759","62,759","62,749",10,-,-
"Denton, TX",9,"125,285","125,285","96,813","28,472",-,"28,232","28,232","23,526","4,706",-,"32,333","32,333","32,306",27,-,"64,720","64,720","40,981","23,739","23,739",-
"Douglas, NE",6,"79,106","79,106","78,861",245,-,"15,087","15,087","14,842",245,-,"23,305","23,305","23,305",-,-,"40,714","40,714","40,714",-,-,-
"Du Page, IL",11,"87,419","87,419","87,419",-,-,"43,086","43,086","43,086",-,-,"33,194","33,194","33,194",-,-,"11,139","11,139","11,139",-,-,-
"El Paso, CO",12,"95,121","95,121","95,121",-,-,"71,039","71,039","71,039",-,-,"17,654","17,654","17,654",-,-,"6,428","6,428","6,428",-,-,-
"El Paso, TX",9,"210,117","210,117","198,797","11,320",-,"53,574","53,574","42,440","11,134",-,"67,218","67,218","67,176",42,-,"89,325","89,325","89,181",144,28,-
"Erie, NY",12,"179,158","179,158","177,074","2,084",-,"32,624","32,624","30,871","1,753",-,"33,368","33,368","33,320",48,-,"113,166","113,166","112,883",283,-,-
"Essex, NJ",12,"193,897","193,897","193,735",162,-,"42,564","42,564","42,516",48,-,"37,278","37,278","37,262",16,-,"114,055","114,055","113,957",98,-,-
"Fairfax, VA",6,"360,875","360,875","315,738","45,137",-,"253,507","253,507","208,381","45,126",-,"65,696","65,696","65,685",11,-,"41,672","41,672","41,672",-,-,-
"Fort Bend, TX",9,"117,581","117,581","115,433","2,148",-,"39,335","39,335","37,643","1,692",-,"30,197","30,197","29,838",359,-,"48,049","48,049","47,952",97,-,-
"Franklin, OH",12,"267,731","266,594","235,147","31,447","1,137","64,698","63,561","55,160","8,401","1,137","143,170","143,170","120,124","23,046",-,"59,863","59,863","59,863",-,-,-
"Fresno, CA",6,"344,153","328,534","323,018","5,516","15,619","90,217","90,217","89,000","1,217",-,"99,284","83,665","79,366","4,299","15,619","154,652","154,652","154,652",-,-,-
"Fulton, GA",12,"262,823","262,823","257,295","5,528",-,"57,188","57,188","56,739",449,-,"125,750","125,750","125,003",747,-,"79,885","79,885","75,553","4,332",-,-
"Gwinnet, GA",12,"245,291","245,291","240,983","4,308",-,"129,136","129,136","125,354","3,782",-,"59,214","59,214","58,975",239,-,"56,941","56,941","56,654",287,-,-
"Hamilton, OH",12,"212,487","212,487","209,685","2,802",-,"79,069","79,069","78,841",228,-,"101,215","101,215","98,641","2,574",-,"32,203","32,203","32,203",-,-,-
"Harris, TX",2,"897,788","897,788","875,468","22,320",-,"371,773","371,773","358,047","13,726",-,"247,494","247,494","240,680","6,814",-,"278,521","278,521","276,741","1,780",-,-
"Hennepin, MN",12,"271,849","271,849","250,848","21,001",-,"105,253","105,253","86,289","18,964",-,"69,103","69,103","68,901",202,-,"97,493","97,493","95,658","1,835",713,-
"Hidalgo, TX",12,"122,479","122,479","122,295",184,-,"31,492","31,492","31,360",132,-,"28,071","28,071","28,071",-,-,"62,916","62,916","62,864",52,-,-
"Hillsborough, FL",9,"427,590","427,590","406,976","20,614",-,"225,438","225,438","213,761","11,677",-,"66,207","66,207","59,739","6,468",-,"135,945","135,945","133,476","2,469",-,-
"Hudson, NJ",12,"118,704","117,283","103,860","13,423","1,421","22,645","22,645","22,645",-,-,"24,538","24,538","24,538",-,-,"71,521","70,100","56,677","13,423","13,423","1,421"
"Jackson, MO",12,"98,645","98,645","98,555",90,-,"38,377","38,377","38,287",90,-,"39,072","39,072","39,072",-,-,"21,196","21,196","21,196",-,-,-
