Bureau of Justice Statistics,,,,,,,
Filename: jeee15fut01.csv,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2015",,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 07/07/2021,,,,,,,
,,,,,,,
"Table 1. Percent distribution of expenditure for the justice system, by type of government, fiscal 2015",,,,,,,
(Amounts in thousands of dollars),,,,,,,
,,,,,,,
Function - Measure ,All governments/a,Federal government,State governments,Local governments,Percent federal government,Percent state governments,Percent local governments 
Total justice system - Total expenditure,"282,793,596","51,906,000","89,440,635","141,446,961",-,-,-
Total justice system - Direct expenditure,"273,653,230","48,703,000","84,300,641","140,649,589",17.8,30.8,51.4
Total justice system - Intergovernmental expenditure,-,"3,203,000","5,139,994","797,372",-,-,-
Police protection - Total expenditure,"134,397,481","28,708,538","15,267,432","90,421,511",-,-,-
Police protection - Direct expenditure,"131,102,167","26,937,000","13,752,975","90,412,192",20.5,10.5,69
Police protection - Intergovernmental expenditure,-,"1,771,538","1,514,457","9,319",-,-,-
Judicial and legal - Total expenditure,"61,678,067","15,684,878","23,002,582","22,990,607",-,-,-
Judicial and legal - Direct expenditure,"58,752,642","14,717,000","21,738,482","22,297,160",25,37,38
Judicial and legal - Intergovernmental expenditure,-,"967,878","1,264,100","693,447",-,-,-
Corrections - Total expenditure,"86,718,048","7,512,584","51,170,621","28,034,843",-,-,-
Corrections - Direct expenditure,"83,798,421","7,049,000","48,809,184","27,940,237",8.4,58.2,33.3
Corrections - Intergovernmental expenditure,-,"463,584","2,361,437","94,606",-,-,-
"Note: Federal government data are for the fiscal period beginning October 1, 2014, and ending September 30, 2015. Local government data are estimates subject to sampling variability.",,,,,,,
"a/The total lines for each criminal justice activity, and for the total justice system, exclude duplicative intergovernmental amounts. This was done to avoid the artificial inflation that would result if an intergovernmental expenditure of a government were tabulated and then counted again when the recipient government(s) expended the amount. The intergovernmental expenditure lines are not totaled for the same reason. ",,,,,,,
