"REVISED 12/04/00",,,,,,,,,,,,,,,,,,,,,,
"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9609.csv",,,,,,,,,,,,,,,,,,,,,,
"table #:  9 Justice system expenditure of State governments by activity and character and object, fiscal 1996",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1996, NCJ 180883",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"authors:  Sidra Lea Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/04/2000",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of State governments by activity and character and object, fiscal 1996",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"                                     Total justice system",,,,,"                                      Police protection",,,,,"                                       Judicial and Legal",,,,,"                                                     Corrections",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"                 Direct expenditure",,,,,"                 Direct expenditure",,,,,"                 Direct expenditure",,,,,"                              Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Inter-",,,,,"Inter-",,,,,"Inter-",,,,"              Capital outlay",,"Inter-",
,,,,,"govern-",,,,,"govern-",,,,,"govern-",,,,,,"govern-",
,,,"Direct","Capital","mental",,,"Direct","Capital","mental",,,"Direct","Capital","mental",,,"Direct",,"Construct.","mental",
"State","Total","Total","current","outlay","expenditure","Total","Total","current","outlay","expenditure","Total","Total","current","outlay","expenditure","Total","Total","current","Total","only","expenditure","State"
,,,,,,,,,,,,,,,,,,,,,,
"Total",43803353,39903049,36899643,3003406,3900304,7173419,6499224,5944205,555019,674195,9305799,8109714,7763530,346184,1196085,27324135,25294111,23191908,2102203,1665829,2030024,"Total"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",446299,430577,419031,11546,15722,86936,75743,70101,5642,11193,139317,139317,137920,1397,0,220046,215517,211010,4507,3208,4529,"Alabama"
"Alaska",347634,337710,318061,19649,9924,53161,46692,46376,316,6469,144447,144447,130389,14058,0,150026,146571,141296,5275,2909,3455,"Alaska"
"Arizona",723073,645742,590953,54789,77331,120135,114445,101299,13146,5690,103518,86310,79871,6439,17208,499420,444987,409783,35204,18858,54433,"Arizona"
"Arkansas",273894,262109,242772,19337,11785,52061,50947,43591,7356,1114,50831,47496,46639,857,3335,171002,163666,152542,11124,7837,7336,"Arkansas"
"California",5816872,5022965,4651957,371008,793907,1012166,910811,858707,52104,101355,961348,395689,389922,5767,565659,3843358,3716465,3403328,313137,267554,126893,"California"
,,,,,,,,,,,,,,,,,,,,,,
"Colorado",545424,528341,496461,31880,17083,52487,52465,49747,2718,22,139502,139502,132899,6603,0,353435,336374,313815,22559,10794,17061,"Colorado"
"Connecticut",812364,811193,765840,45353,1171,105413,105363,95959,9404,50,241470,241470,224332,17138,0,465481,464360,445549,18811,14612,1121,"Connecticut"
"Delaware",229231,222366,217189,5177,6865,48433,45972,43434,2538,2461,68235,63831,62980,851,4404,112563,112563,110775,1788,3,0,"Delaware"
"Florida",2435310,2428873,2246031,182842,6437,295435,291695,274417,17278,3740,492953,492432,479146,13286,521,1646922,1644746,1492468,152278,115251,2176,"Florida"
"Georgia",1039362,1009003,954209,54794,30359,149775,148098,134677,13421,1677,72762,69043,68124,919,3719,816825,791862,751408,40454,23690,24963,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",241359,237199,224441,12758,4160,8618,4991,4703,288,3627,126744,126211,121826,4385,533,105997,105997,97912,8085,7753,0,"Hawaii"
"Idaho",173362,171380,155599,15781,1982,30435,28453,25762,2691,1982,45367,45367,43645,1722,0,97560,97560,86192,11368,7459,0,"Idaho"
