"REVISED 12/11/00",,,,,,,,,,
"Bureau of Justice Statistics",,,,,,,,,,
"filename:  cjee9603.csv",,,,,,,,,,
"table #:  3 Percent distribution of expenditure for the justice system by level of government, fiscal 1996",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1996, NCJ",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"authors:  Sidra Lea Gifford and Sue Lindgren",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  12/11/2000",,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by level of government, fiscal 1996",,,,,,,,,,
,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,
,,,,,,,,,,
,,,"                Total justice system",,"                Police protection",,"                Judicial and legal",,"                     Corrections",
,,,,,,,,,,
,,,,,,"Percent",,"Percent",,"Percent"
,"Population",,,"Percent of",,"of total",,"of total",,"of total"
"State and level",1996,"Total direct",,"total direct",,"justice",,"justice",,"justice"
"of government","(thousands)","expenditure/a","Amount","expenditure/b","Amount","system","Amount","system","Amount","system"
,,,,,,,,,,
"States-local, total",265284,1393714332,102714175,7.4,44726425,43.5,20464907,19.9,37522843,36.5
"State","-",607594141,39903049,6.6,6499224,16.3,8109714,20.3,25294111,63.4
"Local, total","-",786120191,62811126,8.0,38227201,60.9,12355193,19.7,12228732,19.5
"Counties","-",178082677,29610765,16.6,10425771,35.2,9358446,31.6,9826548,33.2
"Municipalities","-",280040079,33200361,11.9,27801430,83.7,2996747,9.0,2402184,7.2
,,,,,,,,,,
"Alabama",4273,19302684,1038075,5.4,502126,48.4,217590,21.0,318359,30.7
"State","-",9049767,430577,4.8,75743,17.6,139317,32.4,215517,50.1
"Local, total","-",10252917,607498,5.9,426383,70.2,78273,12.9,102842,16.9
"Counties","-",1202047,242015,20.1,106230,43.9,48594,20.1,87191,36.0
"Municipalities","-",3320625,365483,11.0,320153,87.6,29679,8.1,15651,4.3
,,,,,,,,,,
"Alaska",607,7108105,448016,6.3,145775,32.5,155285,34.7,146956,32.8
"State","-",4571925,337710,7.4,46692,13.8,144447,42.8,146571,43.4
"Local, total","-",2536180,110306,4.3,99083,89.8,10838,9.8,385,0.3
"Boroughs","-",866976,18343,2.1,13885,75.7,4458,24.3,0,0.0
