"Bureau of Justice Statistics",,,,,,,,,,,
"filename:  cjee9617.csv",,,,,,,,,,,
"table #:  17 Police protection sworn and nonsworn employment, payrolls, and percent distribution",,,,,,,,,,,
"of full-time equivalent (FTE) employment of 49 large city governments, October 1995",,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1996, NCJ 180883",,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,
"date of version:  12/29/99",,,,,,,,,,,
,,,,,,,,,,,
"Table 17.  Police protection sworn and nonsworn employment, payrolls, and percent distribution",,,,,,,,,,,
"of full-time equivalent (FTE) employment of 49 large city governments, October 1995",,,,,,,,,,,
,,,,,,,,,,,
,"                                                                          Sworn",,,,,,"                                                              Nonsworn",,,,
,,,,,,,,,,,
,,,,,,"Average",,,,,
,"                                 Employment",,,"Percent of","October","earnings of","                                 Employment",,,"Percent of","October"
,,,,"total police","payrolls","full-time",,,,"total police","payrolls"
,"Total","Full-time","Full-time","protection","(thousands","employees","Total","Full-time","Full-time","protection","(thousands"
"City","employees","employees","equivalent","FTE","of dollars)","(dollars)","employees","employees","equivalent","FTE","of dollars)"
,,,,,,,,,,,
"Albuquerque, NM",820,820,820,67.4,2512,3064,478,336,397,32.6,684
"Atlanta, GA",1539,1539,1539,77.8,3897,2532,513,415,438,22.2,937
"Austin, TX",985,985,985,70.2,3725,3782,418,398,418,29.8,926
"Baltimore, MD",,,,,,,,,,,
"Baton Rouge, LA",1027,1008,1017,89.4,3192,3157,181,66,120,10.6,266
"Boston, MA",2056,2056,2056,73.2,3876,1885,875,718,752,26.8,722
,,,,,,,,,,,
"Buffalo, NY",899,899,899,77.7,3956,4401,388,185,258,22.3,528
"Charlotte, NC",1273,1273,1273,82.3,3826,3005,339,250,273,17.7,752
"Chicago, IL",13354,13354,13354,80.0,59647,4467,3339,3339,3339,20.0,11406
"Cincinnati, OH",,,,,,,,,,,
"Cleveland, OH",1728,1728,1728,75.0,6347,3673,910,527,575,25.0,1331
"Columbus, OH",1612,1612,1612,81.4,8202,5088,369,369,369,18.6,929
,,,,,,,,,,,
"Dallas, TX",3137,2824,2915,79.5,10661,3729,751,751,751,20.5,1577
"Denver, CO",,,,,,,,,,,
"Detroit, MI",,,,,,,,,,,
"El Paso, TX",1015,1015,1015,80.7,3470,3418,248,237,242,19.3,438
"Fort Worth, TX",,,,,,,,,,,
"Honolulu, HI",1763,1763,1763,78.5,6645,3769,583,457,484,21.5,1300
,,,,,,,,,,,
"Houston, TX",5136,5136,5136,70.2,15162,2952,2189,2163,2176,29.8,4295
"Indianapolis, IN",1651,1622,1633,77.4,5482,3369,526,457,476,22.6,879
"Jacksonville, FL",1346,1346,1346,71.3,4758,3535,710,341,542,28.7,935
"Kansas City, MO",1225,1225,1225,68.3,4428,3615,569,569,569,31.7,1245
"Long Beach, CA",870,870,870,71.4,4241,4875,376,273,349,28.6,934
"Los Angeles, CA",8375,8375,8375,74.6,41888,5002,2858,2854,2856,25.4,9088
,,,,,,,,,,,
"Memphis, TN",,,,,,,,,,,
"Miami, FL",987,987,987,70.6,3608,3656,437,385,412,29.4,1056
"Milwaukee, WI",,,,,,,,,,,
"Minneapolis, MN",,,,,,,,,,,
"Nashville, TN",1161,1161,1161,72.2,3272,2818,622,416,447,27.8,945
"Newark, NJ",1126,1126,1126,91.3,5587,4962,174,16,107,8.7,183
,,,,,,,,,,,
"New Orleans, LA",1366,1366,1366,78.6,4631,3390,527,310,372,21.4,608
"New York, NY",42609,40511,40893,92.2,163591,4001,3618,3441,3476,7.8,13839
"Oakland, CA",,,,,,,,,,,
"Oklahoma City, OK",1031,1031,1031,79.1,3676,3565,348,249,272,20.9,614
"Omaha, NE",670,670,670,77.0,2959,4416,206,192,200,23.0,502
"Philadelphia, PA",6378,6378,6378,80.1,21827,3422,2099,1142,1589,19.9,5118
,,,,,,,,,,,
"Phoenix, AZ",2218,2218,2218,75.9,8031,3621,720,671,705,24.1,1962
"Pittsburgh, PA",,,,,,,,,,,
"Portland, OR",970,970,970,71.2,4313,4446,408,323,393,28.8,1264
"St.Louis, MO",1583,1583,1583,69.7,4922,3109,687,687,687,30.3,1506
"San Antonio, TX",1807,1807,1807,74.9,6413,3549,744,467,604,25.1,960
"San Diego, CA",1959,1953,1955,79.1,8406,4301,714,483,515,20.9,1357
,,,,,,,,,,,
"San Francisco, CA",2043,2043,2043,82.7,9069,4439,428,428,428,17.3,1484
"San Jose, CA",1226,1226,1226,70.9,6771,5523,617,449,502,29.1,1803
"Seattle, WA",1250,1236,1255,70.1,6174,4956,632,492,536,29.9,1630
"Toledo, OH",701,701,701,89.5,2708,3863,82,82,82,10.5,193
"Tucson, AZ",838,838,838,77.3,2798,3338,251,240,246,22.7,586
"Tulsa, OK",727,727,727,81.4,2651,3647,166,166,166,18.6,322
"Washington, DC",3757,3751,3754,83.6,14195,3780,798,653,736,16.4,2016
,,,,,,,,,,,
"Note:  Payroll data shown here may not sum to equal police protection October payroll data in table 16 due to rounding.",,,,,,,,,,,
"The October 1995 employment and payrolls data were used for both ",,,,,,,,,,,
"1995 and 1996 Justice Expenditure and Employment Extracts.",,,,,,,,,,,
"Jurisdictions without data did not report for 1995.",,,,,,,,,,,
