"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"filename:  cjee9605.csv",,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
" by State and level of government, October 1995",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1996, NCJ 180883",,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,
"date of version:  1/13/2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
" by State and level of government, October 1995",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"                               Total justice system",,,,"                                   Police protection",,,,"                                   Judicial and legal",,,,"                                     Corrections",,,,
,,,,,,,,,,,,,,,,,,
,,"                   Number of employees",,,"Percent of","                   Number of employees",,,"Percent of","                   Number of employees",,,"Percent of","                   Number of employees",,,"Percent of",
,,,,,"total",,,,"total justice",,,,"total justice",,,,"total justice",
,"Total full-time",,,,"full-time",,,,"full-time",,,,"full-time",,,,"full-time",
"State and","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent","State and"
"level of government","employment/a","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","level of government"
,,,,,,,,,,,,,,,,,,
"States-local, total",14090531,1816635,1657922,1725803,12.2,839999,743469,778633,45.1,348910,313203,331085,19.2,627726,601250,616085,35.7,"States-local, total"
"State",3971217,634692,612774,626409,15.8,91252,88688,89564,14.3,130169,122397,127637,20.4,413271,401689,409208,65.3,"State"
"Local, total",10119314,1181943,1045148,1099394,10.9,748747,654781,689069,62.7,218741,190806,203448,18.5,214455,199561,206877,18.8,"Local, total"
"Counties",2494085,543272,497484,519342,20.8,199492,182374,188806,36.4,163939,149465,158126,30.4,179841,165645,172410,33.2,"Counties"
"Municipalities",2838412,638671,547664,580052,20.4,549255,472407,500263,86.2,54802,41341,45322,7.8,34614,33916,34467,5.9,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Alabama",246118,23212,21200,21901,8.9,11562,10572,10891,49.7,4780,4022,4242,19.4,6870,6606,6768,30.9,"Alabama"
"State",80993,8174,8006,8097,10.0,1015,1015,1015,12.5,2828,2677,2759,34.1,4331,4314,4323,53.4,"State"
"Local, total",165125,15038,13194,13804,8.4,10547,9557,9876,71.5,1952,1345,1483,10.7,2539,2292,2445,17.7,"Local, total"
"Counties",21217,5853,5125,5385,25.4,2317,2151,2197,40.8,1243,918,984,18.3,2293,2056,2204,40.9,"Counties"
"Municipalities",35889,9185,8069,8419,23.5,8230,7406,7679,91.2,709,427,499,5.9,246,236,241,2.9,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Alaska",45621,4357,4225,4296,9.4,1796,1737,1772,41.2,1263,1195,1228,28.6,1298,1293,1296,30.2,"Alaska"
"State",22060,2848,2779,2811,13.1,419,416,418,14.9,1173,1108,1138,40.5,1256,1255,1255,44.6,"State"
"Local, total",23561,1509,1446,1485,6.3,1377,1321,1354,91.2,90,87,90,6.1,42,38,41,2.8,"Local, total"
"Boroughs",7391,116,115,116,1.6,81,81,81,69.8,27,26,27,23.3,8,8,8,6.9,"Boroughs"
"Municipalities",14591,1393,1331,1369,9.4,1296,1240,1273,93.0,63,61,63,4.6,34,30,33,2.4,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Arizona",218806,31716,30340,30937,14.1,12050,11753,11934,38.6,7343,6636,6907,22.3,12323,11951,12096,39.1,"Arizona"
"State",58163,10516,10429,10468,18.0,1698,1694,1696,16.2,1235,1172,1199,11.5,7583,7563,7573,72.3,"State"
"Local, total",160643,21200,19911,20469,12.7,10352,10059,10238,50.0,6108,5464,5708,27.9,4740,4388,4523,22.1,"Local, total"
"Counties",38511,11911,10987,11340,29.4,2419,2352,2387,21.0,4752,4247,4430,39.1,4740,4388,4523,39.9,"Counties"
"Municipalities",33807,9289,8924,9129,27.0,7933,7707,7851,86.0,1356,1217,1278,14.0,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Arkansas",138019,13612,12645,12964,9.4,6498,6177,6290,48.5,2438,1887,2046,15.8,4676,4581,4628,35.7,"Arkansas"
"State",47590,4646,4634,4641,9.8,895,895,895,19.3,359,353,355,7.6,3392,3386,3391,73.1,"State"
"Local, total",90429,8966,8011,8323,9.2,5603,5282,5395,64.8,2079,1534,1691,20.3,1284,1195,1237,14.9,"Local, total"
"Counties",14318,4123,3728,3852,26.9,1532,1429,1453,37.7,1353,1150,1208,31.4,1238,1149,1191,30.9,"Counties"
"Municipalities",18439,4843,4283,4471,24.2,4071,3853,3942,88.2,726,384,483,10.8,46,46,46,1.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"California",1479629,209268,191032,199984,13.5,96417,86883,90476,45.2,39751,37268,38477,19.2,73100,66881,71031,35.5,"California"
"State",338422,58922,53479,56831,16.8,11900,10732,10985,19.3,2939,2665,2782,4.9,44083,40082,43064,75.8,"State"
"Local, total",1141207,150346,137553,143153,12.5,84517,76151,79491,55.5,36812,34603,35695,24.9,29017,26799,27967,19.5,"Local, total"
"Counties",352372,89291,83524,86084,24.4,27807,26303,26668,31.0,33604,31559,32586,37.9,27880,25662,26830,31.2,"Counties"
"Municipalities",235906,61055,54029,57069,24.2,56710,49848,52823,92.6,3208,3044,3109,5.4,1137,1137,1137,2.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Colorado",204934,23386,21834,22508,11.0,10974,10406,10609,47.1,5235,4392,4789,21.3,7177,7036,7110,31.6,"Colorado"
"State",57359,8438,7780,8113,14.1,1087,1075,1077,13.3,3105,2536,2826,34.8,4246,4169,4210,51.9,"State"
"Local, total",147575,14948,14054,14395,9.8,9887,9331,9532,66.2,2130,1856,1963,13.6,2931,2867,2900,20.1,"Local, total"
"Counties",21853,5621,5334,5451,24.9,2655,2491,2555,46.9,939,877,899,16.5,2027,1966,1997,36.6,"Counties"
"Municipalities",42504,9327,8720,8944,21.0,7232,6840,6977,78.0,1191,979,1064,11.9,904,901,903,10.1,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Connecticut",164807,21878,19950,20712,12.6,10715,8977,9615,46.4,3687,3579,3654,17.6,7476,7394,7443,35.9,"Connecticut"
"State",63075,12568,12371,12500,19.8,1599,1563,1587,12.7,3493,3414,3470,27.8,7476,7394,7443,59.5,"State"
"Local, total",101732,9310,7579,8212,8.1,9116,7414,8028,97.8,194,165,184,2.2,0,0,0,0.0,"Local, total"
"Municipalities",95265,9310,7579,8212,8.6,9116,7414,8028,97.8,194,165,184,2.2,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Delaware",41279,5507,5116,5301,12.8,2122,1885,2000,37.7,1477,1449,1461,27.6,1908,1782,1840,34.7,"Delaware"
"State",22011,4032,3868,3947,18.3,789,770,782,19.8,1335,1316,1325,33.6,1908,1782,1840,46.6,"State"
"Local, total",19268,1475,1248,1354,7.0,1333,1115,1218,90.0,142,133,136,10.0,0,0,0,0.0,"Local, total"
"Counties",2098,615,424,511,24.4,531,342,428,83.8,84,82,83,16.2,0,0,0,0.0,"Counties"
"Municipalities",3007,860,824,843,28.0,802,773,790,93.7,58,51,53,6.3,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"District of Columbia",46831,10578,10375,10511,22.4,4555,4404,4490,42.7,1849,1819,1836,17.5,4174,4152,4185,39.8,"District of Columbia"
"Local, total",46831,10578,10375,10511,22.4,4555,4404,4490,42.7,1849,1819,1836,17.5,4174,4152,4185,39.8,"Local, total"
"Municipality",45929,10578,10375,10511,22.9,4555,4404,4490,42.7,1849,1819,1836,17.5,4174,4152,4185,39.8,"Municipality"
,,,,,,,,,,,,,,,,,,
"Florida",708937,119310,113319,115799,16.3,51589,46813,48684,42.0,23125,22352,22800,19.7,44596,44154,44315,38.3,"Florida"
"State",174717,47205,46424,46804,26.9,3844,3769,3808,8.1,12036,11734,11934,25.5,31325,30921,31062,66.4,"State"
"Local, total",534220,72105,66895,68995,12.9,47745,43044,44876,65.0,11089,10618,10866,15.7,13271,13233,13253,19.2,"Local, total"
"Counties",156394,46974,44078,45235,28.9,23768,21306,22211,49.1,10582,10186,10418,23.0,12624,12586,12606,27.9,"Counties"
"Municipalities",93108,25131,22817,23760,25.5,23977,21738,22665,95.4,507,432,448,1.9,647,647,647,2.7,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Georgia",448092,56873,53134,54500,12.2,22363,20592,21145,38.8,8791,7578,7997,14.7,25719,24964,25358,46.5,"Georgia"
"State",114778,22901,22295,22596,19.7,2353,2312,2340,10.4,1157,1134,1145,5.1,19391,18849,19111,84.6,"State"
"Local, total",333314,33972,30839,31904,9.6,20010,18280,18805,58.9,7634,6444,6852,21.5,6328,6115,6247,19.6,"Local, total"
"Counties",68139,21866,19890,20640,30.3,9921,9087,9374,45.4,6586,5642,5985,29.0,5359,5161,5281,25.6,"Counties"
"Municipalities",41587,12106,10949,11264,27.1,10089,9193,9431,83.7,1048,802,867,7.7,969,954,966,8.6,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Hawaii",65458,8341,8034,8118,12.4,3449,3243,3291,40.5,2752,2672,2696,33.2,2140,2119,2131,26.3,"Hawaii"
