"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9805.csv",,,,,,,,,,,,,,,,,,,,,,
"table 5.  Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,,,,,
"by State and level of government, March 1998",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  09/19/2001",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,,,,,
"by State and level of government, March 1998",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"                                   Total justice system",,,,,"                                            Police protection",,,,,"                                          Judicial and legal",,,,,"                                             Corrections",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Percent of",,,,,"Percent of",,,,,"Percent of",,,,,"Percent of",
,,,"                    Number of employees",,,"total",,"                       Number of employees",,,"total justice",,"                          Number of employees",,,"total justice",,"                      Number of employees",,,"total justice",
,"Total full-time",,,,,"full-time",,,,,"full-time",,,,,"full-time",,,,,"full-time",
"State and level","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent",,,"Full-time","Full-time","equivalent","State and level"
"of government","employment/a",,"Total","only","equivalent","employment/b",,"Total","only","equivalent","employment/b",,"Total","only","equivalent","employment/b",,"Total","only","equivalent","employment/b","of government"
,,,,,,,,,,,,,,,,,,,,,,
"States-local, total",14455264,,1948100,1772145,1837272,12.7,,876137,784124,817936,44.5,,379046,340364,356672,19.4,,692917,647657,662664,36.1,"States-local, total"
"State",3985350,,705512,663742,677545,17.0,,94628,91915,93156,13.7,,143650,134372,139678,20.6,,467234,437455,444711,65.6,"State"
"Local, total",10469914,,1242588,1108403,1159727,11.1,,781509,692209,724780,62.5,,235396,205992,216994,18.7,,225683,210202,217953,18.8,"Local, total"
"Counties",2221156,,575661,527166,548993,24.7,,207470,189389,196542,35.8,,178124,162070,169608,30.9,,190067,175707,182843,33.3,"Counties"
"Municipalities",2734863,,666927,581237,610734,22.3,,574039,502820,528238,86.5,,57272,43922,47386,7.8,,35616,34495,35110,5.7,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",256832,,25112,23058,23833,9.3,,13067,11834,12249,51.4,,4975,4354,4595,19.3,,7070,6870,6989,29.3,"Alabama"
"State",82483,,8676,8479,8605,10.4,,1262,1223,1236,14.4,,3025,2882,2987,34.7,,4389,4374,4382,50.9,"State"
"Local, total",174349,,16436,14579,15228,8.7,,11805,10611,11013,72.3,,1950,1472,1608,10.6,,2681,2496,2607,17.1,"Local, total"
"Counties",17572,,6019,5391,5615,32.0,,2358,2151,2197,39.1,,1218,970,1043,18.6,,2443,2270,2375,42.3,"Counties"
"Municipalities",37230,,10417,9188,9613,25.8,,9447,8460,8816,91.7,,732,502,565,5.9,,238,226,232,2.4,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Alaska",44256,,4599,4279,4377,9.9,,1940,1713,1775,40.6,,1329,1247,1277,29.2,,1330,1319,1325,30.3,"Alaska"
"State",22147,,2996,2853,2893,13.1,,481,422,430,14.9,,1230,1149,1179,40.8,,1285,1282,1284,44.4,"State"
"Local, total",22109,,1603,1426,1484,6.7,,1459,1291,1345,90.6,,99,98,98,6.6,,45,37,41,2.8,"Local, total"
"Boroughs",8405,,118,118,118,1.4,,86,86,86,72.9,,24,24,24,20.3,,8,8,8,6.8,"Boroughs"
