"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee9807.csv",,,,,,,,,,,,,
"table 7.  Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1998",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  09/19/2001",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1998",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"                                                        Sworn",,,,,,"                                                            Nonsworn",,,,
,,,,,,,,,,,,,
,"Total police",,,,,"Percent of",,,,,,"Percent of",
,"protection",,"                     Number of employees",,,"total police","March",,"                 ","Number of employees",,"total police","March"
,"full-time",,,,,"protection","payrolls",,,,,"protection","payrolls"
"State and level","equivalent",,,"Full-time","Full-time ","full-time","(thousands",,,"Full-time","Full-time ","full-time","(thousands"
"of government","employment",,"Total","only","equivalent","equivalent","of dollars)",,"Total","only","equivalent","equivalent","of dollars)"
,,,,,,,,,,,,,
"States-local, total",817936,,637607,606064,616377,75.4,2278596,,238530,178060,201559,24.6,508910
"State",93156,,55525,55018,55224,59.3,210041,,39103,36897,37932,40.7,108959
"Local, total",724780,,582082,551046,561153,77.4,2068556,,199427,141163,163627,22.6,399951
"Counties",196542,,149490,143013,145472,74.0,497869,,57980,46376,51070,26.0,123290
"Municipalities",528238,,432592,408033,415681,78.7,1570687,,141447,94787,112557,21.3,276661
,,,,,,,,,,,,,
"Alabama",12249,,9789,9344,9465,77.3,25616,,3278,2490,2784,22.7,5553
"State",1236,,774,774,774,62.6,3109,,488,449,462,37.4,1224
"Local, total",11013,,9015,8570,8691,78.9,22507,,2790,2041,2322,21.1,4329
"Counties",2197,,1953,1810,1842,83.8,5091,,405,341,355,16.2,661
"Municipalities",8816,,7062,6760,6849,77.7,17416,,2385,1700,1967,22.3,3667
,,,,,,,,,,,,,
"Alaska",1775,,1124,1077,1096,61.7,5464,,816,636,679,38.3,2523
"State",430,,250,250,250,58.1,1457,,231,172,180,41.9,571
"Local, total",1345,,874,827,846,62.9,4007,,585,464,499,37.1,1952
"Boroughs",86,,50,50,50,58.1,266,,36,36,36,41.9,161
"Municipalities",1259,,824,777,796,63.2,3741,,549,428,463,36.8,1791
,,,,,,,,,,,,,
"Arizona",13165,,9522,9425,9480,72.0,34219,,3822,3524,3685,28.0,10331
"State",1712,,956,956,956,55.8,3466,,765,753,756,44.2,2102
"Local, total",11453,,8566,8469,8524,74.4,30753,,3057,2771,2929,25.6,8230
"Counties",1688,,1344,1338,1339,79.3,3913,,367,333,349,20.7,773
"Municipalities",9765,,7222,7131,7185,73.6,26840,,2690,2438,2580,26.4,7456
,,,,,,,,,,,,,
"Arkansas",6958,,5446,5194,5252,75.5,12181,,1825,1632,1706,24.5,3006
"State",1082,,597,597,597,55.2,1732,,485,485,485,44.8,1056
