"Bureau of Justice Statistics",,,,,,,,,,,,
"filename:  cjee9814.csv",,,,,,,,,,,,
"table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of",,,,,,,,,,,,
"full-time equivalent employment of 68 large county governments, March 1998",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,
"date of version:  10/12/2001",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of",,,,,,,,,,,,
"full-time equivalent employment of 68 large county governments, March 1998",,,,,,,,,,,,
,,,,,,,,,,,,
,"                                                                               Sworn",,,,,,,"                                                            Nonsworn",,,,
,,,,,,,,,,,,
,,,,"Percent of ",,"Average",,,,,"Percent of",
,,"         Employment",,"total police ","March","earnings of",,,"          Employment",,"total police","March"
,,,,"protection ","payrolls","full-time",,,,,"protection","payrolls"
,"Total","Full-time","Full-time","full-time","(thousands","employees",,"Total","Full-time","Full-time","full-time","(thousands"
"County","employees","employees","equivalent","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","equivalent","of dollars)"
,,,,,,,,,,,,
"Alameda, CA",813,813,813,61.0,4598,5656,,529,519,520,39.0,1722
"Allegheny, PA",233,233,233,52.4,873,3746,,212,210,212,47.6,512
"Baltimore, MD",,,,,,,,,,,,
"Bergen, NJ",140,139,140,75.3,335,2401,,49,42,46,24.7,121
"Bexar, TX",374,372,372,76.1,876,2353,,121,114,117,23.9,274
"Broward, FL",959,959,959,58.3,3653,3810,,739,681,687,41.7,2044
"Contra Costa, CA",752,590,636,81.0,2976,4751,,156,142,149,19.0,684
,,,,,,,,,,,,
"Cook, IL",485,485,485,63.3,2166,4465,,300,268,281,36.7,806
"Cuyahoga, OH",161,161,161,31.2,484,3009,,355,355,355,68.8,749
"Dade, FL",3173,3173,3173,68.5,14128,4452,,1710,1202,1458,31.5,4201
"Dallas, TX",309,308,308,34.0,900,2916,,607,591,598,66.0,1404
"Dekalb, GA/a",964,964,964,84,2986,3097,,179,176,177,16,493
"Delaware, PA",58,58,58,100.0,158,2716,,0,0,0,0.0,0
"Du Page, IL",410,410,410,76.6,1456,3550,,130,120,125,23.4,482
,,,,,,,,,,,,
"Erie, NY",196,182,184,62.4,872,4756,,130,101,111,37.6,323
"Essex, MA",0,0,0,0.0,0,0,,0,0,0,0.0,0
"Essex, NJ",202,202,202,100.0,908,4497,,0,0,0,0.0,0
"Fairfax, VA",1044,1044,1044,74.1,4946,4737,,375,291,364,25.9,1124
"Franklin, OH",194,194,194,55.6,776,3998,,155,153,155,44.4,391
"Fresno, CA",510,510,510,86.4,2109,4135,,95,50,80,13.6,253
"Fulton, GA",408,396,400,100.0,1211,3042,,0,0,0,0.0,0
,,,,,,,,,,,,
"Hamilton, OH",290,290,290,70.6,960,3310,,126,116,121,29.4,377
"Harris, TX",3628,3606,3624,100.0,11066,3056,,0,0,0,0.0,0
"Hennepin, MN",277,277,277,90.2,1199,4329,,38,21,30,9.8,103
"Hillsborough, FL",962,962,962,64.6,4014,4172,,701,462,527,35.4,1308
"Hudson, NJ",259,259,259,100.0,844,3259,,0,0,0,0.0,0
"Jackson, MO",73,73,73,26.3,199,2721,,205,205,205,73.7,376
"Jefferson, AL",357,357,357,96.7,1431,4010,,15,12,12,3.3,53
,,,,,,,,,,,,
"Jefferson, KY",452,452,452,69.9,1512,3344,,233,163,195,30.1,389
"King, WA",622,609,618,66.6,3161,5149,,322,293,310,33.4,1018
"Lake, IN",171,171,171,65.8,494,2888,,91,85,89,34.2,181
"Los Angeles, CA",8687,8044,8078,98.0,47356,5876,,174,159,169,2.0,663
"Macomb, WI",123,123,123,78.8,538,4373,,33,32,33,21.2,102
"Maricopa, AZ",0,0,0,0.0,0,0,,0,0,0,0.0,0
"Middlesex, NJ",,,,,,,,,,,,
,,,,,,,,,,,,
"Milwaukee, WI",210,210,210,56.5,755,3594,,162,162,162,43.5,538
"Monmouth, NJ",96,96,96,50.3,328,3422,,116,89,95,49.7,271
"Monroe, NY",431,376,418,88.0,1412,3614,,64,52,57,12.0,191
"Montgomery, MD",1311,1146,1221,83.7,6286,5319,,242,229,238,16.3,864
"Montgomery, OH",415,350,389,87.4,1225,3204,,58,55,56,12.6,211
"Montgomery, PA",0,0,0,0.0,0,0,,141,134,138,100.0,337
"Multnomah, OR",166,155,160,67.2,498,3087,,82,75,78,32.8,279
,,,,,,,,,,,,
"Nassau, NY",3074,3074,3074,76.1,17333,5639,,1128,647,965,23.9,3348
"Norfolk, MA",0,0,0,0.0,0,0,,0,0,0,0.0,0
"Oakland, MI",294,274,281,69.4,1190,4298,,138,114,124,30.6,369
"Oklahoma, OK",679,587,622,100.0,1007,1617,,0,0,0,0.0,0
"Orange, CA",1238,1024,1185,53.4,5462,4779,,1034,1032,1033,46.6,3057
"Palm Beach, FL",1037,1037,1037,60.2,3877,3738,,753,614,686,39.8,1732
"Pima, AZ",442,442,442,73.9,1505,3405,,165,151,156,26.1,399
,,,,,,,,,,,,
"Pinellas, FL",701,701,701,64.0,2486,3546,,491,366,394,36.0,959
"Prince Georges, MD",1977,1977,1977,82.8,3761,1902,,422,367,411,17.2,1039
"Riverside, CA",852,852,852,63.1,4396,5160,,528,485,498,36.9,1409
"Sacramento, CA",774,729,763,62.9,3382,4487,,457,430,450,37.1,2018
"St. Louis, MO",629,629,629,70.5,1986,3158,,268,258,263,29.5,861
"Salt Lake, UT",377,377,377,57.9,1389,3684,,358,194,274,42.1,657
"San Bernadino, CA",962,934,939,55.6,4996,5331,,763,737,750,44.4,2155
,,,,,,,,,,,,
"San Diego, CA",1364,1350,1357,50.2,6410,4727,,1372,1324,1346,49.8,3649
"San Mateo, CA",,,,,,,,,,,,
"Santa Clara, CA",0,0,0,0.0,0,0,,0,0,0,0.0,0
"Shelby, TN",637,622,627,100.0,1746,2793,,0,0,0,0.0,0
"Suffolk, NY",3361,3361,3361,91.9,18265,5434,,558,185,297,8.1,858
"Summit, OH",,,,,,,,,,,,
,,,,,,,,,,,,
"Tarrant, TX",272,270,272,85.0,740,2726,,48,47,48,15.0,158
"Union, NJ",88,88,88,72.1,396,4500,,34,34,34,27.9,125
"Ventura, CA",578,557,572,80.5,3023,5374,,141,134,139,19.5,506
"Wayne, MI",688,688,688,92.6,2410,3502,,55,55,55,7.4,180
"Westchester, NY",284,284,284,100.0,1567,5517,,0,0,0,0.0,0
"Worcester, MA",0,0,0,0.0,0,0,,0,0,0,0.0,0
,,,,,,,,,,,,
"Notes: Payroll data shown here may not sum to equal police protection March payroll data in table 13 due to rounding.",,,,,,,,,,,,
"Jurisdictions without data did not report for 1998.",,,,,,,,,,,,
