"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9815.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,
"table 15.  Justice system expenditure of 49 large city governments by",,,,,,,,,,,,,,,,,,,,,,,,,,,
"activity, character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15.  Justice system expenditure of 49 large city governments by",,,,,,,,,,,,,,,,,,,,,,,,,,,
"activity, character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                                            Total justice system",,,,,,"                                               Police Protection",,,,,,"                                              Judicial and Legal",,,,,,"                                                                       Corrections",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"                      Direct expenditure",,,,,,"                       Direct expenditure",,,,,,"                      Direct expenditure",,,,,,"                                           Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Intergov-",,,,,,"Intergov-",,,,,,"Intergov-",,,,,"                    Capital Outlay",,"Intergov-",
,"Fiscal year",,,,,,"ernmental",,,,,,"ernmental",,,,,,"ernmental",,,,,,,"ernmental",
,"ends in",,,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct",,"Construc-","expenditure",
"City","month ",,"Total","direct","current","outlay","Total",,"Total","direct","current","outlay","Total",,"Total","direct","current","outlay","Total",,"Total","direct","current","Total","tion only","Total","City"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM","06",,118278,118278,114549,3729,0,,87862,87862,84133,3729,0,,4822,4822,4822,0,0,,25594,25594,25594,0,0,0,"Albuquerque, NM"
"Atlanta, GA","12",,153661,153661,149207,4454,0,,109918,109918,105923,3995,0,,19634,19634,19361,273,0,,24109,24109,23923,186,0,0,"Atlanta, GA"
"Austin, TX","09",,91587,91587,90254,1333,0,,79125,79125,78167,958,0,,12462,12462,12087,375,0,,0,0,0,0,0,0,"Austin, TX"
"Baltimore, MD","06",,243950,243950,233828,10122,0,,208951,208951,199492,9459,0,,34999,34999,34336,663,0,,0,0,0,0,0,0,"Baltimore, MD"
"Baton Rouge, LA","06",,113228,113228,108422,4806,0,,57111,57111,53145,3966,0,,38879,38879,38143,736,0,,17238,17238,17134,104,0,0,"Baton Rouge, LA"
"Boston, MA","06",,288698,288698,267906,20792,0,,203731,203731,183134,20597,0,,6835,6835,6807,28,0,,78132,78132,77965,167,0,0,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY","12",,61760,61760,61760,0,0,,59857,59857,59857,0,0,,1903,1903,1903,0,0,,0,0,0,0,0,0,"Buffalo, NY"
"Charlotte, NC","06",,99652,99652,92723,6929,0,,98464,98464,91535,6929,0,,1188,1188,1188,0,0,,0,0,0,0,0,0,"Charlotte, NC"
"Chicago, IL","12",,996432,996432,957004,39428,0,,971639,971639,932272,39367,0,,24793,24793,24732,61,0,,0,0,0,0,0,0,"Chicago, IL"
"Cincinnati, OH","12",,84707,84707,84664,43,0,,80543,80543,80500,43,0,,4164,4164,4164,0,0,,0,0,0,0,0,0,"Cincinnati, OH"
"Cleveland, OH","12",,183948,183433,180841,2592,515,,151235,151235,148943,2292,0,,26419,26419,26119,300,0,,6294,5779,5779,0,0,515,"Cleveland, OH"
"Columbus, OH","12",,193595,185221,179669,5552,8374,,161552,161552,156151,5401,0,,24150,21930,21786,144,2220,,7893,1739,1732,7,0,6154,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX","09",,221088,216443,213244,3199,4645,,201429,201429,198230,3199,0,,14988,14988,14988,0,0,,4671,26,26,0,0,4645,"Dallas, TX"
"Denver, CO","12",,221554,221554,217287,4267,0,,119562,119562,116202,3360,0,,55797,55797,55516,281,0,,46195,46195,45569,626,59,0,"Denver, CO"
"Detroit, MI","06",,361858,360837,347895,12942,1021,,303863,303863,291405,12458,0,,56974,56974,56490,484,0,,1021,0,0,0,0,1021,"Detroit, MI"
"El Paso, TX","08",,85699,85699,78696,7003,0,,81020,81020,74019,7001,0,,4679,4679,4677,2,0,,0,0,0,0,0,0,"El Paso, TX"
"Fort Worth, TX","09",,100207,100207,95632,4575,0,,91539,91539,87177,4362,0,,8668,8668,8455,213,0,,0,0,0,0,0,0,"Fort Worth, TX"
"Honolulu, HI","06",,158866,158866,152463,6403,0,,140427,140427,134306,6121,0,,18439,18439,18157,282,0,,0,0,0,0,0,0,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX","12",,448599,448599,409021,39578,0,,397982,397982,366100,31882,0,,28666,28666,28145,521,0,,21951,21951,14776,7175,7175,0,"Houston, TX"
"Indianapolis, IN","12",,190149,185526,176660,8866,4623,,108619,108619,105817,2802,0,,36902,36902,35179,1723,0,,44628,40005,35664,4341,3909,4623,"Indianapolis, IN"
"Jacksonville, FL","09",,184398,184398,180881,3517,0,,121383,121383,119275,2108,0,,22302,22302,20961,1341,0,,40713,40713,40645,68,0,0,"Jacksonville, FL"
"Kansas City, MO","04",,137472,137472,117295,20177,0,,123725,123725,107429,16296,0,,9061,9061,7141,1920,0,,4686,4686,2725,1961,1293,0,"Kansas City, MO"
"Long Beach, CA","06",,143273,143273,142758,515,0,,127880,127880,127365,515,0,,15393,15393,15393,0,0,,0,0,0,0,0,0,"Long Beach, CA"
"Los Angeles, CA","06",,948730,947505,905383,42122,1225,,886456,886456,844395,42061,0,,61049,61049,60988,61,0,,1225,0,0,0,0,1225,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN","06",,149572,149572,126005,23567,0,,143889,143889,120345,23544,0,,5683,5683,5660,23,0,,0,0,0,0,0,0,"Memphis, TN"
"Miami, FL","09",,70591,70591,70591,0,0,,68220,68220,68220,0,0,,2371,2371,2371,0,0,,0,0,0,0,0,0,"Miami, FL"
"Milwaukee, WI","12",,164669,164669,161969,2700,0,,156335,156335,153808,2527,0,,8334,8334,8161,173,0,,0,0,0,0,0,0,"Milwaukee, WI"
"Minneapolis, MN","12",,96601,95837,94856,981,764,,92799,92799,91818,981,0,,3038,3038,3038,0,0,,764,0,0,0,0,764,"Minneapolis, MN"
