"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9812.csv",,,,,,,,,,,,,,,,,,,,,,,,,,
"table 12.  Justice system expenditures of 68 large county governments by activity, ",,,,,,,,,,,,,,,,,,,,,,,,,,
"character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  10/12/2001",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity,",,,,,,,,,,,,,,,,,,,,,,,,,,
"character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                      Total justice system",,,,,,"                         Police Protection",,,,,,"                    Judicial and Legal",,,,,,"                                                   Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                      Direct expenditure",,,"                    ",,,"                         Direct expenditure",,,,,,"                     Direct expenditure",,,,,,"                                             Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fiscal",,,,,"Intergovern-",,,,,,"Intergovern-",,,,,,"Intergovern-",,,,,"              Capital outlay",,"Intergovern-",
,"year",,,,,"mental",,,,,,"mental",,,,,,"mental",,,,,,,"mental",
,"ends in",,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct",,"Construc-","expenditure",
"County","month","Total","direct","current","outlay","total",,"Total","direct","current","outlay","total",,"Total","direct","current","outlay","total",,"Total","direct","current","Total","tion only","total","County"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA","06",345375,345375,343768,1607,0,,45527,45527,45083,444,0,,160323,160323,159830,493,0,,139525,139525,138855,670,588,0,"Alameda, CA"
"Allegheny, PA","12",142572,142572,141874,698,0,,24615,24615,24477,138,0,,61451,61451,61107,344,0,,56506,56506,56290,216,0,0,"Allegheny, PA"
