"Bureau of Justice Statistics",,,,,,,,,,
"filename:  cjee9803.csv",,,,,,,,,,
"table 3.  Percent distribution of expenditure for the justice system by State and level",,,,,,,,,,
"of government, fiscal 1998",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  7/19/2001",,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by State and level of government, fiscal 1998",,,,,,,,,,
,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,
,,,,,,,,,,
,,,"              Total justice system",,"           Police protection",,"             Judicial and legal",,"                Corrections",
,,,,,,,,,,
,,,,"Percent",,"Percent",,"Percent",,"Percent"
,"Population",,,"of total ",,"of total",,"of total",,"of total"
"State and level",1998,"Total direct",,"direct",,"justice",,"justice",,"justice"
"of government","(thousands)","expenditure/a","Amount","expenditure/b","Amount","system","Amount","system","Amount","system"
,,,,,,,,,,
"States-local, total",270316,1525761802,116534453,7.6,50475213,43.3,23573380,20.2,42485860,36.5
"State","-",651098179,45995144,7.1,7165258,15.6,10150957,22.1,28678929,62.4
"Local, total","-",874663623,70539309,8.1,43309955,61.4,13422423,19.0,13806931,19.6
"Counties","-",196703029,33571243,17.1,12148768,36.2,10202366,30.4,11220109,33.4
"Municipalities","-",306259784,36968066,12.1,31161187,84.3,3220057,8.7,2586822,7.0
,,,,,,,,,,
"Alabama",4352,21652215,1200989,5.5,609208,50.7,235577,19.6,356204,29.7
"State","-",10308586,491200,4.8,85114,17.3,154379,31.4,251707,51.2
"Local, total","-",11343629,709789,6.3,524094,73.8,81198,11.4,104497,14.7
"Counties","-",1303361,283119,21.7,135923,48.0,52371,18.5,94825,33.5
"Municipalities","-",3730085,426670,11.4,388171,91.0,28827,6.8,9672,2.3
,,,,,,,,,,
"Alaska",614,7649747,458960,6.0,163327,35.6,138467,30.2,157166,34.2
"State","-",4820020,334024,6.9,49814,14.9,128169,38.4,156041,46.7
"Local, total","-",2829727,124936,4.4,113513,90.9,10298,8.2,1125,0.9
"Boroughs","-",932639,22351,2.4,18826,84.2,3525,15.8,0,0.0
"Municipalities","-",1794547,102585,5.7,94687,92.3,6773,6.6,1125,1.1
,,,,,,,,,,
"Arizona",4669,22179832,2305747,10.4,931621,40.4,509401,22.1,864725,37.5
"State","-",8304706,902955,10.9,124094,13.7,119763,13.3,659098,73.0
"Local, total","-",13875126,1402792,10.1,807527,57.6,389638,27.8,205627,14.7
"Counties","-",2613619,669564,25.6,171388,25.6,293004,43.8,205172,30.6
"Municipalities","-",4553219,733228,16.1,636139,86.8,96634,13.2,455,0.1
,,,,,,,,,,
"Arkansas",2538,11100878,682859,6.2,314149,46.0,120656,17.7,248054,36.3
"State","-",5993519,322150,5.4,62153,19.3,63562,19.7,196435,61.0
"Local, total","-",5107359,360709,7.1,251996,69.9,57094,15.8,51619,14.3
"Counties","-",827946,160940,19.4,69592,43.2,40813,25.4,50535,31.4
"Municipalities","-",1568096,199769,12.7,182404,91.3,16281,8.1,1084,0.5
,,,,,,,,,,
"California",32667,202341251,19197684,9.5,8269550,43.1,5118462,26.7,5809672,30.3
"State","-",69276430,5852158,8.4,1031900,17.6,1459689,24.9,3360569,57.4
"Local, total","-",133064821,13345526,10.0,7237650,54.2,3658773,27.4,2449103,18.4
"Counties","-",37321732,8025107,21.5,2458218,30.6,3208100,40.0,2358789,29.4
"Municipalities","-",36792256,5320419,14.5,4779432,89.8,450673,8.5,90314,1.7
,,,,,,,,,,
"Colorado",3971,21428364,1794985,8.4,748688,41.7,304449,17.0,741848,41.3
"State","-",8118243,802394,9.9,62392,7.8,158014,19.7,581988,72.5
"Local, total","-",13310121,992591,7.5,686296,69.1,146435,14.8,159860,16.1
"Counties","-",1960263,386376,19.7,214944,55.6,60334,15.6,111098,28.8
"Municipalities","-",4646495,606215,13.0,471352,77.8,86101,14.2,48762,8.0
,,,,,,,,,,
"Connecticut",3274,20792484,1443302,6.9,624923,43.3,337973,23.4,480406,33.3
"State","-",11888492,903556,7.6,114157,12.6,308993,34.2,480406,53.2
"Local, total","-",8903992,539746,6.1,510766,94.6,28980,5.4,0,0.0
"Municipalities","-",8031161,539746,6.7,510766,94.6,28980,5.4,0,0.0
,,,,,,,,,,
"Delaware",744,4438923,363163,8.2,140352,38.6,80593,22.2,142218,39.2
"State","-",2874149,266330,9.3,51810,19.5,72302,27.1,142218,53.4
"Local, total","-",1564774,96833,6.2,88542,91.4,8291,8.6,0,0.0
"Counties","-",247832,43850,17.7,37070,84.5,6780,15.5,0,0.0
"Municipalities","-",326375,52983,16.2,51472,97.1,1511,2.9,0,0.0
,,,,,,,,,,
"District of Columbia",543,6140472,644869,10.5,282671,43.8,59447,9.2,302751,46.9
"Local, total","-",6140472,644869,10.5,282671,43.8,59447,9.2,302751,46.9
"Municipality","-",5073813,644869,12.7,282671,43.8,59447,9.2,302751,46.9
,,,,,,,,,,
"Florida",14916,74608505,7563006,10.1,3343764,44.2,1296513,17.1,2922729,38.6
"State","-",26676579,2830523,10.6,334976,11.8,566060,20.0,1929487,68.2
"Local, total","-",47931926,4732483,9.9,3008788,63.6,730453,15.4,993242,21.0
"Counties","-",15096907,3166734,21.0,1557414,49.2,657593,20.8,951727,30.1
"Municipalities","-",10720362,1565749,14.6,1451374,92.7,72860,4.7,41515,2.7
,,,,,,,,,,
"Georgia",7642,38645115,2786237,7.2,1078430,38.7,467593,16.8,1240214,44.5
"State","-",15425355,1093959,7.1,147372,13.5,118938,10.9,827649,75.7
"Local, total","-",23219760,1692278,7.3,931058,55.0,348655,20.6,412565,24.4
"Counties","-",4692166,1068333,22.8,454868,42.6,288605,27.0,324860,30.4
"Municipalities","-",4490956,623945,13.9,476190,76.3,60050,9.6,87705,14.1
,,,,,,,,,,
"Hawaii",1193,7454587,491580,6.6,207743,42.3,162983,33.2,120854,24.6
"State","-",5713366,257128,4.5,4714,1.8,131560,51.2,120854,47.0
"Local, total","-",1741221,234452,13.5,203029,86.6,31423,13.4,0,0.0
"Counties","-",518544,75586,14.6,62602,82.8,12984,17.2,0,0.0
"Municipalities","-",1207033,158866,13.2,140427,88.4,18439,11.6,0,0.0
,,,,,,,,,,
"Idaho",1229,5729999,427152,7.5,179160,41.9,91844,21.5,156148,36.6
"State","-",2681412,202932,7.6,33985,16.7,45399,22.4,123548,60.9
"Local, total","-",3048587,224220,7.4,145175,64.7,46445,20.7,32600,14.5
"Counties","-",635532,137003,21.6,64850,47.3,39625,28.9,32528,23.7
"Municipalities","-",639106,87217,13.6,80325,92.1,6820,7.8,72,0.1
,,,,,,,,,,
"Illinois",12045,65038987,4947973,7.6,2678105,54.1,824601,16.7,1445267,29.2
"State","-",25823199,1562057,6.0,306210,19.6,234344,15.0,1021503,65.4
"Local, total","-",39215788,3385916,8.6,2371895,70.1,590257,17.4,423764,12.5
"Counties","-",4292226,1238344,28.9,283838,22.9,531977,43.0,422529,34.1
"Municipalities","-",12173383,2147572,17.6,2088057,97.2,58280,2.7,1235,0.1
,,,,,,,,,,
"Indiana",5899,26834315,1618462,6.0,709678,43.8,281232,17.4,627552,38.8
"State","-",11340108,695340,6.1,176430,25.4,85047,12.2,433863,62.4
"Local, total","-",15494207,923122,6.0,533248,57.8,196185,21.3,193689,21.0
